
=== p10: 200/192 B (392 B round trip) — bridge 'cgpb' (mean +24.96 B on request, +6.37% of round trip, CV_size=0.11) ===
 offered   ctl_mean   brg_mean           Δmean%            Δp99%             Δsd%     Δach%   n
    2000      0.550      0.555     +0.82%±1.67      +4.24%±4.68      +6.54%±6.57     +0.00%   2
    4000      0.495      0.507     +2.32%±0.44      +3.03%±4.29      +8.84%±5.90     -0.14%   2
    6000      0.500      0.503     +0.61%±2.27      +5.01%±8.46      -1.15%±0.18     -0.25%   2
    8000      0.478      0.482     +0.84%±0.59      +1.02%±1.44      +2.97%±8.19     -0.27%   2
   10000      0.474      0.474     +0.23%±2.39      +2.66%±3.76      -9.07%±16.10    -0.12%   2
   12000      0.473      0.473     -0.10%±1.04      -0.53%±0.75     -13.91%±17.41    -0.12%   2
   14000      0.487      0.480     -1.43%±1.14      -4.00%±0.06     -17.91%±13.54    +0.12%   2
   16000      0.500      0.508     +1.50%±1.27      +1.48%±3.45     +18.10%±35.02    -0.13%   2
   18000      0.530      0.530     +0.00%±0.53      +0.87%±1.23      +0.94%±0.47     +0.14%   2
   20000      0.546      0.548     +0.27%±0.13      +2.91%±0.55      +2.41%±0.91     +0.25%   2
   22000      0.573      0.577     +0.70%±0.01      +1.49%±1.04      +0.53%±2.89     -0.00%   2
   24000      0.602      0.605     +0.42%±0.59      +1.03%±2.42      +1.69%±3.03     +0.38%   2
   26000      0.623      0.626     +0.41%±1.70      +0.32%±0.46      +0.71%±10.73    +0.13%   2
   28000      0.665      0.669     +0.52%±1.59      -0.58%±0.82      +0.52%±7.01     +0.13%   2
   30000      0.735      0.716     -2.65%±0.14      -0.99%±4.43      -0.02%±1.35     -0.25%   2
   32000      0.731      0.750     +2.67%±0.51      -0.52%±1.44      +1.72%±2.43     +0.38%   2
   34000      0.784      0.786     +0.28%±6.59      +1.29%±7.14      +0.31%±12.19    +0.13%   2
   36000      0.833      0.831     -0.11%±1.70      -3.63%±2.03      -3.32%±0.04     +0.00%   2
   38000      0.897      0.895     -0.21%±4.73      -0.96%±6.44      -1.96%±10.35    -0.13%   2
   40000      0.978      0.975     -0.21%±3.89      +1.61%±2.28      -0.24%±1.76     +0.13%   2
   42000      1.026      1.037     +1.08%±0.98      +0.42%±6.36      +1.92%±6.80     -0.13%   2
   44000      1.081      1.087     +0.56%±0.14      -2.52%±0.41      -3.21%±3.02     +0.00%   2
   46000      1.175      1.165     -0.84%±2.03      -0.88%±1.25      -0.48%±1.38     +0.13%   2
   48000      1.260      1.236     -1.77%±6.48      +0.08%±10.59     -0.36%±10.08    -0.25%   2
   50000      1.375      1.360     -1.01%±3.55      -2.25%±2.81      -1.96%±4.32     +0.00%   2
   52000      1.558      1.486     -4.42%±6.63      -5.47%±12.68     -6.09%±14.90    +0.00%   2
   54000      1.876      1.674    -10.18%±9.34     -16.56%±4.26     -17.88%±9.33     +0.13%   2
   56000      2.139      2.093     -2.13%±0.15      +1.41%±0.94      -0.70%±0.99     +0.01%   2
   58000      2.869      2.709     -5.55%±1.46      -8.93%±3.21     -10.72%±7.13     -0.25%   2
   60000      3.918      3.913     -0.14%±0.70      -2.77%±10.62     -3.46%±9.25     -0.12%   2
   62000      5.754      5.735     -0.20%±2.30      -9.43%±4.09     -12.43%±5.00     -0.26%   2
   64000      8.104      8.372     +3.31%±0.50     +19.30%±32.30     +9.47%±17.34    -0.13%   2
   66000     12.293     15.901    +30.99%±25.09    +13.51%±47.21    +16.01%±45.07    -0.15%   2
   68000     43.357    166.626   +329.23%±321.31   +224.96%±201.69   +171.59%±146.39    -0.28%   2
   70000    248.296    623.744   +186.15%±168.60   +170.79%±175.60   +170.95%±218.12    -2.17%   2
