offered  achieved     p50        p99        non2xx
2000     1971.08      4.25ms     12.01ms    0
3000     2937.58      2.11ms     7.19ms     0
4000     3953.86      4.30ms     12.39ms    0
5000     4913.35      1.96ms     6.60ms     0
6000     5914.93      1.96ms     6.50ms     0
7000     6884.45      1.33ms     5.79ms     0
8000     7872.49      1.42ms     5.54ms     0
9000     8854.96      1.44ms     5.92ms     0
10000    9877.83      3.07ms     9.53ms     0
11000    10805.08     1.06ms     4.09ms     0
12000    11876.68     2.17ms     6.94ms     0
13000    12812.69     1.59ms     5.84ms     0
14000    13851.16     2.12ms     6.70ms     0
15000    14783.16     1.34ms     5.30ms     0
16000    15767.30     1.98ms     7.03ms     0
17000    16753.48     1.96ms     6.94ms     0
18000    17725.46     1.29ms     6.08ms     0
19000    18783.39     1.95ms     6.57ms     0
20000    19760.62     2.06ms     6.59ms     0
21000    20672.24     3.36ms     11.02ms    0
22000    21669.02     7.03ms     15.67ms    0
23000    22704.14     2.38ms     9.06ms     0
24000    23639.42     2.13ms     9.13ms     0
25000    24672.54     3.99ms     12.20ms    0
26000    25824.08     3.76ms     10.06ms    0
27000    26641.23     2.76ms     11.22ms    0
28000    27648.36     1.68ms     5.97ms     0
