 offered  n  achieved      +-  mean_ms     +-  p50_ms     +-   p99_ms      +- pooled_sd non2xx
    2000  5    1956.6     3.8    2.535  0.345    2.09   0.36     7.87    0.69     1.925      0
    4000  5    3924.9     3.7    2.091  0.123    1.67   0.09     6.81    0.29     1.565      0
    6000  5    5917.7    13.7    2.483  0.580    2.01   0.51     7.39    1.39     1.988      0
    8000  5    7875.4    12.4    2.017  0.216    1.55   0.25     6.32    0.42     1.547      0
   10000  5    9849.7    31.9    2.503  0.893    2.10   0.90     7.64    2.06     2.136      0
   12000  5   11854.8    26.3    2.593  0.797    2.20   0.66     7.84    2.06     2.099      0
   14000  5   13797.5    13.7    2.799  0.489    2.04   0.35     8.87    1.75     2.326      0
   16000  5   15779.5    35.1    2.137  0.405    1.76   0.45     6.64    1.01     1.610      0
   18000  5   17791.5    46.0    2.238  0.541    1.84   0.52     7.02    1.31     1.770      0
   20000  5   19768.0    55.9    2.816  0.940    2.41   0.85     8.45    2.31     2.221      0
   22000  5   21738.4    46.2    3.711  2.678    3.31   3.15    10.44    4.88     3.754      0
   24000  5   23700.6    53.4    3.306  1.227    2.82   1.07     9.77    3.44     2.825      0
   26000  5   25689.5    55.6    4.804  2.832    4.55   3.10    12.59    5.14     4.063      0
   28000  5   27670.1    28.8    4.470  2.313    4.05   3.11    12.85    3.94     3.769      0
   30000  5   29678.9    96.0    3.796  1.117    3.36   1.53    11.49    2.42     3.015      0
   32000  5   31578.5    19.4    4.265  1.461    3.84   1.50    12.58    3.12     3.189      0
   34000  5   33617.8    36.8    3.005  0.365    2.60   0.38     9.50    1.02     2.046      0
   36000  5   35613.2   104.6    4.970  4.295    4.71   4.89    12.97    6.35     4.959      0
   38000  5   37491.0    37.9    5.290  2.189    5.28   2.52    14.56    4.94     4.090      0
   40000  5   39534.5    88.5    4.306  1.338    3.68   1.25    13.40    3.20     3.269      0
   42000  5   41498.6    74.8    4.617  1.909    4.15   2.28    14.16    3.68     3.836      0
   44000  5   43513.0    74.2    7.920  5.523    7.22   5.83    22.95    7.31     6.816      0
   46000  5   45408.3    94.7    6.689  2.827    5.84   3.07    21.62    6.94     5.459      0
   48000  5   47422.3    87.9   12.758  6.367   11.43   7.00    33.66    5.86     8.957      0
   50000  5   49445.7    86.6   22.112  2.957   20.65   2.32    46.67    8.23     7.951      0
   52000  5   51396.1    48.4   23.924  2.625   21.79   1.62    55.26   10.74     9.302      0
   54000  5   53381.4    64.0   26.202  1.368   23.04   0.73    65.52    5.06    11.048      0
   56000  5   55234.2    93.1   44.488  8.494   37.31   7.22   134.75   29.61    27.928      0
   58000  5   57154.3   101.1   80.578 16.661   70.21  16.06   232.27   44.38    52.418      0
   60000  5   58726.4   335.3  248.616 82.588  246.28  85.75   472.42  122.92   118.056      0
   62000  5   58732.5   883.2  816.998 246.937  801.93 246.79  1327.97  370.97   345.369      0
