offered  achieved     p50        p99        non2xx
30000    28673.72     1.89ms     8.62ms     0
32000    30754.62     3.28ms     11.98ms    0
34000    33146.93     6.27ms     13.98ms    0
36000    34815.38     4.75ms     14.30ms    0
38000    36811.31     3.75ms     12.23ms    0
40000    38477.23     3.34ms     12.26ms    0
42000    40712.19     5.55ms     14.98ms    0
44000    42602.02     8.57ms     18.17ms    0
46000    44017.57     9.30ms     24.48ms    0
48000    46749.34     8.34ms     27.77ms    0
50000    49099.67     6.91ms     21.10ms    0
