 offered  n  achieved      +-  mean_ms     +-  p50_ms     +-   p99_ms      +- pooled_sd non2xx
    2000  5    1954.8     4.7    2.298  0.357    1.95   0.35     6.90    0.95     1.665      0
    4000  5    3925.3     3.7    1.918  0.082    1.57   0.11     6.03    0.57     1.333      0
    6000  5    5902.6    17.8    1.982  0.400    1.65   0.48     6.00    0.73     1.456      0
    8000  5    7887.3    14.8    2.167  0.309    1.84   0.42     6.50    0.69     1.592      0
   10000  5    9864.4    18.2    2.253  0.415    1.95   0.44     6.91    1.10     1.699      0
   12000  5   11841.2    40.7    2.018  0.488    1.66   0.60     6.28    1.09     1.542      0
   14000  5   13822.2    20.6    2.358  0.437    2.12   0.53     7.08    1.12     1.661      0
   16000  5   15783.4    57.1    2.388  0.669    2.08   0.72     7.41    1.51     1.781      0
   18000  5   17790.5    15.5    2.586  0.361    2.38   0.43     7.51    0.70     1.745      0
   20000  5   19752.7    44.3    2.583  0.521    2.34   0.61     7.95    1.05     1.835      0
   22000  5   21738.8    27.8    2.851  0.705    2.36   0.60     9.13    1.85     2.237      0
   24000  5   23686.9    29.9    2.895  0.850    2.41   0.80     9.33    2.39     2.274      0
   26000  5   25684.4    37.1    2.467  0.745    2.09   0.56     7.92    2.19     1.914      0
   28000  5   27671.6    31.7    4.442  1.413    4.44   2.06    12.43    2.62     3.484      0
   30000  5   29618.0    37.1    4.299  3.068    4.03   3.69    11.66    4.84     3.969      0
   32000  5   31653.0   137.1    2.886  2.086    2.66   2.30     8.54    4.13     2.754      0
   34000  5   33617.3    89.8    3.163  1.149    2.68   1.23     9.92    2.88     2.662      0
   36000  5   35630.2    75.0    4.779  2.514    4.63   2.75    12.98    4.00     3.667      0
   38000  5   37618.6   105.4    4.233  2.086    4.04   2.65    11.97    4.01     3.551      0
   40000  5   39521.6    92.4    5.411  1.078    5.40   1.85    14.89    1.14     3.847      0
   42000  5   41582.5    68.5    5.369  3.093    5.27   3.31    14.82    6.50     4.434      0
   44000  5   43462.9    57.9    5.696  2.580    5.20   3.03    17.58    5.63     4.483      0
   46000  5   45395.0   102.1    6.340  2.186    5.76   2.45    20.34    6.10     4.856      0
   48000  5   47425.4    75.4    7.600  4.143    6.98   4.49    22.50    7.50     6.134      0
   50000  5   49481.6    63.4   13.745  4.224   12.69   4.45    30.86    2.41     7.576      0
   52000  5   51321.5    98.9   11.464  5.700   10.25   6.90    29.96    5.61     8.465      0
   54000  5   53295.9   133.7   24.259  4.855   22.78   3.06    52.34   19.20    10.588      0
   56000  5   55432.8    90.1   33.059 11.877   30.81  11.64    71.64   30.52    17.548      0
   58000  5   57316.1    93.1   47.435  9.114   43.69   9.04   110.72   19.09    22.774      0
   60000  5   59196.8    94.4   85.408 17.212   82.73  17.13   175.64   25.94    38.294      0
   62000  5   60522.2   427.6  305.181 77.910  295.42  68.58   451.43  124.70    94.825      0
