 offered  n  achieved      +-  mean_ms     +-  p50_ms     +-   p99_ms      +- pooled_sd non2xx
    2000  5    1952.3     3.7    2.037  0.161    1.74   0.19     6.15    0.20     1.382      0
    4000  5    3932.8     9.8    2.220  0.725    1.96   0.73     6.69    2.03     1.754      0
    6000  5    5907.5    14.4    1.980  0.378    1.71   0.42     5.91    0.89     1.418      0
    8000  5    7879.6     7.6    1.806  0.181    1.50   0.18     5.54    0.51     1.259      0
   10000  5    9869.3    30.4    2.445  0.859    2.17   0.84     7.20    2.15     1.983      0
   12000  5   11840.5    24.7    2.193  0.761    1.91   0.92     6.48    1.79     1.693      0
   14000  5   13799.7    31.5    2.156  0.572    1.77   0.62     6.74    1.51     1.667      0
   16000  5   15806.1    55.5    2.001  0.529    1.71   0.52     6.20    1.21     1.545      0
   18000  5   17791.0    38.7    2.279  0.367    2.07   0.46     6.78    0.92     1.533      0
   20000  5   19736.0    32.0    2.271  0.447    2.01   0.60     6.87    0.94     1.610      0
   22000  5   21733.0    19.9    2.456  0.494    2.22   0.61     7.32    0.98     1.665      0
   24000  5   23706.6    38.0    2.666  0.702    2.28   0.67     8.32    2.12     1.924      0
   26000  5   25648.1    47.8    2.451  0.805    1.94   0.75     7.77    2.09     1.919      0
   28000  5   27649.9    39.2    3.388  0.928    2.78   0.90    10.10    2.70     2.513      0
   30000  5   29617.2    40.9    2.821  1.088    2.34   1.10     8.78    2.72     2.204      0
   32000  5   31567.2    58.2    2.282  0.599    1.86   0.48     7.54    2.33     1.737      0
   34000  5   33574.9    47.2    3.146  0.625    2.67   0.49     9.76    1.98     2.291      0
   36000  5   35586.3    77.7    4.085  1.663    3.76   1.87    11.65    3.44     3.468      0
   38000  5   37564.1    40.2    3.391  0.988    2.95   0.84    10.05    2.66     2.557      0
   40000  5   39546.4    73.7    6.080  2.866    6.08   3.49    14.97    3.52     4.461      0
   42000  5   41587.5    69.5    4.720  1.333    4.62   1.67    13.28    2.07     3.289      0
   44000  5   43496.4   126.3    4.948  1.702    4.70   2.20    14.85    2.95     3.677      0
   46000  5   45450.7    75.6    4.267  0.657    3.72   0.68    13.62    0.98     2.985      0
   48000  5   47525.7   106.2    7.260  1.264    6.53   1.61    22.51    2.40     4.760      0
   50000  5   49486.6   133.4   10.170  4.652    9.49   4.91    27.26    2.75     6.886      0
   52000  5   51418.7    96.7   18.377  2.571   17.65   2.66    35.15    3.82     6.702      0
   54000  5   53369.0   142.4   19.128  6.348   18.18   7.17    39.74    8.44     8.894      0
   56000  5   55405.5    98.5   26.779  1.203   24.67   1.26    58.50    6.49    10.009      0
   58000  5   57292.8   114.8   46.451 15.246   42.16  11.82   111.27   50.59    27.659      0
   60000  5   59257.5   177.3   85.421 27.432   81.83  27.05   176.69   46.36    45.544      0
   62000  5   60814.6   168.1  144.438 29.830  140.91  30.31   248.06   41.09    49.998      0
