 offered  n  achieved      +-  mean_ms     +-  p50_ms     +-   p99_ms      +- pooled_sd non2xx
    2000  5    1958.3     3.0    2.440  0.370    2.12   0.38     7.12    0.91     1.775      0
    4000  5    3932.8     9.7    2.413  0.564    2.12   0.66     7.10    1.68     1.817      0
    6000  5    5907.7    14.6    2.070  0.424    1.71   0.48     6.15    0.85     1.543      0
    8000  5    7884.6    12.7    2.041  0.220    1.70   0.31     6.02    0.48     1.464      0
   10000  5    9858.8    14.4    2.233  0.610    1.98   0.75     6.30    1.28     1.610      0
   12000  5   11841.3    13.2    2.939  0.788    2.59   0.72     8.69    2.20     2.224      0
   14000  5   13811.1    34.1    2.126  0.658    1.82   0.74     6.35    1.53     1.631      0
   16000  5   15776.5    14.4    2.118  0.207    1.78   0.20     6.49    0.73     1.515      0
   18000  5   17781.7    33.5    2.119  0.515    1.79   0.52     6.41    1.36     1.540      0
   20000  5   19737.2    16.6    2.111  0.175    1.83   0.28     6.55    0.40     1.464      0
   22000  5   21745.6    36.3    2.982  0.661    2.55   0.64     9.19    2.12     2.272      0
   24000  5   23724.8    51.3    4.442  2.776    4.59   3.33    11.28    5.34     3.903      0
   26000  5   25677.6    80.1    3.278  1.478    2.79   1.22     9.88    4.06     2.969      0
   28000  5   27669.3    76.0    2.966  0.877    2.51   0.97     9.23    2.47     2.256      0
   30000  5   29663.9    50.6    4.429  2.038    4.14   2.69    12.27    4.58     3.790      0
   32000  5   31674.4   140.2    5.013  1.128    4.56   0.93    14.15    2.31     3.296      0
   34000  5   33567.9    91.2    3.981  1.341    3.66   1.69    12.34    2.37     3.013      0
   36000  5   35588.7    40.7    3.638  1.528    3.23   1.49    11.48    3.61     2.960      0
   38000  5   37605.1    52.7    5.855  2.034    5.79   2.35    15.15    3.19     3.988      0
   40000  5   39503.9    49.9    3.963  1.343    3.35   1.27    12.08    3.36     3.309      0
   42000  5   41476.0    60.3    4.342  1.013    3.76   1.01    13.52    1.35     3.344      0
   44000  5   43512.2   101.2    5.975  2.078    6.00   2.51    17.01    4.86     4.467      0
   46000  5   45488.0   104.7    5.872  2.824    5.32   3.21    18.03    4.69     4.550      0
   48000  5   47579.8   158.5    6.756  1.224    5.54   0.98    24.69    3.87     5.221      0
   50000  5   49339.2   105.5   12.998  5.780   11.89   5.96    30.92    4.89     8.190      0
   52000  5   51448.6   162.4   17.485  4.924   16.74   4.76    37.06    6.30     8.241      0
   54000  5   53342.4    49.6   22.551  3.694   21.28   2.73    49.28    8.39     8.938      0
   56000  5   55369.9   185.8   28.066  2.003   25.05   1.65    65.09    7.85    11.496      0
   58000  5   57254.7    77.9   50.346  9.796   44.73   8.44   132.71   34.89    28.168      0
   60000  5   59145.9   250.2   96.718 25.596   91.71  26.41   221.13   50.51    50.855      0
   62000  5   60292.4   508.8  389.292 132.239  368.69 142.77   631.50  204.03   174.349      0
