arm       rho    rd  offered    achieved   mean_ms   sd_ms     CV
fixed     0.50   1   14149      14142      0.745     0.155     0.208
exp       0.50   1   13920      13917      0.761     0.220     0.289
bimodal   0.50   1   12890      12878      0.841     0.355     0.422
fixed     0.70   1   19808      19805      0.910     0.230     0.253
exp       0.70   1   19488      19485      0.946     0.302     0.319
bimodal   0.70   1   18046      18030      1.124     0.476     0.423
fixed     0.85   1   24053      24047      1.043     0.291     0.279
exp       0.85   1   23664      23661      1.140     0.451     0.396
bimodal   0.85   1   21913      21903      1.462     0.670     0.458
fixed     0.95   1   26883      26881      1.204     0.550     0.457
exp       0.95   1   26448      26336      1.404     0.617     0.439
bimodal   0.95   1   24492      24478      1.915     1.008     0.526
fixed     0.50   2   14149      14142      0.758     0.276     0.364
exp       0.50   2   13920      13889      0.760     0.229     0.301
bimodal   0.50   2   12890      12878      0.850     0.381     0.448
fixed     0.70   2   19808      19762      0.908     0.242     0.267
exp       0.70   2   19488      19445      0.952     0.316     0.332
bimodal   0.70   2   18046      17991      1.127     0.488     0.433
fixed     0.85   2   24053      24048      1.028     0.282     0.274
exp       0.85   2   23664      23661      1.134     0.420     0.370
bimodal   0.85   2   21913      21903      1.455     0.676     0.465
fixed     0.95   2   26883      26824      1.230     0.671     0.546
exp       0.95   2   26448      26448      1.391     0.660     0.474
bimodal   0.95   2   24492      24480      1.868     0.904     0.484
fixed     0.50   3   14149      14142      0.752     0.169     0.225
exp       0.50   3   13920      13887      0.772     0.233     0.302
bimodal   0.50   3   12890      12878      0.838     0.354     0.422
fixed     0.70   3   19808      19805      0.908     0.221     0.243
exp       0.70   3   19488      19445      0.945     0.307     0.325
bimodal   0.70   3   18046      18030      1.125     0.487     0.433
fixed     0.85   3   24053      24048      1.047     0.311     0.297
exp       0.85   3   23664      23611      1.103     0.400     0.363
bimodal   0.85   3   21913      21903      1.457     0.665     0.456
fixed     0.95   3   26883      26881      1.180     0.410     0.347
exp       0.95   3   26448      26448      1.331     0.663     0.498
bimodal   0.95   3   24492      24478      1.875     0.974     0.519
