step_rps	ach	ach_sd	mean_ms	mean_ms_sd	p99_ms	p99_ms_sd	exp_sps	exp_sps_sd	cp_pct	cp_pct_sd	lp_pct	lp_pct_sd	tot_pct	tot_pct_sd
2000	1996.60	0.86	14.09	2.46	44.53	7.36	45925	19	0.00	0.00	0.00	0.00	0.00	0.00
2200	2195.87	1.41	22.13	4.79	52.42	9.65	50496	23	0.00	0.00	0.00	0.00	0.00	0.00
2400	2373.40	1.44	24.29	2.02	55.67	5.52	54584	30	0.00	0.00	0.00	0.00	0.00	0.00
2600	2577.23	3.19	25.77	5.09	57.25	9.12	59258	64	0.00	0.00	0.00	0.00	0.00	0.00
2800	2793.43	2.06	36.12	6.59	101.67	28.32	59649	3994	0.00	0.00	4.49	5.18	2.77	3.20
3000	2958.76	2.80	64.43	20.58	202.83	104.94	38862	3307	0.38	0.27	47.26	11.61	29.34	7.22
3200	3161.26	4.92	100.85	29.96	288.92	133.92	41105	2497	3.75	3.71	64.27	9.35	41.14	6.58
3400	3356.06	2.72	341.40	336.24	840.32	566.97	43253	4233	2.33	0.98	55.70	4.99	35.30	3.17
3600	3494.81	64.17	1446.83	920.13	2400.92	1187.26	43621	1438	4.34	2.25	68.61	3.27	44.05	1.43
3800	3617.09	64.29	1742.42	715.74	3550.00	933.78	42961	5538	4.35	2.88	70.50	10.77	45.21	7.48
4000	3564.34	33.91	3358.00	279.59	8502.00	520.16	40521	4503	3.27	1.70	71.94	6.39	45.69	4.09
