step_rps	ach	ach_sd	mean_ms	mean_ms_sd	p99_ms	p99_ms_sd	exp_sps	exp_sps_sd	cp_pct	cp_pct_sd	lp_pct	lp_pct_sd	tot_pct	tot_pct_sd
2000	1996.85	1.32	14.37	3.15	41.74	8.14	45928	18	0.00	0.00	0.00	0.00	0.00	0.00
2200	2196.45	1.44	19.30	3.33	48.11	6.58	50510	27	0.00	0.00	0.00	0.00	0.00	0.00
2400	2373.20	1.66	23.65	1.46	55.27	1.45	54576	32	0.00	0.00	0.00	0.00	0.00	0.00
2600	2579.73	1.26	24.79	3.56	67.51	26.87	59298	33	0.00	0.00	0.00	0.00	0.00	0.00
2800	2794.33	1.38	30.04	7.39	88.98	50.22	62700	1357	0.00	0.00	0.00	0.00	0.00	0.00
3000	2959.77	1.66	49.55	14.47	151.99	86.18	44297	3695	0.00	0.00	0.00	0.00	15.35	3.04
3200	3163.10	1.07	75.45	24.33	235.51	123.44	43844	1483	0.00	0.00	0.00	0.00	39.62	2.69
3400	3354.02	2.54	219.34	250.78	648.20	869.62	40415	3537	0.00	0.00	0.00	0.00	30.66	7.09
3600	3557.46	17.95	449.94	417.10	967.95	881.11	44341	2178	0.00	0.00	0.00	0.00	43.04	3.44
3800	3705.62	69.69	732.10	403.84	1813.52	1112.58	41565	4519	0.00	0.00	0.00	0.00	42.16	2.86
4000	3583.72	89.01	3182.00	892.34	8070.00	868.53	38927	4212	0.00	0.00	0.00	0.00	46.16	7.95
