step_rps	V_exp_avg	V_exp_sd	S_exp_avg	S_exp_sd	V_recv_ref_avg	V_recv_ref_sd	S_recv_ref_avg	S_recv_ref_sd	V_drop_avg	V_drop_sd	S_drop_avg	S_drop_sd
2000	45928.16333333333	18.174204858045982	45917.12333333333	64.24774163778487	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2200	50510.14666666666	27.12824839740139	50513.11333333333	31.81141784887237	0.0	0.0	4.7	10.509519494249012	0.0	0.0	4.536666666666666	10.144295057924046
2400	54575.933333333334	31.539505650321576	54547.97	23.323531869956764	0.0	0.0	2.6633333333333336	5.9553943800744396	0.0	0.0	2.566666666666667	5.73924114224946
2600	59298.14	33.293112400815474	59317.096666666665	5.864315343196036	0.0	0.0	2.51	5.6125306235244725	0.0	0.0	2.396666666666667	5.359109586074496
2800	62699.84	1356.9321511122882	59914.806666666664	4091.1945411694182	0.0	0.0	1046.7933333333333	1469.5819219159653	0.0	0.0	1016.7533333333333	1428.7193363288677
3000	44297.43666666667	3695.029633270889	35941.23666666667	2976.2532999515047	9413.806666666667	1939.3207155757168	19447.04666666667	4567.163186015412	9647.003333333332	1912.7810165146686	21028.47666666667	4392.885049185911
3200	43844.22	1483.2748792508644	42690.70333333334	1763.136598169738	23160.93	2187.8576938475176	25325.8	4526.011475994436	26594.706666666665	1801.5366809646455	29048.469999999998	4696.460057222177
3400	40415.41	3537.2407881984013	45672.346666666665	3992.0539083979756	17002.846666666668	3460.1454825588216	18338.65	4910.539293292766	21831.65	5060.972392430574	22443.686666666665	7446.549402915121
3600	44341.18	2178.4677627928713	44289.02333333333	5039.743858027685	26580.433333333334	2295.3315781107144	26215.213333333333	8012.904885024185	32496.866666666665	2522.5490949687733	31459.41	8195.792253689626
3800	41565.10333333334	4519.314532162052	43539.51333333333	2286.110605263884	24979.98	1003.2439441354453	26265.34	6698.45421420536	33250.61666666667	2294.9999127027336	32766.67	8441.991281784305
4000	38926.58666666667	4211.802234501943	39788.10666666667	2860.195068609832	29543.72333333333	8364.81577544698	29449.986666666668	3769.712344968188	35292.52333333333	6249.383130953362	35122.96333333333	4363.9657019065435
