step	cluster_cp_mean	cluster_cp_min	cluster_cp_max	cluster_lp_mean	composepost_cp_mean	composepost_cp_min	composepost_cp_max
2000	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2200	0.0	0.0	0.0	2.4	0.0	0.0	0.0
2400	0.0	0.0	0.0	19.0	0.0	0.0	0.0
2600	0.0	0.0	0.0	32.8	0.0	0.0	0.0
2800	0.0	0.0	0.0	41.3	0.0	0.0	0.0
3000	1.3	0.0	3.8	42.6	3.0	0.0	8.6
3200	27.4	24.0	32.9	79.0	62.7	54.8	75.2
3400	21.0	13.3	33.9	71.8	48.0	30.4	77.4
3600	29.7	24.8	35.2	76.6	67.7	56.3	80.5
3800	26.3	17.0	36.7	81.0	56.3	38.8	71.9
4000	30.0	20.2	37.2	82.4	67.4	46.1	84.9
