step	ref_cl_mean	ref_cl_min	ref_cl_max	ref_worst_mean	sdk_tot_mean	mean_ms_mean	p99_ms_mean
2000	0.0	0.0	0.0	0.0	0.0	16.9	44.8
2200	0.0	0.0	0.0	0.0	0.0	19.9	52.0
2400	0.0	0.0	0.0	0.0	0.0	23.5	54.1
2600	0.0	0.0	0.0	0.0	0.0	27.3	106.9
2800	0.4	0.0	1.8	0.8	0.4	38.4	136.3
3000	18.0	11.6	26.0	38.0	19.4	61.8	233.6
3200	36.4	26.4	41.1	74.4	41.1	93.3	267.8
3400	29.6	21.6	39.4	57.5	34.3	280.9	704.6
3600	36.7	26.7	44.3	71.6	44.1	601.0	1195.6
3800	33.8	23.1	38.8	66.3	41.9	1962.2	3544.0
4000	38.3	34.4	45.4	75.2	45.8	3464.0	8428.0
