pod	metric	value
otelcol-sbrev0-ctr-vnw5b	otelcol_process_runtime_total_alloc_bytes	238275048
otelcol-sbrev0-ctr-vnw5b	otelcol_receiver_accepted_spans	166662
otelcol-sbrev0-ctr-vnw5b	otelcol_processor_batch_metadata_cardinality	1
otelcol-sbrev0-ctr-vnw5b	otelcol_process_memory_rss	222416896
otelcol-sbrev0-ctr-vnw5b	otelcol_exporter_queue_capacity	1001
otelcol-sbrev0-ctr-vnw5b	otelcol_process_uptime	317
otelcol-sbrev0-ctr-vnw5b	otelcol_process_cpu_seconds	8
otelcol-sbrev0-ctr-vnw5b	otelcol_process_runtime_total_sys_memory_bytes	89299240
otelcol-sbrev0-ctr-vnw5b	otelcol_exporter_sent_spans	166662
otelcol-sbrev0-ctr-vnw5b	otelcol_receiver_refused_spans	0
otelcol-sbrev0-ctr-vnw5b	otelcol_processor_batch_timeout_trigger_send	962
otelcol-sbrev0-ctr-vnw5b	otelcol_processor_batch_batch_send_size_sum	166662
otelcol-sbrev0-ctr-vnw5b	otelcol_processor_accepted_spans	166662
otelcol-sbrev0-ctr-vnw5b	otelcol_exporter_queue_batch_send_size_sum	166662
otelcol-sbrev0-ctr-vnw5b	otelcol_processor_incoming_items	166662
otelcol-sbrev0-ctr-vnw5b	otelcol_exporter_send_failed_spans	0
otelcol-sbrev0-ctr-vnw5b	otelcol_exporter_queue_size	0
otelcol-sbrev0-ctr-vnw5b	otelcol_receiver_failed_spans	0
otelcol-sbrev0-ctr-vnw5b	otelcol_processor_outgoing_items	166662
otelcol-sbrev0-ctr-vnw5b	otelcol_process_runtime_heap_alloc_bytes	48275784
otelcol-sbrev0-ctr-khtzk	otelcol_processor_batch_batch_send_size_sum	167827
otelcol-sbrev0-ctr-khtzk	otelcol_process_runtime_total_sys_memory_bytes	93497624
otelcol-sbrev0-ctr-khtzk	otelcol_receiver_refused_spans	0
otelcol-sbrev0-ctr-khtzk	otelcol_receiver_failed_spans	0
otelcol-sbrev0-ctr-khtzk	otelcol_receiver_accepted_spans	167827
otelcol-sbrev0-ctr-khtzk	otelcol_exporter_sent_spans	167827
otelcol-sbrev0-ctr-khtzk	otelcol_process_uptime	317
otelcol-sbrev0-ctr-khtzk	otelcol_exporter_send_failed_spans	0
otelcol-sbrev0-ctr-khtzk	otelcol_process_runtime_heap_alloc_bytes	44071832
otelcol-sbrev0-ctr-khtzk	otelcol_exporter_queue_capacity	1001
otelcol-sbrev0-ctr-khtzk	otelcol_processor_incoming_items	167827
otelcol-sbrev0-ctr-khtzk	otelcol_exporter_queue_batch_send_size_sum	167827
otelcol-sbrev0-ctr-khtzk	otelcol_processor_outgoing_items	167827
otelcol-sbrev0-ctr-khtzk	otelcol_processor_batch_metadata_cardinality	1
otelcol-sbrev0-ctr-khtzk	otelcol_exporter_queue_size	0
otelcol-sbrev0-ctr-khtzk	otelcol_processor_batch_timeout_trigger_send	964
otelcol-sbrev0-ctr-khtzk	otelcol_process_runtime_total_alloc_bytes	234943752
otelcol-sbrev0-ctr-khtzk	otelcol_processor_accepted_spans	167827
otelcol-sbrev0-ctr-khtzk	otelcol_process_memory_rss	220704768
otelcol-sbrev0-ctr-khtzk	otelcol_process_cpu_seconds	8
otelcol-sbrev0-ctr-5q744	otelcol_exporter_queue_size	0
otelcol-sbrev0-ctr-5q744	otelcol_process_runtime_total_alloc_bytes	516550144
