pod	metric	value
otelcol-sbrev0-ctr-vnw5b	otelcol_process_runtime_total_alloc_bytes	2345368736
otelcol-sbrev0-ctr-vnw5b	otelcol_receiver_accepted_spans	3599247
otelcol-sbrev0-ctr-vnw5b	otelcol_processor_batch_metadata_cardinality	1
otelcol-sbrev0-ctr-vnw5b	otelcol_process_memory_rss	230408192
otelcol-sbrev0-ctr-vnw5b	otelcol_exporter_queue_capacity	1001
otelcol-sbrev0-ctr-vnw5b	otelcol_process_uptime	1238
otelcol-sbrev0-ctr-vnw5b	otelcol_process_cpu_seconds	63
otelcol-sbrev0-ctr-vnw5b	otelcol_process_runtime_total_sys_memory_bytes	107034920
otelcol-sbrev0-ctr-vnw5b	otelcol_exporter_sent_spans	3599247
otelcol-sbrev0-ctr-vnw5b	otelcol_receiver_refused_spans	0
otelcol-sbrev0-ctr-vnw5b	otelcol_processor_batch_timeout_trigger_send	4749
otelcol-sbrev0-ctr-vnw5b	otelcol_processor_batch_batch_send_size_sum	3599247
otelcol-sbrev0-ctr-vnw5b	otelcol_processor_accepted_spans	3599247
otelcol-sbrev0-ctr-vnw5b	otelcol_exporter_queue_batch_send_size_sum	3599247
otelcol-sbrev0-ctr-vnw5b	otelcol_processor_incoming_items	3599247
otelcol-sbrev0-ctr-vnw5b	otelcol_exporter_send_failed_spans	0
otelcol-sbrev0-ctr-vnw5b	otelcol_exporter_queue_size	0
otelcol-sbrev0-ctr-vnw5b	otelcol_receiver_failed_spans	0
otelcol-sbrev0-ctr-vnw5b	otelcol_processor_outgoing_items	3599247
otelcol-sbrev0-ctr-vnw5b	otelcol_process_runtime_heap_alloc_bytes	47312872
otelcol-sbrev0-ctr-khtzk	otelcol_processor_batch_batch_send_size_sum	3589616
otelcol-sbrev0-ctr-khtzk	otelcol_process_runtime_total_sys_memory_bytes	98855192
otelcol-sbrev0-ctr-khtzk	otelcol_receiver_refused_spans	0
otelcol-sbrev0-ctr-khtzk	otelcol_receiver_failed_spans	0
otelcol-sbrev0-ctr-khtzk	otelcol_receiver_accepted_spans	3589616
otelcol-sbrev0-ctr-khtzk	otelcol_exporter_sent_spans	3589616
otelcol-sbrev0-ctr-khtzk	otelcol_process_uptime	1238
otelcol-sbrev0-ctr-khtzk	otelcol_exporter_send_failed_spans	0
otelcol-sbrev0-ctr-khtzk	otelcol_process_runtime_heap_alloc_bytes	36420576
otelcol-sbrev0-ctr-khtzk	otelcol_exporter_queue_capacity	1001
otelcol-sbrev0-ctr-khtzk	otelcol_processor_incoming_items	3589616
otelcol-sbrev0-ctr-khtzk	otelcol_exporter_queue_batch_send_size_sum	3589616
otelcol-sbrev0-ctr-khtzk	otelcol_processor_outgoing_items	3589616
otelcol-sbrev0-ctr-khtzk	otelcol_processor_batch_metadata_cardinality	1
otelcol-sbrev0-ctr-khtzk	otelcol_exporter_queue_size	0
otelcol-sbrev0-ctr-khtzk	otelcol_processor_batch_timeout_trigger_send	4749
otelcol-sbrev0-ctr-khtzk	otelcol_process_runtime_total_alloc_bytes	2358772336
otelcol-sbrev0-ctr-khtzk	otelcol_processor_accepted_spans	3589616
otelcol-sbrev0-ctr-khtzk	otelcol_process_memory_rss	229285888
otelcol-sbrev0-ctr-khtzk	otelcol_process_cpu_seconds	66
otelcol-sbrev0-ctr-5q744	otelcol_exporter_queue_size	0
otelcol-sbrev0-ctr-5q744	otelcol_process_runtime_total_alloc_bytes	4629217320
otelcol-sbrev0-ctr-5q744	otelcol_processor_outgoing_items	8043032
otelcol-sbrev0-ctr-5q744	otelcol_processor_batch_metadata_cardinality	1
otelcol-sbrev0-ctr-5q744	otelcol_process_runtime_heap_alloc_bytes	60713936
otelcol-sbrev0-ctr-5q744	otelcol_processor_batch_timeout_trigger_send	4756
otelcol-sbrev0-ctr-5q744	otelcol_receiver_accepted_spans	8043032
otelcol-sbrev0-ctr-5q744	otelcol_receiver_failed_spans	0
otelcol-sbrev0-ctr-5q744	otelcol_processor_accepted_spans	8043032
otelcol-sbrev0-ctr-5q744	otelcol_process_cpu_seconds	99
otelcol-sbrev0-ctr-5q744	otelcol_exporter_send_failed_spans	0
otelcol-sbrev0-ctr-5q744	otelcol_processor_batch_batch_send_size_sum	8043032
otelcol-sbrev0-ctr-5q744	otelcol_process_runtime_total_sys_memory_bytes	111245608
otelcol-sbrev0-ctr-5q744	otelcol_exporter_sent_spans	8043032
otelcol-sbrev0-ctr-5q744	otelcol_exporter_queue_capacity	1001
otelcol-sbrev0-ctr-5q744	otelcol_exporter_queue_batch_send_size_sum	8043032
otelcol-sbrev0-ctr-5q744	otelcol_receiver_refused_spans	0
otelcol-sbrev0-ctr-5q744	otelcol_process_memory_rss	238555136
otelcol-sbrev0-ctr-5q744	otelcol_processor_incoming_items	8043032
otelcol-sbrev0-ctr-5q744	otelcol_process_uptime	1237
otelcol-sbrev0-ctr-jmm2m	otelcol_receiver_accepted_spans	16723897
otelcol-sbrev0-ctr-jmm2m	otelcol_processor_batch_timeout_trigger_send	4741
otelcol-sbrev0-ctr-jmm2m	otelcol_receiver_failed_spans	0
otelcol-sbrev0-ctr-jmm2m	otelcol_process_runtime_total_sys_memory_bytes	145053992
otelcol-sbrev0-ctr-jmm2m	otelcol_processor_accepted_spans	16723897
otelcol-sbrev0-ctr-jmm2m	otelcol_process_cpu_seconds	206
otelcol-sbrev0-ctr-jmm2m	otelcol_exporter_queue_capacity	1001
otelcol-sbrev0-ctr-jmm2m	otelcol_processor_batch_batch_send_size_sum	16723897
otelcol-sbrev0-ctr-jmm2m	otelcol_exporter_sent_spans	16723897
otelcol-sbrev0-ctr-jmm2m	otelcol_process_runtime_heap_alloc_bytes	61752120
otelcol-sbrev0-ctr-jmm2m	otelcol_exporter_send_failed_spans	0
otelcol-sbrev0-ctr-jmm2m	otelcol_processor_batch_batch_size_trigger_send	1
otelcol-sbrev0-ctr-jmm2m	otelcol_process_memory_rss	266870784
otelcol-sbrev0-ctr-jmm2m	otelcol_exporter_queue_size	0
otelcol-sbrev0-ctr-jmm2m	otelcol_processor_incoming_items	16723897
otelcol-sbrev0-ctr-jmm2m	otelcol_exporter_queue_batch_send_size_sum	16723897
otelcol-sbrev0-ctr-jmm2m	otelcol_process_uptime	1237
otelcol-sbrev0-ctr-jmm2m	otelcol_receiver_refused_spans	0
otelcol-sbrev0-ctr-jmm2m	otelcol_processor_outgoing_items	16723897
otelcol-sbrev0-ctr-jmm2m	otelcol_processor_batch_metadata_cardinality	1
otelcol-sbrev0-ctr-jmm2m	otelcol_process_runtime_total_alloc_bytes	12415126584
otelcol-sbrev0-ctr-rwgxc	otelcol_process_memory_rss	229662720
otelcol-sbrev0-ctr-rwgxc	otelcol_exporter_queue_size	0
otelcol-sbrev0-ctr-rwgxc	otelcol_process_runtime_total_sys_memory_bytes	94587160
otelcol-sbrev0-ctr-rwgxc	otelcol_process_runtime_total_alloc_bytes	1403721792
otelcol-sbrev0-ctr-rwgxc	otelcol_exporter_send_failed_spans	0
otelcol-sbrev0-ctr-rwgxc	otelcol_receiver_accepted_spans	2129761
otelcol-sbrev0-ctr-rwgxc	otelcol_processor_batch_metadata_cardinality	1
otelcol-sbrev0-ctr-rwgxc	otelcol_processor_accepted_spans	2129761
otelcol-sbrev0-ctr-rwgxc	otelcol_process_runtime_heap_alloc_bytes	50094720
otelcol-sbrev0-ctr-rwgxc	otelcol_processor_batch_timeout_trigger_send	4744
otelcol-sbrev0-ctr-rwgxc	otelcol_receiver_refused_spans	0
otelcol-sbrev0-ctr-rwgxc	otelcol_process_uptime	1238
otelcol-sbrev0-ctr-rwgxc	otelcol_process_cpu_seconds	38
otelcol-sbrev0-ctr-rwgxc	otelcol_exporter_sent_spans	2129761
otelcol-sbrev0-ctr-rwgxc	otelcol_exporter_queue_capacity	1001
otelcol-sbrev0-ctr-rwgxc	otelcol_receiver_failed_spans	0
otelcol-sbrev0-ctr-rwgxc	otelcol_exporter_queue_batch_send_size_sum	2129761
otelcol-sbrev0-ctr-rwgxc	otelcol_processor_incoming_items	2129761
otelcol-sbrev0-ctr-rwgxc	otelcol_processor_batch_batch_send_size_sum	2129761
otelcol-sbrev0-ctr-rwgxc	otelcol_processor_outgoing_items	2129761
otelcol-sbrev0-ctr-9z42z	otelcol_receiver_failed_spans	0
otelcol-sbrev0-ctr-9z42z	otelcol_receiver_accepted_spans	3587638
otelcol-sbrev0-ctr-9z42z	otelcol_exporter_sent_spans	3587638
otelcol-sbrev0-ctr-9z42z	otelcol_processor_accepted_spans	3587638
otelcol-sbrev0-ctr-9z42z	otelcol_exporter_queue_size	0
otelcol-sbrev0-ctr-9z42z	otelcol_exporter_queue_capacity	1001
otelcol-sbrev0-ctr-9z42z	otelcol_receiver_refused_spans	0
otelcol-sbrev0-ctr-9z42z	otelcol_process_uptime	1238
otelcol-sbrev0-ctr-9z42z	otelcol_process_runtime_total_alloc_bytes	2329856304
otelcol-sbrev0-ctr-9z42z	otelcol_processor_batch_timeout_trigger_send	4750
otelcol-sbrev0-ctr-9z42z	otelcol_process_runtime_heap_alloc_bytes	56853888
otelcol-sbrev0-ctr-9z42z	otelcol_processor_incoming_items	3587638
otelcol-sbrev0-ctr-9z42z	otelcol_process_memory_rss	230436864
otelcol-sbrev0-ctr-9z42z	otelcol_exporter_queue_batch_send_size_sum	3587638
otelcol-sbrev0-ctr-9z42z	otelcol_processor_batch_batch_send_size_sum	3587638
otelcol-sbrev0-ctr-9z42z	otelcol_process_cpu_seconds	63
otelcol-sbrev0-ctr-9z42z	otelcol_processor_outgoing_items	3587638
otelcol-sbrev0-ctr-9z42z	otelcol_processor_batch_metadata_cardinality	1
otelcol-sbrev0-ctr-9z42z	otelcol_process_runtime_total_sys_memory_bytes	98392360
otelcol-sbrev0-ctr-9z42z	otelcol_exporter_send_failed_spans	0
otelcol-sbrev0-ctr-qqmrh	otelcol_exporter_queue_size	0
otelcol-sbrev0-ctr-qqmrh	otelcol_processor_batch_metadata_cardinality	1
otelcol-sbrev0-ctr-qqmrh	otelcol_processor_accepted_spans	3595543
otelcol-sbrev0-ctr-qqmrh	otelcol_process_runtime_total_alloc_bytes	2362764896
otelcol-sbrev0-ctr-qqmrh	otelcol_receiver_refused_spans	0
otelcol-sbrev0-ctr-qqmrh	otelcol_receiver_accepted_spans	3595543
otelcol-sbrev0-ctr-qqmrh	otelcol_processor_batch_batch_send_size_sum	3595543
otelcol-sbrev0-ctr-qqmrh	otelcol_exporter_send_failed_spans	0
otelcol-sbrev0-ctr-qqmrh	otelcol_exporter_queue_capacity	1001
otelcol-sbrev0-ctr-qqmrh	otelcol_processor_batch_timeout_trigger_send	4748
otelcol-sbrev0-ctr-qqmrh	otelcol_process_runtime_total_sys_memory_bytes	106527016
otelcol-sbrev0-ctr-qqmrh	otelcol_process_uptime	1238
otelcol-sbrev0-ctr-qqmrh	otelcol_process_runtime_heap_alloc_bytes	38809896
otelcol-sbrev0-ctr-qqmrh	otelcol_process_cpu_seconds	60
otelcol-sbrev0-ctr-qqmrh	otelcol_exporter_queue_batch_send_size_sum	3595543
otelcol-sbrev0-ctr-qqmrh	otelcol_processor_incoming_items	3595543
otelcol-sbrev0-ctr-qqmrh	otelcol_receiver_failed_spans	0
otelcol-sbrev0-ctr-qqmrh	otelcol_processor_outgoing_items	3595543
otelcol-sbrev0-ctr-qqmrh	otelcol_process_memory_rss	232472576
otelcol-sbrev0-ctr-qqmrh	otelcol_exporter_sent_spans	3595543
otelcol-sbrev0-ctr-c2msm	otelcol_processor_batch_timeout_trigger_send	4742
otelcol-sbrev0-ctr-c2msm	otelcol_exporter_send_failed_spans	0
otelcol-sbrev0-ctr-c2msm	otelcol_processor_accepted_spans	5052748
otelcol-sbrev0-ctr-c2msm	otelcol_receiver_accepted_spans	5052748
otelcol-sbrev0-ctr-c2msm	otelcol_processor_batch_batch_send_size_sum	5052748
otelcol-sbrev0-ctr-c2msm	otelcol_process_uptime	1238
