pod	metric	value
otelcol-sbrev0-ctr-4mbt5	otelcol_process_runtime_heap_alloc_bytes	51780080
otelcol-sbrev0-ctr-4mbt5	otelcol_exporter_send_failed_spans	0
otelcol-sbrev0-ctr-4mbt5	otelcol_processor_batch_batch_send_size_sum	288168
otelcol-sbrev0-ctr-4mbt5	otelcol_processor_incoming_items	288168
otelcol-sbrev0-ctr-4mbt5	otelcol_exporter_queue_batch_send_size_sum	288168
otelcol-sbrev0-ctr-4mbt5	otelcol_processor_outgoing_items	288168
otelcol-sbrev0-ctr-4mbt5	otelcol_process_cpu_seconds	10
otelcol-sbrev0-ctr-4mbt5	otelcol_process_runtime_total_sys_memory_bytes	88590616
otelcol-sbrev0-ctr-4mbt5	otelcol_receiver_accepted_spans	288168
otelcol-sbrev0-ctr-4mbt5	otelcol_processor_accepted_spans	288168
otelcol-sbrev0-ctr-4mbt5	otelcol_process_uptime	317
otelcol-sbrev0-ctr-4mbt5	otelcol_process_memory_rss	227201024
otelcol-sbrev0-ctr-4mbt5	otelcol_processor_batch_metadata_cardinality	1
otelcol-sbrev0-ctr-4mbt5	otelcol_receiver_failed_spans	0
otelcol-sbrev0-ctr-4mbt5	otelcol_processor_batch_timeout_trigger_send	799
otelcol-sbrev0-ctr-4mbt5	otelcol_process_runtime_total_alloc_bytes	321489912
otelcol-sbrev0-ctr-4mbt5	otelcol_exporter_queue_capacity	1001
otelcol-sbrev0-ctr-4mbt5	otelcol_receiver_refused_spans	0
otelcol-sbrev0-ctr-4mbt5	otelcol_exporter_sent_spans	288168
otelcol-sbrev0-ctr-4mbt5	otelcol_exporter_queue_size	0
otelcol-sbrev0-ctr-6xq4c	otelcol_processor_outgoing_items	547958
otelcol-sbrev0-ctr-6xq4c	otelcol_process_uptime	343
otelcol-sbrev0-ctr-6xq4c	otelcol_process_memory_rss	228233216
otelcol-sbrev0-ctr-6xq4c	otelcol_exporter_send_failed_spans	0
otelcol-sbrev0-ctr-6xq4c	otelcol_processor_accepted_spans	547958
otelcol-sbrev0-ctr-6xq4c	otelcol_process_runtime_total_alloc_bytes	423751176
otelcol-sbrev0-ctr-6xq4c	otelcol_process_cpu_seconds	13
otelcol-sbrev0-ctr-6xq4c	otelcol_exporter_sent_spans	547958
otelcol-sbrev0-ctr-6xq4c	otelcol_receiver_failed_spans	0
otelcol-sbrev0-ctr-6xq4c	otelcol_process_runtime_heap_alloc_bytes	39859328
otelcol-sbrev0-ctr-6xq4c	otelcol_exporter_queue_batch_send_size_sum	547958
otelcol-sbrev0-ctr-6xq4c	otelcol_receiver_accepted_spans	547958
