service	pod	key	value
wrk2api	wrk2api-service-sbrev0-ctr-2lr79	spans_received	726215
wrk2api	wrk2api-service-sbrev0-ctr-2lr79	spans_flushed	726215
wrk2api	wrk2api-service-sbrev0-ctr-2lr79	spans_sent	719877
wrk2api	wrk2api-service-sbrev0-ctr-2lr79	batches_sent	43768
wrk2api	wrk2api-service-sbrev0-ctr-2lr79	spans_dropped	6338
wrk2api	wrk2api-service-sbrev0-ctr-2lr79	batches_dropped	234
wrk2api	wrk2api-service-sbrev0-ctr-2lr79	cp_received	362986
wrk2api	wrk2api-service-sbrev0-ctr-2lr79	lp_received	363229
wrk2api	wrk2api-service-sbrev0-ctr-2lr79	cp_sent	359938
wrk2api	wrk2api-service-sbrev0-ctr-2lr79	lp_sent	359939
wrk2api	wrk2api-service-sbrev0-ctr-2lr79	cp_dropped	3048
wrk2api	wrk2api-service-sbrev0-ctr-2lr79	lp_dropped	3290
wrk2api	wrk2api-service-sbrev0-ctr-2lr79	send_deadline	194
wrk2api	wrk2api-service-sbrev0-ctr-2lr79	send_unavailable	40
wrk2api	wrk2api-service-sbrev0-ctr-2lr79	send_exhausted	0
wrk2api	wrk2api-service-sbrev0-ctr-2lr79	send_canceled	0
wrk2api	wrk2api-service-sbrev0-ctr-2lr79	send_other	0
wrk2api	wrk2api-service-sbrev0-ctr-2lr79	hp_buffer_depth	0
wrk2api	wrk2api-service-sbrev0-ctr-2lr79	lp_buffer_depth	0
composepost	composepost-service-sbrev0-ctr-5898fb7c9c-gdl76	spans_received	27480705
composepost	composepost-service-sbrev0-ctr-5898fb7c9c-gdl76	spans_flushed	27480705
composepost	composepost-service-sbrev0-ctr-5898fb7c9c-gdl76	spans_sent	25861690
composepost	composepost-service-sbrev0-ctr-5898fb7c9c-gdl76	batches_sent	175115
composepost	composepost-service-sbrev0-ctr-5898fb7c9c-gdl76	spans_dropped	1619015
composepost	composepost-service-sbrev0-ctr-5898fb7c9c-gdl76	batches_dropped	8877
composepost	composepost-service-sbrev0-ctr-5898fb7c9c-gdl76	cp_received	24045642
composepost	composepost-service-sbrev0-ctr-5898fb7c9c-gdl76	lp_received	3435063
composepost	composepost-service-sbrev0-ctr-5898fb7c9c-gdl76	cp_sent	22629046
composepost	composepost-service-sbrev0-ctr-5898fb7c9c-gdl76	lp_sent	3232644
composepost	composepost-service-sbrev0-ctr-5898fb7c9c-gdl76	cp_dropped	1416596
composepost	composepost-service-sbrev0-ctr-5898fb7c9c-gdl76	lp_dropped	202419
composepost	composepost-service-sbrev0-ctr-5898fb7c9c-gdl76	send_deadline	1
composepost	composepost-service-sbrev0-ctr-5898fb7c9c-gdl76	send_unavailable	8876
composepost	composepost-service-sbrev0-ctr-5898fb7c9c-gdl76	send_exhausted	0
composepost	composepost-service-sbrev0-ctr-5898fb7c9c-gdl76	send_canceled	0
composepost	composepost-service-sbrev0-ctr-5898fb7c9c-gdl76	send_other	0
composepost	composepost-service-sbrev0-ctr-5898fb7c9c-gdl76	hp_buffer_depth	0
composepost	composepost-service-sbrev0-ctr-5898fb7c9c-gdl76	lp_buffer_depth	0
hometimeline	hometimeline-service-sbrev0-ctr-cfd5f6d88-jzwn6	spans_received	6870024
hometimeline	hometimeline-service-sbrev0-ctr-cfd5f6d88-jzwn6	spans_flushed	6870024
hometimeline	hometimeline-service-sbrev0-ctr-cfd5f6d88-jzwn6	spans_sent	6476208
hometimeline	hometimeline-service-sbrev0-ctr-cfd5f6d88-jzwn6	batches_sent	43840
hometimeline	hometimeline-service-sbrev0-ctr-cfd5f6d88-jzwn6	spans_dropped	393816
hometimeline	hometimeline-service-sbrev0-ctr-cfd5f6d88-jzwn6	batches_dropped	2154
hometimeline	hometimeline-service-sbrev0-ctr-cfd5f6d88-jzwn6	cp_received	0
hometimeline	hometimeline-service-sbrev0-ctr-cfd5f6d88-jzwn6	lp_received	6870024
hometimeline	hometimeline-service-sbrev0-ctr-cfd5f6d88-jzwn6	cp_sent	0
hometimeline	hometimeline-service-sbrev0-ctr-cfd5f6d88-jzwn6	lp_sent	6476208
hometimeline	hometimeline-service-sbrev0-ctr-cfd5f6d88-jzwn6	cp_dropped	0
hometimeline	hometimeline-service-sbrev0-ctr-cfd5f6d88-jzwn6	lp_dropped	393816
hometimeline	hometimeline-service-sbrev0-ctr-cfd5f6d88-jzwn6	send_deadline	0
hometimeline	hometimeline-service-sbrev0-ctr-cfd5f6d88-jzwn6	send_unavailable	2154
hometimeline	hometimeline-service-sbrev0-ctr-cfd5f6d88-jzwn6	send_exhausted	0
hometimeline	hometimeline-service-sbrev0-ctr-cfd5f6d88-jzwn6	send_canceled	0
hometimeline	hometimeline-service-sbrev0-ctr-cfd5f6d88-jzwn6	send_other	0
hometimeline	hometimeline-service-sbrev0-ctr-cfd5f6d88-jzwn6	hp_buffer_depth	0
hometimeline	hometimeline-service-sbrev0-ctr-cfd5f6d88-jzwn6	lp_buffer_depth	0
media	media-service-sbrev0-ctr-54dd79d4f-dphlh	spans_received	3435026
media	media-service-sbrev0-ctr-54dd79d4f-dphlh	spans_flushed	3435026
media	media-service-sbrev0-ctr-54dd79d4f-dphlh	spans_sent	3280036
media	media-service-sbrev0-ctr-54dd79d4f-dphlh	batches_sent	22146
media	media-service-sbrev0-ctr-54dd79d4f-dphlh	spans_dropped	154990
media	media-service-sbrev0-ctr-54dd79d4f-dphlh	batches_dropped	856
media	media-service-sbrev0-ctr-54dd79d4f-dphlh	cp_received	3435026
media	media-service-sbrev0-ctr-54dd79d4f-dphlh	lp_received	0
media	media-service-sbrev0-ctr-54dd79d4f-dphlh	cp_sent	3280036
media	media-service-sbrev0-ctr-54dd79d4f-dphlh	lp_sent	0
media	media-service-sbrev0-ctr-54dd79d4f-dphlh	cp_dropped	154990
media	media-service-sbrev0-ctr-54dd79d4f-dphlh	lp_dropped	0
media	media-service-sbrev0-ctr-54dd79d4f-dphlh	send_deadline	0
media	media-service-sbrev0-ctr-54dd79d4f-dphlh	send_unavailable	856
media	media-service-sbrev0-ctr-54dd79d4f-dphlh	send_exhausted	0
media	media-service-sbrev0-ctr-54dd79d4f-dphlh	send_canceled	0
media	media-service-sbrev0-ctr-54dd79d4f-dphlh	send_other	0
media	media-service-sbrev0-ctr-54dd79d4f-dphlh	hp_buffer_depth	0
media	media-service-sbrev0-ctr-54dd79d4f-dphlh	lp_buffer_depth	0
post-storage	post-storage-service-sbrev0-ctr-6c5f4c5cdb-d58sn	spans_received	3435012
post-storage	post-storage-service-sbrev0-ctr-6c5f4c5cdb-d58sn	spans_flushed	3435012
post-storage	post-storage-service-sbrev0-ctr-6c5f4c5cdb-d58sn	spans_sent	3271331
post-storage	post-storage-service-sbrev0-ctr-6c5f4c5cdb-d58sn	batches_sent	22096
post-storage	post-storage-service-sbrev0-ctr-6c5f4c5cdb-d58sn	spans_dropped	163681
post-storage	post-storage-service-sbrev0-ctr-6c5f4c5cdb-d58sn	batches_dropped	901
post-storage	post-storage-service-sbrev0-ctr-6c5f4c5cdb-d58sn	cp_received	3435012
post-storage	post-storage-service-sbrev0-ctr-6c5f4c5cdb-d58sn	lp_received	0
post-storage	post-storage-service-sbrev0-ctr-6c5f4c5cdb-d58sn	cp_sent	3271331
post-storage	post-storage-service-sbrev0-ctr-6c5f4c5cdb-d58sn	lp_sent	0
post-storage	post-storage-service-sbrev0-ctr-6c5f4c5cdb-d58sn	cp_dropped	163681
post-storage	post-storage-service-sbrev0-ctr-6c5f4c5cdb-d58sn	lp_dropped	0
post-storage	post-storage-service-sbrev0-ctr-6c5f4c5cdb-d58sn	send_deadline	0
post-storage	post-storage-service-sbrev0-ctr-6c5f4c5cdb-d58sn	send_unavailable	901
post-storage	post-storage-service-sbrev0-ctr-6c5f4c5cdb-d58sn	send_exhausted	0
post-storage	post-storage-service-sbrev0-ctr-6c5f4c5cdb-d58sn	send_canceled	0
post-storage	post-storage-service-sbrev0-ctr-6c5f4c5cdb-d58sn	send_other	0
post-storage	post-storage-service-sbrev0-ctr-6c5f4c5cdb-d58sn	hp_buffer_depth	0
post-storage	post-storage-service-sbrev0-ctr-6c5f4c5cdb-d58sn	lp_buffer_depth	0
socialgraph	socialgraph-service-sbrev0-ctr-9b484cddc-7jh5m	spans_received	3548846
socialgraph	socialgraph-service-sbrev0-ctr-9b484cddc-7jh5m	spans_flushed	3548846
socialgraph	socialgraph-service-sbrev0-ctr-9b484cddc-7jh5m	spans_sent	3399329
socialgraph	socialgraph-service-sbrev0-ctr-9b484cddc-7jh5m	batches_sent	22683
socialgraph	socialgraph-service-sbrev0-ctr-9b484cddc-7jh5m	spans_dropped	149517
socialgraph	socialgraph-service-sbrev0-ctr-9b484cddc-7jh5m	batches_dropped	822
socialgraph	socialgraph-service-sbrev0-ctr-9b484cddc-7jh5m	cp_received	3511222
socialgraph	socialgraph-service-sbrev0-ctr-9b484cddc-7jh5m	lp_received	37624
socialgraph	socialgraph-service-sbrev0-ctr-9b484cddc-7jh5m	cp_sent	3361705
socialgraph	socialgraph-service-sbrev0-ctr-9b484cddc-7jh5m	lp_sent	37624
socialgraph	socialgraph-service-sbrev0-ctr-9b484cddc-7jh5m	cp_dropped	149517
socialgraph	socialgraph-service-sbrev0-ctr-9b484cddc-7jh5m	lp_dropped	0
socialgraph	socialgraph-service-sbrev0-ctr-9b484cddc-7jh5m	send_deadline	0
socialgraph	socialgraph-service-sbrev0-ctr-9b484cddc-7jh5m	send_unavailable	822
socialgraph	socialgraph-service-sbrev0-ctr-9b484cddc-7jh5m	send_exhausted	0
socialgraph	socialgraph-service-sbrev0-ctr-9b484cddc-7jh5m	send_canceled	0
socialgraph	socialgraph-service-sbrev0-ctr-9b484cddc-7jh5m	send_other	0
socialgraph	socialgraph-service-sbrev0-ctr-9b484cddc-7jh5m	hp_buffer_depth	0
socialgraph	socialgraph-service-sbrev0-ctr-9b484cddc-7jh5m	lp_buffer_depth	0
text	text-service-sbrev0-ctr-c94b4487d-kx8pz	spans_received	10305109
text	text-service-sbrev0-ctr-c94b4487d-kx8pz	spans_flushed	10305109
text	text-service-sbrev0-ctr-c94b4487d-kx8pz	spans_sent	9827612
text	text-service-sbrev0-ctr-c94b4487d-kx8pz	batches_sent	66364
text	text-service-sbrev0-ctr-c94b4487d-kx8pz	spans_dropped	477497
text	text-service-sbrev0-ctr-c94b4487d-kx8pz	batches_dropped	2627
text	text-service-sbrev0-ctr-c94b4487d-kx8pz	cp_received	0
text	text-service-sbrev0-ctr-c94b4487d-kx8pz	lp_received	10305109
text	text-service-sbrev0-ctr-c94b4487d-kx8pz	cp_sent	0
text	text-service-sbrev0-ctr-c94b4487d-kx8pz	lp_sent	9827612
text	text-service-sbrev0-ctr-c94b4487d-kx8pz	cp_dropped	0
text	text-service-sbrev0-ctr-c94b4487d-kx8pz	lp_dropped	477497
text	text-service-sbrev0-ctr-c94b4487d-kx8pz	send_deadline	0
text	text-service-sbrev0-ctr-c94b4487d-kx8pz	send_unavailable	2627
text	text-service-sbrev0-ctr-c94b4487d-kx8pz	send_exhausted	0
text	text-service-sbrev0-ctr-c94b4487d-kx8pz	send_canceled	0
text	text-service-sbrev0-ctr-c94b4487d-kx8pz	send_other	0
text	text-service-sbrev0-ctr-c94b4487d-kx8pz	hp_buffer_depth	0
text	text-service-sbrev0-ctr-c94b4487d-kx8pz	lp_buffer_depth	0
uniqueid	uniqueid-service-sbrev0-ctr-5d5bdfcf67-z56db	spans_received	3435026
uniqueid	uniqueid-service-sbrev0-ctr-5d5bdfcf67-z56db	spans_flushed	3435026
uniqueid	uniqueid-service-sbrev0-ctr-5d5bdfcf67-z56db	spans_sent	3276564
