pod	metric	value
otelcol-sbrev0-ctr-j579m	otelcol_process_runtime_total_sys_memory_bytes	84068632
otelcol-sbrev0-ctr-j579m	otelcol_process_runtime_total_alloc_bytes	243950456
otelcol-sbrev0-ctr-j579m	otelcol_processor_batch_metadata_cardinality	1
otelcol-sbrev0-ctr-j579m	otelcol_processor_batch_timeout_trigger_send	960
otelcol-sbrev0-ctr-j579m	otelcol_process_cpu_seconds	10
otelcol-sbrev0-ctr-j579m	otelcol_exporter_sent_spans	169079
otelcol-sbrev0-ctr-j579m	otelcol_exporter_send_failed_spans	0
otelcol-sbrev0-ctr-j579m	otelcol_receiver_refused_spans	0
otelcol-sbrev0-ctr-j579m	otelcol_processor_incoming_items	169079
otelcol-sbrev0-ctr-j579m	otelcol_process_runtime_heap_alloc_bytes	49893808
otelcol-sbrev0-ctr-j579m	otelcol_process_memory_rss	218755072
otelcol-sbrev0-ctr-j579m	otelcol_receiver_failed_spans	0
otelcol-sbrev0-ctr-j579m	otelcol_receiver_accepted_spans	169079
otelcol-sbrev0-ctr-j579m	otelcol_processor_outgoing_items	169079
otelcol-sbrev0-ctr-j579m	otelcol_process_uptime	434
otelcol-sbrev0-ctr-j579m	otelcol_exporter_queue_size	0
otelcol-sbrev0-ctr-j579m	otelcol_processor_batch_batch_send_size_sum	169079
otelcol-sbrev0-ctr-j579m	otelcol_exporter_queue_capacity	1001
otelcol-sbrev0-ctr-j579m	otelcol_exporter_queue_batch_send_size_sum	169079
otelcol-sbrev0-ctr-j579m	otelcol_processor_accepted_spans	169079
otelcol-sbrev0-ctr-qrnxh	otelcol_processor_batch_metadata_cardinality	1
otelcol-sbrev0-ctr-qrnxh	otelcol_processor_accepted_spans	633762
otelcol-sbrev0-ctr-qrnxh	otelcol_processor_batch_timeout_trigger_send	972
otelcol-sbrev0-ctr-qrnxh	otelcol_receiver_refused_spans	0
otelcol-sbrev0-ctr-qrnxh	otelcol_receiver_failed_spans	0
otelcol-sbrev0-ctr-qrnxh	otelcol_process_cpu_seconds	15
otelcol-sbrev0-ctr-qrnxh	otelcol_processor_incoming_items	633762
otelcol-sbrev0-ctr-qrnxh	otelcol_receiver_accepted_spans	633762
otelcol-sbrev0-ctr-qrnxh	otelcol_process_runtime_heap_alloc_bytes	39008232
otelcol-sbrev0-ctr-qrnxh	otelcol_exporter_sent_spans	633762
otelcol-sbrev0-ctr-qrnxh	otelcol_exporter_send_failed_spans	0
otelcol-sbrev0-ctr-qrnxh	otelcol_exporter_queue_capacity	1001
otelcol-sbrev0-ctr-qrnxh	otelcol_process_runtime_total_sys_memory_bytes	97716504
otelcol-sbrev0-ctr-qrnxh	otelcol_exporter_queue_size	0
otelcol-sbrev0-ctr-qrnxh	otelcol_processor_outgoing_items	633762
otelcol-sbrev0-ctr-qrnxh	otelcol_process_memory_rss	225325056
