pod	metric	value
otelcol-sbrev0-ctr-vgjg4	otelcol_processor_outgoing_items	1237368
otelcol-sbrev0-ctr-vgjg4	otelcol_process_runtime_total_alloc_bytes	12112870016
otelcol-sbrev0-ctr-vgjg4	otelcol_receiver_accepted_spans	1237368
otelcol-sbrev0-ctr-vgjg4	otelcol_receiver_refused_spans	27808395
otelcol-sbrev0-ctr-vgjg4	otelcol_processor_batch_metadata_cardinality	1
otelcol-sbrev0-ctr-vgjg4	otelcol_processor_batch_batch_send_size_sum	1237368
otelcol-sbrev0-ctr-vgjg4	otelcol_processor_accepted_spans	1237368
otelcol-sbrev0-ctr-vgjg4	otelcol_exporter_queue_capacity	1001
otelcol-sbrev0-ctr-vgjg4	otelcol_processor_batch_timeout_trigger_send	1644
otelcol-sbrev0-ctr-vgjg4	otelcol_exporter_sent_spans	871463
otelcol-sbrev0-ctr-vgjg4	otelcol_exporter_queue_size	252
otelcol-sbrev0-ctr-vgjg4	otelcol_process_uptime	3097
otelcol-sbrev0-ctr-vgjg4	otelcol_process_runtime_heap_alloc_bytes	143702232
otelcol-sbrev0-ctr-vgjg4	otelcol_processor_batch_batch_size_trigger_send	77
otelcol-sbrev0-ctr-vgjg4	otelcol_exporter_queue_batch_send_size_sum	1237368
otelcol-sbrev0-ctr-vgjg4	otelcol_receiver_failed_spans	0
otelcol-sbrev0-ctr-vgjg4	otelcol_exporter_send_failed_spans	0
otelcol-sbrev0-ctr-vgjg4	otelcol_processor_refused_spans	27808395
otelcol-sbrev0-ctr-vgjg4	otelcol_processor_incoming_items	29045763
otelcol-sbrev0-ctr-vgjg4	otelcol_process_runtime_total_sys_memory_bytes	237758776
otelcol-sbrev0-ctr-vgjg4	otelcol_process_memory_rss	342511616
otelcol-sbrev0-ctr-vgjg4	otelcol_process_cpu_seconds	167
otelcol-sbrev0-ctr-cdwd2	otelcol_processor_batch_metadata_cardinality	1
otelcol-sbrev0-ctr-cdwd2	otelcol_process_runtime_total_alloc_bytes	11389526104
otelcol-sbrev0-ctr-cdwd2	otelcol_process_cpu_seconds	314
otelcol-sbrev0-ctr-cdwd2	otelcol_processor_incoming_items	16486537
otelcol-sbrev0-ctr-cdwd2	otelcol_processor_batch_timeout_trigger_send	1613
otelcol-sbrev0-ctr-cdwd2	otelcol_process_uptime	3089
otelcol-sbrev0-ctr-cdwd2	otelcol_process_runtime_heap_alloc_bytes	159220320
otelcol-sbrev0-ctr-cdwd2	otelcol_processor_outgoing_items	945761
otelcol-sbrev0-ctr-cdwd2	otelcol_receiver_failed_spans	0
otelcol-sbrev0-ctr-cdwd2	otelcol_processor_refused_spans	15540776
otelcol-sbrev0-ctr-cdwd2	otelcol_exporter_sent_spans	630538
otelcol-sbrev0-ctr-cdwd2	otelcol_processor_batch_batch_send_size_sum	945761
otelcol-sbrev0-ctr-cdwd2	otelcol_processor_accepted_spans	945761
otelcol-sbrev0-ctr-cdwd2	otelcol_process_memory_rss	347557888
otelcol-sbrev0-ctr-cdwd2	otelcol_exporter_queue_size	367
otelcol-sbrev0-ctr-cdwd2	otelcol_exporter_queue_batch_send_size_sum	945761
otelcol-sbrev0-ctr-cdwd2	otelcol_receiver_accepted_spans	945761
otelcol-sbrev0-ctr-cdwd2	otelcol_exporter_send_failed_spans	0
otelcol-sbrev0-ctr-cdwd2	otelcol_receiver_refused_spans	15540776
otelcol-sbrev0-ctr-cdwd2	otelcol_processor_batch_batch_size_trigger_send	64
otelcol-sbrev0-ctr-cdwd2	otelcol_exporter_queue_capacity	1001
otelcol-sbrev0-ctr-cdwd2	otelcol_process_runtime_total_sys_memory_bytes	262138168
otelcol-sbrev0-ctr-64sjd	otelcol_processor_incoming_items	15994611
otelcol-sbrev0-ctr-64sjd	otelcol_exporter_send_failed_spans	0
