pod	metric	value
otelcol-sbrev0-ctr-vgjg4	otelcol_processor_outgoing_items	965234
otelcol-sbrev0-ctr-vgjg4	otelcol_process_runtime_total_alloc_bytes	6500110784
otelcol-sbrev0-ctr-vgjg4	otelcol_receiver_accepted_spans	965234
otelcol-sbrev0-ctr-vgjg4	otelcol_receiver_refused_spans	13672155
otelcol-sbrev0-ctr-vgjg4	otelcol_processor_batch_metadata_cardinality	1
otelcol-sbrev0-ctr-vgjg4	otelcol_processor_batch_batch_send_size_sum	965234
otelcol-sbrev0-ctr-vgjg4	otelcol_processor_accepted_spans	965234
otelcol-sbrev0-ctr-vgjg4	otelcol_exporter_queue_capacity	1001
otelcol-sbrev0-ctr-vgjg4	otelcol_processor_batch_timeout_trigger_send	1630
otelcol-sbrev0-ctr-vgjg4	otelcol_exporter_sent_spans	830935
otelcol-sbrev0-ctr-vgjg4	otelcol_exporter_queue_size	366
otelcol-sbrev0-ctr-vgjg4	otelcol_process_uptime	2780
otelcol-sbrev0-ctr-vgjg4	otelcol_process_runtime_heap_alloc_bytes	77178656
otelcol-sbrev0-ctr-vgjg4	otelcol_processor_batch_batch_size_trigger_send	53
otelcol-sbrev0-ctr-vgjg4	otelcol_exporter_queue_batch_send_size_sum	965234
otelcol-sbrev0-ctr-vgjg4	otelcol_receiver_failed_spans	0
otelcol-sbrev0-ctr-vgjg4	otelcol_exporter_send_failed_spans	0
otelcol-sbrev0-ctr-vgjg4	otelcol_processor_refused_spans	13672155
otelcol-sbrev0-ctr-vgjg4	otelcol_processor_incoming_items	14637389
otelcol-sbrev0-ctr-vgjg4	otelcol_process_runtime_total_sys_memory_bytes	237234488
otelcol-sbrev0-ctr-vgjg4	otelcol_process_memory_rss	263442432
otelcol-sbrev0-ctr-vgjg4	otelcol_process_cpu_seconds	96
otelcol-sbrev0-ctr-cdwd2	otelcol_processor_batch_metadata_cardinality	1
otelcol-sbrev0-ctr-cdwd2	otelcol_process_runtime_total_alloc_bytes	6371349136
otelcol-sbrev0-ctr-cdwd2	otelcol_process_cpu_seconds	164
otelcol-sbrev0-ctr-cdwd2	otelcol_processor_incoming_items	9360778
otelcol-sbrev0-ctr-cdwd2	otelcol_processor_batch_timeout_trigger_send	1607
otelcol-sbrev0-ctr-cdwd2	otelcol_process_uptime	2772
otelcol-sbrev0-ctr-cdwd2	otelcol_process_runtime_heap_alloc_bytes	78469168
otelcol-sbrev0-ctr-cdwd2	otelcol_processor_outgoing_items	764089
otelcol-sbrev0-ctr-cdwd2	otelcol_receiver_failed_spans	0
otelcol-sbrev0-ctr-cdwd2	otelcol_processor_refused_spans	8596689
otelcol-sbrev0-ctr-cdwd2	otelcol_exporter_sent_spans	629961
otelcol-sbrev0-ctr-cdwd2	otelcol_processor_batch_batch_send_size_sum	764089
otelcol-sbrev0-ctr-cdwd2	otelcol_processor_accepted_spans	764089
otelcol-sbrev0-ctr-cdwd2	otelcol_process_memory_rss	260493312
otelcol-sbrev0-ctr-cdwd2	otelcol_exporter_queue_size	369
otelcol-sbrev0-ctr-cdwd2	otelcol_exporter_queue_batch_send_size_sum	764089
otelcol-sbrev0-ctr-cdwd2	otelcol_receiver_accepted_spans	764089
otelcol-sbrev0-ctr-cdwd2	otelcol_exporter_send_failed_spans	0
otelcol-sbrev0-ctr-cdwd2	otelcol_receiver_refused_spans	8596689
otelcol-sbrev0-ctr-cdwd2	otelcol_processor_batch_batch_size_trigger_send	46
otelcol-sbrev0-ctr-cdwd2	otelcol_exporter_queue_capacity	1001
otelcol-sbrev0-ctr-cdwd2	otelcol_process_runtime_total_sys_memory_bytes	245360952
otelcol-sbrev0-ctr-64sjd	otelcol_processor_incoming_items	10147746
otelcol-sbrev0-ctr-64sjd	otelcol_exporter_send_failed_spans	0
otelcol-sbrev0-ctr-64sjd	otelcol_receiver_failed_spans	0
otelcol-sbrev0-ctr-64sjd	otelcol_processor_batch_batch_send_size_sum	814835
otelcol-sbrev0-ctr-64sjd	otelcol_process_runtime_heap_alloc_bytes	79653032
otelcol-sbrev0-ctr-64sjd	otelcol_processor_batch_metadata_cardinality	1
otelcol-sbrev0-ctr-64sjd	otelcol_receiver_refused_spans	9332911
otelcol-sbrev0-ctr-64sjd	otelcol_processor_batch_timeout_trigger_send	1612
otelcol-sbrev0-ctr-64sjd	otelcol_process_cpu_seconds	155
otelcol-sbrev0-ctr-64sjd	otelcol_processor_outgoing_items	814835
otelcol-sbrev0-ctr-64sjd	otelcol_process_uptime	2776
otelcol-sbrev0-ctr-64sjd	otelcol_exporter_queue_batch_send_size_sum	814835
otelcol-sbrev0-ctr-64sjd	otelcol_processor_refused_spans	9332911
otelcol-sbrev0-ctr-64sjd	otelcol_process_memory_rss	262156288
otelcol-sbrev0-ctr-64sjd	otelcol_processor_accepted_spans	814835
otelcol-sbrev0-ctr-64sjd	otelcol_process_runtime_total_alloc_bytes	6500359736
otelcol-sbrev0-ctr-64sjd	otelcol_receiver_accepted_spans	814835
otelcol-sbrev0-ctr-64sjd	otelcol_processor_batch_batch_size_trigger_send	48
otelcol-sbrev0-ctr-64sjd	otelcol_process_runtime_total_sys_memory_bytes	254404920
otelcol-sbrev0-ctr-64sjd	otelcol_exporter_sent_spans	680718
otelcol-sbrev0-ctr-64sjd	otelcol_exporter_queue_size	367
otelcol-sbrev0-ctr-64sjd	otelcol_exporter_queue_capacity	1001
otelcol-sbrev0-ctr-x8zvn	otelcol_processor_refused_spans	8286409
otelcol-sbrev0-ctr-x8zvn	otelcol_processor_batch_metadata_cardinality	1
otelcol-sbrev0-ctr-x8zvn	otelcol_process_cpu_seconds	174
otelcol-sbrev0-ctr-x8zvn	otelcol_receiver_failed_spans	0
otelcol-sbrev0-ctr-x8zvn	otelcol_processor_batch_timeout_trigger_send	1601
otelcol-sbrev0-ctr-x8zvn	otelcol_process_uptime	2769
otelcol-sbrev0-ctr-x8zvn	otelcol_receiver_accepted_spans	737569
otelcol-sbrev0-ctr-x8zvn	otelcol_processor_incoming_items	9023978
otelcol-sbrev0-ctr-x8zvn	otelcol_exporter_queue_batch_send_size_sum	737569
otelcol-sbrev0-ctr-x8zvn	otelcol_processor_batch_batch_size_trigger_send	45
otelcol-sbrev0-ctr-x8zvn	otelcol_exporter_sent_spans	603385
otelcol-sbrev0-ctr-x8zvn	otelcol_exporter_queue_capacity	1001
otelcol-sbrev0-ctr-x8zvn	otelcol_processor_outgoing_items	737569
otelcol-sbrev0-ctr-x8zvn	otelcol_process_runtime_total_alloc_bytes	6571468536
otelcol-sbrev0-ctr-x8zvn	otelcol_exporter_send_failed_spans	0
otelcol-sbrev0-ctr-x8zvn	otelcol_processor_batch_batch_send_size_sum	737569
otelcol-sbrev0-ctr-x8zvn	otelcol_process_runtime_heap_alloc_bytes	75682616
otelcol-sbrev0-ctr-x8zvn	otelcol_processor_accepted_spans	737569
otelcol-sbrev0-ctr-x8zvn	otelcol_process_runtime_total_sys_memory_bytes	271116600
otelcol-sbrev0-ctr-x8zvn	otelcol_process_memory_rss	265465856
otelcol-sbrev0-ctr-x8zvn	otelcol_exporter_queue_size	370
otelcol-sbrev0-ctr-x8zvn	otelcol_receiver_refused_spans	8286409
otelcol-sbrev0-ctr-jtjrt	otelcol_processor_accepted_spans	1997060
otelcol-sbrev0-ctr-jtjrt	otelcol_process_runtime_total_alloc_bytes	8770029104
otelcol-sbrev0-ctr-jtjrt	otelcol_exporter_sent_spans	1691398
otelcol-sbrev0-ctr-jtjrt	otelcol_processor_refused_spans	9310178
otelcol-sbrev0-ctr-jtjrt	otelcol_processor_batch_batch_size_trigger_send	38
otelcol-sbrev0-ctr-jtjrt	otelcol_processor_batch_metadata_cardinality	1
otelcol-sbrev0-ctr-jtjrt	otelcol_processor_batch_timeout_trigger_send	1369
otelcol-sbrev0-ctr-jtjrt	otelcol_receiver_accepted_spans	1997060
otelcol-sbrev0-ctr-jtjrt	otelcol_process_uptime	2751
otelcol-sbrev0-ctr-jtjrt	otelcol_exporter_queue_batch_send_size_sum	1997060
otelcol-sbrev0-ctr-jtjrt	otelcol_process_runtime_heap_alloc_bytes	152049096
otelcol-sbrev0-ctr-jtjrt	otelcol_exporter_queue_size	152
otelcol-sbrev0-ctr-jtjrt	otelcol_exporter_queue_capacity	1001
otelcol-sbrev0-ctr-jtjrt	otelcol_processor_incoming_items	11307238
otelcol-sbrev0-ctr-jtjrt	otelcol_processor_batch_batch_send_size_sum	1997060
otelcol-sbrev0-ctr-jtjrt	otelcol_process_memory_rss	342278144
otelcol-sbrev0-ctr-jtjrt	otelcol_processor_outgoing_items	1997060
otelcol-sbrev0-ctr-jtjrt	otelcol_process_runtime_total_sys_memory_bytes	263584072
otelcol-sbrev0-ctr-jtjrt	otelcol_exporter_send_failed_spans	0
otelcol-sbrev0-ctr-jtjrt	otelcol_receiver_refused_spans	9310178
otelcol-sbrev0-ctr-jtjrt	otelcol_receiver_failed_spans	0
otelcol-sbrev0-ctr-jtjrt	otelcol_process_cpu_seconds	200
otelcol-sbrev0-ctr-kzqlk	otelcol_processor_batch_batch_size_trigger_send	45
otelcol-sbrev0-ctr-kzqlk	otelcol_processor_batch_batch_send_size_sum	1403957
otelcol-sbrev0-ctr-kzqlk	otelcol_exporter_sent_spans	1053108
otelcol-sbrev0-ctr-kzqlk	otelcol_receiver_refused_spans	11402941
otelcol-sbrev0-ctr-kzqlk	otelcol_processor_refused_spans	11402941
otelcol-sbrev0-ctr-kzqlk	otelcol_processor_incoming_items	12806898
otelcol-sbrev0-ctr-kzqlk	otelcol_processor_outgoing_items	1403957
otelcol-sbrev0-ctr-kzqlk	otelcol_processor_batch_metadata_cardinality	1
otelcol-sbrev0-ctr-kzqlk	otelcol_process_runtime_total_sys_memory_bytes	249821512
otelcol-sbrev0-ctr-kzqlk	otelcol_exporter_queue_batch_send_size_sum	1403957
otelcol-sbrev0-ctr-kzqlk	otelcol_receiver_accepted_spans	1403957
otelcol-sbrev0-ctr-kzqlk	otelcol_processor_batch_timeout_trigger_send	1539
otelcol-sbrev0-ctr-kzqlk	otelcol_process_uptime	2762
otelcol-sbrev0-ctr-kzqlk	otelcol_exporter_queue_size	300
otelcol-sbrev0-ctr-kzqlk	otelcol_receiver_failed_spans	0
otelcol-sbrev0-ctr-kzqlk	otelcol_process_runtime_heap_alloc_bytes	131651016
otelcol-sbrev0-ctr-kzqlk	otelcol_processor_accepted_spans	1403957
otelcol-sbrev0-ctr-kzqlk	otelcol_exporter_queue_capacity	1001
otelcol-sbrev0-ctr-kzqlk	otelcol_process_runtime_total_alloc_bytes	7875954280
otelcol-sbrev0-ctr-kzqlk	otelcol_exporter_send_failed_spans	0
otelcol-sbrev0-ctr-kzqlk	otelcol_process_memory_rss	335335424
otelcol-sbrev0-ctr-kzqlk	otelcol_process_cpu_seconds	173
otelcol-sbrev0-ctr-lttmr	otelcol_process_runtime_heap_alloc_bytes	117185328
otelcol-sbrev0-ctr-lttmr	otelcol_process_cpu_seconds	157
otelcol-sbrev0-ctr-lttmr	otelcol_exporter_send_failed_spans	0
otelcol-sbrev0-ctr-lttmr	otelcol_processor_refused_spans	10062445
otelcol-sbrev0-ctr-lttmr	otelcol_exporter_sent_spans	790168
otelcol-sbrev0-ctr-lttmr	otelcol_process_runtime_total_sys_memory_bytes	253815096
otelcol-sbrev0-ctr-lttmr	otelcol_receiver_failed_spans	0
otelcol-sbrev0-ctr-lttmr	otelcol_processor_incoming_items	11095436
otelcol-sbrev0-ctr-lttmr	otelcol_processor_batch_batch_size_trigger_send	47
otelcol-sbrev0-ctr-lttmr	otelcol_process_memory_rss	314327040
otelcol-sbrev0-ctr-lttmr	otelcol_exporter_queue_batch_send_size_sum	1032991
otelcol-sbrev0-ctr-lttmr	otelcol_receiver_refused_spans	10062445
otelcol-sbrev0-ctr-lttmr	otelcol_receiver_accepted_spans	1032991
otelcol-sbrev0-ctr-lttmr	otelcol_exporter_queue_size	369
otelcol-sbrev0-ctr-lttmr	otelcol_exporter_queue_capacity	1001
otelcol-sbrev0-ctr-lttmr	otelcol_processor_batch_metadata_cardinality	1
otelcol-sbrev0-ctr-lttmr	otelcol_processor_batch_timeout_trigger_send	1615
otelcol-sbrev0-ctr-lttmr	otelcol_processor_outgoing_items	1032991
otelcol-sbrev0-ctr-lttmr	otelcol_processor_batch_batch_send_size_sum	1032991
otelcol-sbrev0-ctr-lttmr	otelcol_process_uptime	2774
otelcol-sbrev0-ctr-lttmr	otelcol_processor_accepted_spans	1032991
otelcol-sbrev0-ctr-lttmr	otelcol_process_runtime_total_alloc_bytes	6873012968
otelcol-sbrev0-ctr-k4m4r	otelcol_processor_accepted_spans	746801
otelcol-sbrev0-ctr-k4m4r	otelcol_exporter_queue_batch_send_size_sum	746801
otelcol-sbrev0-ctr-k4m4r	otelcol_processor_batch_metadata_cardinality	1
otelcol-sbrev0-ctr-k4m4r	otelcol_process_uptime	2766
otelcol-sbrev0-ctr-k4m4r	otelcol_exporter_send_failed_spans	0
otelcol-sbrev0-ctr-k4m4r	otelcol_processor_batch_timeout_trigger_send	1614
otelcol-sbrev0-ctr-k4m4r	otelcol_processor_refused_spans	9272599
otelcol-sbrev0-ctr-k4m4r	otelcol_processor_batch_batch_size_trigger_send	40
otelcol-sbrev0-ctr-k4m4r	otelcol_process_cpu_seconds	161
otelcol-sbrev0-ctr-k4m4r	otelcol_receiver_failed_spans	0
otelcol-sbrev0-ctr-k4m4r	otelcol_receiver_accepted_spans	746801
otelcol-sbrev0-ctr-k4m4r	otelcol_processor_incoming_items	10019400
otelcol-sbrev0-ctr-k4m4r	otelcol_process_runtime_heap_alloc_bytes	77805472
otelcol-sbrev0-ctr-k4m4r	otelcol_process_memory_rss	262041600
otelcol-sbrev0-ctr-k4m4r	otelcol_processor_outgoing_items	746801
otelcol-sbrev0-ctr-k4m4r	otelcol_processor_batch_batch_send_size_sum	746801
otelcol-sbrev0-ctr-k4m4r	otelcol_exporter_sent_spans	612685
otelcol-sbrev0-ctr-k4m4r	otelcol_exporter_queue_capacity	1001
