service	pod	key	value
composepost	composepost-service-sbrev0-ctr-5898fb7c9c-gdl76	spans_received	38790566
composepost	composepost-service-sbrev0-ctr-5898fb7c9c-gdl76	spans_flushed	38790566
composepost	composepost-service-sbrev0-ctr-5898fb7c9c-gdl76	spans_sent	27427283
composepost	composepost-service-sbrev0-ctr-5898fb7c9c-gdl76	batches_sent	198446
composepost	composepost-service-sbrev0-ctr-5898fb7c9c-gdl76	spans_dropped	11363283
composepost	composepost-service-sbrev0-ctr-5898fb7c9c-gdl76	batches_dropped	63238
composepost	composepost-service-sbrev0-ctr-5898fb7c9c-gdl76	cp_received	33941867
composepost	composepost-service-sbrev0-ctr-5898fb7c9c-gdl76	lp_received	4848699
composepost	composepost-service-sbrev0-ctr-5898fb7c9c-gdl76	cp_sent	23999106
composepost	composepost-service-sbrev0-ctr-5898fb7c9c-gdl76	lp_sent	3428177
composepost	composepost-service-sbrev0-ctr-5898fb7c9c-gdl76	cp_dropped	9942761
composepost	composepost-service-sbrev0-ctr-5898fb7c9c-gdl76	lp_dropped	1420522
composepost	composepost-service-sbrev0-ctr-5898fb7c9c-gdl76	send_deadline	22809
composepost	composepost-service-sbrev0-ctr-5898fb7c9c-gdl76	send_unavailable	40429
composepost	composepost-service-sbrev0-ctr-5898fb7c9c-gdl76	send_exhausted	0
composepost	composepost-service-sbrev0-ctr-5898fb7c9c-gdl76	send_canceled	0
composepost	composepost-service-sbrev0-ctr-5898fb7c9c-gdl76	send_other	0
composepost	composepost-service-sbrev0-ctr-5898fb7c9c-gdl76	hp_buffer_depth	0
composepost	composepost-service-sbrev0-ctr-5898fb7c9c-gdl76	lp_buffer_depth	0
hometimeline	hometimeline-service-sbrev0-ctr-cfd5f6d88-jzwn6	spans_received	9697202
hometimeline	hometimeline-service-sbrev0-ctr-cfd5f6d88-jzwn6	spans_flushed	9697202
hometimeline	hometimeline-service-sbrev0-ctr-cfd5f6d88-jzwn6	spans_sent	6867717
hometimeline	hometimeline-service-sbrev0-ctr-cfd5f6d88-jzwn6	batches_sent	49668
hometimeline	hometimeline-service-sbrev0-ctr-cfd5f6d88-jzwn6	spans_dropped	2829485
