service	pod	key	value
composepost	composepost-service-sbrev0-ctr-5898fb7c9c-gdl76	spans_received	34546694
composepost	composepost-service-sbrev0-ctr-5898fb7c9c-gdl76	spans_flushed	34546694
composepost	composepost-service-sbrev0-ctr-5898fb7c9c-gdl76	spans_sent	27426263
composepost	composepost-service-sbrev0-ctr-5898fb7c9c-gdl76	batches_sent	198438
composepost	composepost-service-sbrev0-ctr-5898fb7c9c-gdl76	spans_dropped	7120431
composepost	composepost-service-sbrev0-ctr-5898fb7c9c-gdl76	batches_dropped	39544
composepost	composepost-service-sbrev0-ctr-5898fb7c9c-gdl76	cp_received	30228420
composepost	composepost-service-sbrev0-ctr-5898fb7c9c-gdl76	lp_received	4318274
composepost	composepost-service-sbrev0-ctr-5898fb7c9c-gdl76	cp_sent	23998103
composepost	composepost-service-sbrev0-ctr-5898fb7c9c-gdl76	lp_sent	3428160
composepost	composepost-service-sbrev0-ctr-5898fb7c9c-gdl76	cp_dropped	6230317
composepost	composepost-service-sbrev0-ctr-5898fb7c9c-gdl76	lp_dropped	890114
composepost	composepost-service-sbrev0-ctr-5898fb7c9c-gdl76	send_deadline	10723
composepost	composepost-service-sbrev0-ctr-5898fb7c9c-gdl76	send_unavailable	28821
composepost	composepost-service-sbrev0-ctr-5898fb7c9c-gdl76	send_exhausted	0
composepost	composepost-service-sbrev0-ctr-5898fb7c9c-gdl76	send_canceled	0
composepost	composepost-service-sbrev0-ctr-5898fb7c9c-gdl76	send_other	0
composepost	composepost-service-sbrev0-ctr-5898fb7c9c-gdl76	hp_buffer_depth	0
composepost	composepost-service-sbrev0-ctr-5898fb7c9c-gdl76	lp_buffer_depth	0
hometimeline	hometimeline-service-sbrev0-ctr-cfd5f6d88-jzwn6	spans_received	8636352
hometimeline	hometimeline-service-sbrev0-ctr-cfd5f6d88-jzwn6	spans_flushed	8636352
hometimeline	hometimeline-service-sbrev0-ctr-cfd5f6d88-jzwn6	spans_sent	6867349
hometimeline	hometimeline-service-sbrev0-ctr-cfd5f6d88-jzwn6	batches_sent	49666
hometimeline	hometimeline-service-sbrev0-ctr-cfd5f6d88-jzwn6	spans_dropped	1769003
hometimeline	hometimeline-service-sbrev0-ctr-cfd5f6d88-jzwn6	batches_dropped	9821
hometimeline	hometimeline-service-sbrev0-ctr-cfd5f6d88-jzwn6	cp_received	0
hometimeline	hometimeline-service-sbrev0-ctr-cfd5f6d88-jzwn6	lp_received	8636352
hometimeline	hometimeline-service-sbrev0-ctr-cfd5f6d88-jzwn6	cp_sent	0
hometimeline	hometimeline-service-sbrev0-ctr-cfd5f6d88-jzwn6	lp_sent	6867349
hometimeline	hometimeline-service-sbrev0-ctr-cfd5f6d88-jzwn6	cp_dropped	0
hometimeline	hometimeline-service-sbrev0-ctr-cfd5f6d88-jzwn6	lp_dropped	1769003
hometimeline	hometimeline-service-sbrev0-ctr-cfd5f6d88-jzwn6	send_deadline	779
hometimeline	hometimeline-service-sbrev0-ctr-cfd5f6d88-jzwn6	send_unavailable	9042
hometimeline	hometimeline-service-sbrev0-ctr-cfd5f6d88-jzwn6	send_exhausted	0
hometimeline	hometimeline-service-sbrev0-ctr-cfd5f6d88-jzwn6	send_canceled	0
hometimeline	hometimeline-service-sbrev0-ctr-cfd5f6d88-jzwn6	send_other	0
