pod	metric	value
otelcol-sbrev0-ctr-5czrv	otelcol_process_runtime_total_sys_memory_bytes	136968488
otelcol-sbrev0-ctr-5czrv	otelcol_processor_outgoing_items	14661663
otelcol-sbrev0-ctr-5czrv	otelcol_process_uptime	2488
otelcol-sbrev0-ctr-5czrv	otelcol_processor_batch_metadata_cardinality	1
otelcol-sbrev0-ctr-5czrv	otelcol_process_runtime_heap_alloc_bytes	72709016
otelcol-sbrev0-ctr-5czrv	otelcol_receiver_failed_spans	0
otelcol-sbrev0-ctr-5czrv	otelcol_receiver_accepted_spans	14661663
otelcol-sbrev0-ctr-5czrv	otelcol_processor_batch_timeout_trigger_send	1084
otelcol-sbrev0-ctr-5czrv	otelcol_exporter_queue_batch_send_size_sum	14661663
otelcol-sbrev0-ctr-5czrv	otelcol_processor_batch_batch_size_trigger_send	1596
otelcol-sbrev0-ctr-5czrv	otelcol_processor_accepted_spans	14661663
otelcol-sbrev0-ctr-5czrv	otelcol_receiver_refused_spans	0
otelcol-sbrev0-ctr-5czrv	otelcol_process_memory_rss	258015232
otelcol-sbrev0-ctr-5czrv	otelcol_process_cpu_seconds	103
otelcol-sbrev0-ctr-5czrv	otelcol_exporter_queue_capacity	1001
otelcol-sbrev0-ctr-5czrv	otelcol_exporter_send_failed_spans	0
otelcol-sbrev0-ctr-5czrv	otelcol_processor_incoming_items	14661663
otelcol-sbrev0-ctr-5czrv	otelcol_process_runtime_total_alloc_bytes	7380844208
otelcol-sbrev0-ctr-5czrv	otelcol_processor_batch_batch_send_size_sum	14661663
otelcol-sbrev0-ctr-5czrv	otelcol_exporter_sent_spans	14661663
otelcol-sbrev0-ctr-5czrv	otelcol_exporter_queue_size	0
otelcol-sbrev0-ctr-dg6df	otelcol_processor_incoming_items	16920613
otelcol-sbrev0-ctr-dg6df	otelcol_processor_batch_timeout_trigger_send	1041
otelcol-sbrev0-ctr-dg6df	otelcol_process_uptime	2487
otelcol-sbrev0-ctr-dg6df	otelcol_processor_outgoing_items	16920613
otelcol-sbrev0-ctr-dg6df	otelcol_processor_batch_batch_send_size_sum	16920613
otelcol-sbrev0-ctr-dg6df	otelcol_exporter_send_failed_spans	0
otelcol-sbrev0-ctr-dg6df	otelcol_exporter_queue_size	0
otelcol-sbrev0-ctr-dg6df	otelcol_receiver_accepted_spans	16920613
otelcol-sbrev0-ctr-dg6df	otelcol_processor_accepted_spans	16920613
otelcol-sbrev0-ctr-dg6df	otelcol_exporter_queue_batch_send_size_sum	16920613
otelcol-sbrev0-ctr-dg6df	otelcol_processor_batch_batch_size_trigger_send	1876
otelcol-sbrev0-ctr-dg6df	otelcol_exporter_queue_capacity	1001
otelcol-sbrev0-ctr-dg6df	otelcol_receiver_failed_spans	0
otelcol-sbrev0-ctr-dg6df	otelcol_process_memory_rss	259129344
otelcol-sbrev0-ctr-dg6df	otelcol_receiver_refused_spans	0
otelcol-sbrev0-ctr-dg6df	otelcol_process_runtime_heap_alloc_bytes	75246440
otelcol-sbrev0-ctr-dg6df	otelcol_process_runtime_total_sys_memory_bytes	145709352
otelcol-sbrev0-ctr-dg6df	otelcol_process_runtime_total_alloc_bytes	8673623472
otelcol-sbrev0-ctr-dg6df	otelcol_process_cpu_seconds	123
otelcol-sbrev0-ctr-dg6df	otelcol_processor_batch_metadata_cardinality	1
otelcol-sbrev0-ctr-dg6df	otelcol_exporter_sent_spans	16920613
otelcol-sbrev0-ctr-xkbnv	otelcol_processor_accepted_spans	15386650
otelcol-sbrev0-ctr-xkbnv	otelcol_process_memory_rss	264323072
otelcol-sbrev0-ctr-xkbnv	otelcol_receiver_refused_spans	0
otelcol-sbrev0-ctr-xkbnv	otelcol_receiver_accepted_spans	15386650
otelcol-sbrev0-ctr-xkbnv	otelcol_processor_batch_metadata_cardinality	1
otelcol-sbrev0-ctr-xkbnv	otelcol_exporter_queue_capacity	1001
otelcol-sbrev0-ctr-xkbnv	otelcol_receiver_failed_spans	0
otelcol-sbrev0-ctr-xkbnv	otelcol_processor_incoming_items	15386650
otelcol-sbrev0-ctr-xkbnv	otelcol_processor_batch_timeout_trigger_send	1009
otelcol-sbrev0-ctr-xkbnv	otelcol_process_cpu_seconds	116
otelcol-sbrev0-ctr-xkbnv	otelcol_process_runtime_total_sys_memory_bytes	140392744
otelcol-sbrev0-ctr-xkbnv	otelcol_process_runtime_total_alloc_bytes	7722109656
otelcol-sbrev0-ctr-xkbnv	otelcol_exporter_sent_spans	15386650
otelcol-sbrev0-ctr-xkbnv	otelcol_exporter_queue_batch_send_size_sum	15386650
