pod	metric	value
otelcol-sbrev0-ctr-5czrv	otelcol_process_runtime_total_sys_memory_bytes	81013016
otelcol-sbrev0-ctr-5czrv	otelcol_processor_outgoing_items	166876
otelcol-sbrev0-ctr-5czrv	otelcol_process_uptime	2181
otelcol-sbrev0-ctr-5czrv	otelcol_processor_batch_metadata_cardinality	1
otelcol-sbrev0-ctr-5czrv	otelcol_process_runtime_heap_alloc_bytes	35257376
otelcol-sbrev0-ctr-5czrv	otelcol_receiver_failed_spans	0
otelcol-sbrev0-ctr-5czrv	otelcol_receiver_accepted_spans	166876
otelcol-sbrev0-ctr-5czrv	otelcol_processor_batch_timeout_trigger_send	959
otelcol-sbrev0-ctr-5czrv	otelcol_exporter_queue_batch_send_size_sum	166876
otelcol-sbrev0-ctr-5czrv	otelcol_processor_accepted_spans	166876
otelcol-sbrev0-ctr-5czrv	otelcol_receiver_refused_spans	0
otelcol-sbrev0-ctr-5czrv	otelcol_process_memory_rss	219271168
otelcol-sbrev0-ctr-5czrv	otelcol_process_cpu_seconds	17
otelcol-sbrev0-ctr-5czrv	otelcol_exporter_queue_capacity	1001
otelcol-sbrev0-ctr-5czrv	otelcol_exporter_send_failed_spans	0
otelcol-sbrev0-ctr-5czrv	otelcol_processor_incoming_items	166876
otelcol-sbrev0-ctr-5czrv	otelcol_process_runtime_total_alloc_bytes	346685920
otelcol-sbrev0-ctr-5czrv	otelcol_processor_batch_batch_send_size_sum	166876
otelcol-sbrev0-ctr-5czrv	otelcol_exporter_sent_spans	166876
otelcol-sbrev0-ctr-5czrv	otelcol_exporter_queue_size	0
otelcol-sbrev0-ctr-dg6df	otelcol_processor_incoming_items	632227
otelcol-sbrev0-ctr-dg6df	otelcol_processor_batch_timeout_trigger_send	970
otelcol-sbrev0-ctr-dg6df	otelcol_process_uptime	2180
otelcol-sbrev0-ctr-dg6df	otelcol_processor_outgoing_items	632227
otelcol-sbrev0-ctr-dg6df	otelcol_processor_batch_batch_send_size_sum	632227
otelcol-sbrev0-ctr-dg6df	otelcol_exporter_send_failed_spans	0
otelcol-sbrev0-ctr-dg6df	otelcol_exporter_queue_size	0
otelcol-sbrev0-ctr-dg6df	otelcol_receiver_accepted_spans	632227
otelcol-sbrev0-ctr-dg6df	otelcol_processor_accepted_spans	632227
otelcol-sbrev0-ctr-dg6df	otelcol_exporter_queue_batch_send_size_sum	632227
otelcol-sbrev0-ctr-dg6df	otelcol_exporter_queue_capacity	1001
otelcol-sbrev0-ctr-dg6df	otelcol_receiver_failed_spans	0
otelcol-sbrev0-ctr-dg6df	otelcol_process_memory_rss	226340864
otelcol-sbrev0-ctr-dg6df	otelcol_receiver_refused_spans	0
otelcol-sbrev0-ctr-dg6df	otelcol_process_runtime_heap_alloc_bytes	43478304
otelcol-sbrev0-ctr-dg6df	otelcol_process_runtime_total_sys_memory_bytes	92473624
otelcol-sbrev0-ctr-dg6df	otelcol_process_runtime_total_alloc_bytes	637020208
otelcol-sbrev0-ctr-dg6df	otelcol_process_cpu_seconds	23
otelcol-sbrev0-ctr-dg6df	otelcol_processor_batch_metadata_cardinality	1
otelcol-sbrev0-ctr-dg6df	otelcol_exporter_sent_spans	632227
otelcol-sbrev0-ctr-xkbnv	otelcol_processor_accepted_spans	297963
otelcol-sbrev0-ctr-xkbnv	otelcol_process_memory_rss	223813632
otelcol-sbrev0-ctr-xkbnv	otelcol_receiver_refused_spans	0
