phase	pod	status	restarts	node
pre_steady	composepost-service-sbrev0-ctr-5898fb7c9c-jrj66	Running	0	node-1
pre_steady	hometimeline-cache-sbrev0-ctr-d87f89457-xfnv9	Running	0	node-1
pre_steady	hometimeline-service-sbrev0-ctr-cfd5f6d88-sm9xx	Running	0	node-1
pre_steady	jaeger-sbrev0-ctr-7c649d7756-6rgtn	Running	0	node-9
pre_steady	media-service-sbrev0-ctr-54dd79d4f-dzf66	Running	0	node-5
pre_steady	otelcol-sbrev0-ctr-22tf9	Running	0	node-7
pre_steady	otelcol-sbrev0-ctr-5czrv	Running	0	node-6
pre_steady	otelcol-sbrev0-ctr-87zcn	Running	0	node-1
pre_steady	otelcol-sbrev0-ctr-dg6df	Running	0	node-5
pre_steady	otelcol-sbrev0-ctr-lbm99	Running	0	node-8
pre_steady	otelcol-sbrev0-ctr-mnxxj	Running	0	node-9
pre_steady	otelcol-sbrev0-ctr-mq8qp	Running	0	node-2
pre_steady	otelcol-sbrev0-ctr-xc678	Running	0	node-4
pre_steady	otelcol-sbrev0-ctr-xkbnv	Running	0	node-3
pre_steady	post-cache-sbrev0-ctr-657dbcff6b-wm5cv	Running	0	node-6
pre_steady	post-db-sbrev0-ctr-86d7fd48bc-vjnr4	Running	0	node-6
pre_steady	post-storage-service-sbrev0-ctr-6c5f4c5cdb-h7tmj	Running	0	node-6
pre_steady	social-cache-sbrev0-ctr-7585c9c44f-bt24z	Running	0	node-2
pre_steady	social-db-sbrev0-ctr-75b6f4574b-b4np6	Running	0	node-2
pre_steady	socialgraph-service-sbrev0-ctr-9b484cddc-xm2vc	Running	0	node-2
pre_steady	text-service-sbrev0-ctr-c94b4487d-nbx2c	Running	0	node-5
pre_steady	tracepressure-service-sbrev0-ctr-4wfhp	Running	0	node-8
pre_steady	tracepressure-service-sbrev0-ctr-bz6bq	Running	0	node-9
pre_steady	tracepressure-service-sbrev0-ctr-cd4h2	Running	0	node-7
pre_steady	tracepressure-service-sbrev0-ctr-dvmqs	Running	0	node-2
pre_steady	tracepressure-service-sbrev0-ctr-dxv8v	Running	0	node-6
pre_steady	tracepressure-service-sbrev0-ctr-knjnl	Running	0	node-4
pre_steady	tracepressure-service-sbrev0-ctr-mxb62	Running	0	node-5
pre_steady	tracepressure-service-sbrev0-ctr-wpcfq	Running	0	node-1
pre_steady	tracepressure-service-sbrev0-ctr-zsffs	Running	0	node-3
pre_steady	uniqueid-service-sbrev0-ctr-5d5bdfcf67-snwmg	Running	0	node-3
pre_steady	urlshorten-db-sbrev0-ctr-5565f594f4-6vkg6	Running	0	node-7
pre_steady	urlshorten-service-sbrev0-ctr-6c4596d5cb-mrwwb	Running	0	node-7
pre_steady	user-cache-sbrev0-ctr-77667bc495-479qt	Running	0	node-8
pre_steady	user-db-sbrev0-ctr-685dc4bfc8-lswdk	Running	0	node-8
pre_steady	user-service-sbrev0-ctr-86c58c57f-8ljs8	Running	0	node-8
pre_steady	userid-service-sbrev0-ctr-7d46c694f9-rlbdk	Running	0	node-5
pre_steady	usermention-service-sbrev0-ctr-6475845d4b-f77n8	Running	0	node-3
pre_steady	usertimeline-cache-sbrev0-ctr-79895f6498-tw228	Running	0	node-4
pre_steady	usertimeline-db-sbrev0-ctr-7c64cb49bc-q5kzn	Running	0	node-4
pre_steady	usertimeline-service-sbrev0-ctr-54474ffddd-68bth	Running	0	node-4
pre_steady	wrk2api-service-sbrev0-ctr-mnv4n	Running	0	node-6
pre_steady	wrk2api-service-sbrev0-ctr-sqdcq	Running	0	node-3
pre_steady	wrk2api-service-sbrev0-ctr-vxzl2	Running	0	node-8
pre_steady	wrk2api-service-sbrev0-ctr-wk4fd	Running	0	node-1
pre_steady	wrk2api-service-sbrev0-ctr-wtpv2	Running	0	node-5
pre_steady	wrk2api-service-sbrev0-ctr-x2ldv	Running	0	node-2
pre_steady	wrk2api-service-sbrev0-ctr-xbmdg	Running	0	node-7
pre_steady	wrk2api-service-sbrev0-ctr-xnn9w	Running	0	node-9
pre_steady	wrk2api-service-sbrev0-ctr-zfczj	Running	0	node-4
post_steady	composepost-service-sbrev0-ctr-5898fb7c9c-jrj66	Running	0	node-1
post_steady	hometimeline-cache-sbrev0-ctr-d87f89457-xfnv9	Running	0	node-1
post_steady	hometimeline-service-sbrev0-ctr-cfd5f6d88-sm9xx	Running	0	node-1
post_steady	jaeger-sbrev0-ctr-7c649d7756-6rgtn	Running	0	node-9
post_steady	media-service-sbrev0-ctr-54dd79d4f-dzf66	Running	0	node-5
post_steady	otelcol-sbrev0-ctr-22tf9	Running	0	node-7
post_steady	otelcol-sbrev0-ctr-5czrv	Running	0	node-6
post_steady	otelcol-sbrev0-ctr-87zcn	Running	1	41m
post_steady	otelcol-sbrev0-ctr-dg6df	Running	0	node-5
