service	pod	key	value
wrk2api	wrk2api-service-sbrev0-ctr-mnv4n	spans_received	174961
wrk2api	wrk2api-service-sbrev0-ctr-mnv4n	spans_flushed	174961
wrk2api	wrk2api-service-sbrev0-ctr-mnv4n	spans_sent	174961
wrk2api	wrk2api-service-sbrev0-ctr-mnv4n	batches_sent	9672
wrk2api	wrk2api-service-sbrev0-ctr-mnv4n	spans_dropped	0
wrk2api	wrk2api-service-sbrev0-ctr-mnv4n	batches_dropped	0
wrk2api	wrk2api-service-sbrev0-ctr-mnv4n	cp_received	87457
wrk2api	wrk2api-service-sbrev0-ctr-mnv4n	lp_received	87504
wrk2api	wrk2api-service-sbrev0-ctr-mnv4n	cp_sent	87457
wrk2api	wrk2api-service-sbrev0-ctr-mnv4n	lp_sent	87504
wrk2api	wrk2api-service-sbrev0-ctr-mnv4n	cp_dropped	0
wrk2api	wrk2api-service-sbrev0-ctr-mnv4n	lp_dropped	0
wrk2api	wrk2api-service-sbrev0-ctr-mnv4n	send_deadline	0
wrk2api	wrk2api-service-sbrev0-ctr-mnv4n	send_unavailable	0
wrk2api	wrk2api-service-sbrev0-ctr-mnv4n	send_exhausted	0
wrk2api	wrk2api-service-sbrev0-ctr-mnv4n	send_canceled	0
wrk2api	wrk2api-service-sbrev0-ctr-mnv4n	send_other	0
wrk2api	wrk2api-service-sbrev0-ctr-mnv4n	hp_buffer_depth	0
wrk2api	wrk2api-service-sbrev0-ctr-mnv4n	lp_buffer_depth	0
composepost	composepost-service-sbrev0-ctr-5898fb7c9c-jrj66	spans_received	5838423
composepost	composepost-service-sbrev0-ctr-5898fb7c9c-jrj66	spans_flushed	5838423
composepost	composepost-service-sbrev0-ctr-5898fb7c9c-jrj66	spans_sent	4577034
composepost	composepost-service-sbrev0-ctr-5898fb7c9c-jrj66	batches_sent	30434
composepost	composepost-service-sbrev0-ctr-5898fb7c9c-jrj66	spans_dropped	1261389
composepost	composepost-service-sbrev0-ctr-5898fb7c9c-jrj66	batches_dropped	6306
composepost	composepost-service-sbrev0-ctr-5898fb7c9c-jrj66	cp_received	5108619
composepost	composepost-service-sbrev0-ctr-5898fb7c9c-jrj66	lp_received	729804
composepost	composepost-service-sbrev0-ctr-5898fb7c9c-jrj66	cp_sent	4004303
composepost	composepost-service-sbrev0-ctr-5898fb7c9c-jrj66	lp_sent	572731
composepost	composepost-service-sbrev0-ctr-5898fb7c9c-jrj66	cp_dropped	1104316
composepost	composepost-service-sbrev0-ctr-5898fb7c9c-jrj66	lp_dropped	157073
composepost	composepost-service-sbrev0-ctr-5898fb7c9c-jrj66	send_deadline	260
composepost	composepost-service-sbrev0-ctr-5898fb7c9c-jrj66	send_unavailable	6046
composepost	composepost-service-sbrev0-ctr-5898fb7c9c-jrj66	send_exhausted	0
composepost	composepost-service-sbrev0-ctr-5898fb7c9c-jrj66	send_canceled	0
composepost	composepost-service-sbrev0-ctr-5898fb7c9c-jrj66	send_other	0
