pod	metric	value
otelcol-sbrev0-ctr-vgjg4	otelcol_processor_outgoing_items	819325
otelcol-sbrev0-ctr-vgjg4	otelcol_process_runtime_total_alloc_bytes	6194466640
otelcol-sbrev0-ctr-vgjg4	otelcol_receiver_accepted_spans	819325
otelcol-sbrev0-ctr-vgjg4	otelcol_receiver_refused_spans	13672111
otelcol-sbrev0-ctr-vgjg4	otelcol_processor_batch_metadata_cardinality	1
otelcol-sbrev0-ctr-vgjg4	otelcol_processor_batch_batch_send_size_sum	819325
otelcol-sbrev0-ctr-vgjg4	otelcol_processor_accepted_spans	819325
otelcol-sbrev0-ctr-vgjg4	otelcol_exporter_queue_capacity	1001
otelcol-sbrev0-ctr-vgjg4	otelcol_processor_batch_timeout_trigger_send	834
otelcol-sbrev0-ctr-vgjg4	otelcol_exporter_sent_spans	434555
otelcol-sbrev0-ctr-vgjg4	otelcol_exporter_queue_size	60
otelcol-sbrev0-ctr-vgjg4	otelcol_process_uptime	835
otelcol-sbrev0-ctr-vgjg4	otelcol_process_runtime_heap_alloc_bytes	135913608
otelcol-sbrev0-ctr-vgjg4	otelcol_processor_batch_batch_size_trigger_send	53
otelcol-sbrev0-ctr-vgjg4	otelcol_exporter_queue_batch_send_size_sum	819325
otelcol-sbrev0-ctr-vgjg4	otelcol_receiver_failed_spans	0
otelcol-sbrev0-ctr-vgjg4	otelcol_exporter_send_failed_spans	0
otelcol-sbrev0-ctr-vgjg4	otelcol_processor_refused_spans	13672111
otelcol-sbrev0-ctr-vgjg4	otelcol_processor_incoming_items	14491436
otelcol-sbrev0-ctr-vgjg4	otelcol_process_runtime_total_sys_memory_bytes	237234488
otelcol-sbrev0-ctr-vgjg4	otelcol_process_memory_rss	335642624
otelcol-sbrev0-ctr-vgjg4	otelcol_process_cpu_seconds	82
otelcol-sbrev0-ctr-cdwd2	otelcol_processor_batch_metadata_cardinality	1
otelcol-sbrev0-ctr-cdwd2	otelcol_process_runtime_total_alloc_bytes	6077881024
otelcol-sbrev0-ctr-cdwd2	otelcol_process_cpu_seconds	149
otelcol-sbrev0-ctr-cdwd2	otelcol_processor_incoming_items	9216749
otelcol-sbrev0-ctr-cdwd2	otelcol_processor_batch_timeout_trigger_send	809
otelcol-sbrev0-ctr-cdwd2	otelcol_process_uptime	827
otelcol-sbrev0-ctr-cdwd2	otelcol_process_runtime_heap_alloc_bytes	141936056
otelcol-sbrev0-ctr-cdwd2	otelcol_processor_outgoing_items	620104
otelcol-sbrev0-ctr-cdwd2	otelcol_receiver_failed_spans	0
otelcol-sbrev0-ctr-cdwd2	otelcol_processor_refused_spans	8596645
otelcol-sbrev0-ctr-cdwd2	otelcol_exporter_sent_spans	246993
otelcol-sbrev0-ctr-cdwd2	otelcol_processor_batch_batch_send_size_sum	620104
otelcol-sbrev0-ctr-cdwd2	otelcol_processor_accepted_spans	620104
otelcol-sbrev0-ctr-cdwd2	otelcol_process_memory_rss	339746816
otelcol-sbrev0-ctr-cdwd2	otelcol_exporter_queue_size	50
otelcol-sbrev0-ctr-cdwd2	otelcol_exporter_queue_batch_send_size_sum	620104
otelcol-sbrev0-ctr-cdwd2	otelcol_receiver_accepted_spans	620104
otelcol-sbrev0-ctr-cdwd2	otelcol_exporter_send_failed_spans	0
otelcol-sbrev0-ctr-cdwd2	otelcol_receiver_refused_spans	8596645
otelcol-sbrev0-ctr-cdwd2	otelcol_processor_batch_batch_size_trigger_send	46
otelcol-sbrev0-ctr-cdwd2	otelcol_exporter_queue_capacity	1001
otelcol-sbrev0-ctr-cdwd2	otelcol_process_runtime_total_sys_memory_bytes	245360952
otelcol-sbrev0-ctr-64sjd	otelcol_processor_incoming_items	10003707
otelcol-sbrev0-ctr-64sjd	otelcol_exporter_send_failed_spans	0
otelcol-sbrev0-ctr-64sjd	otelcol_receiver_failed_spans	0
otelcol-sbrev0-ctr-64sjd	otelcol_processor_batch_batch_send_size_sum	670840
otelcol-sbrev0-ctr-64sjd	otelcol_process_runtime_heap_alloc_bytes	154824096
otelcol-sbrev0-ctr-64sjd	otelcol_processor_batch_metadata_cardinality	1
otelcol-sbrev0-ctr-64sjd	otelcol_receiver_refused_spans	9332867
otelcol-sbrev0-ctr-64sjd	otelcol_processor_batch_timeout_trigger_send	814
otelcol-sbrev0-ctr-64sjd	otelcol_process_cpu_seconds	139
otelcol-sbrev0-ctr-64sjd	otelcol_processor_outgoing_items	670840
otelcol-sbrev0-ctr-64sjd	otelcol_process_uptime	831
otelcol-sbrev0-ctr-64sjd	otelcol_exporter_queue_batch_send_size_sum	670840
otelcol-sbrev0-ctr-64sjd	otelcol_processor_refused_spans	9332867
otelcol-sbrev0-ctr-64sjd	otelcol_process_memory_rss	340258816
otelcol-sbrev0-ctr-64sjd	otelcol_processor_accepted_spans	670840
otelcol-sbrev0-ctr-64sjd	otelcol_process_runtime_total_alloc_bytes	6203257832
otelcol-sbrev0-ctr-64sjd	otelcol_receiver_accepted_spans	670840
otelcol-sbrev0-ctr-64sjd	otelcol_processor_batch_batch_size_trigger_send	48
otelcol-sbrev0-ctr-64sjd	otelcol_process_runtime_total_sys_memory_bytes	254404920
otelcol-sbrev0-ctr-64sjd	otelcol_exporter_sent_spans	300956
otelcol-sbrev0-ctr-64sjd	otelcol_exporter_queue_size	52
otelcol-sbrev0-ctr-64sjd	otelcol_exporter_queue_capacity	1001
otelcol-sbrev0-ctr-x8zvn	otelcol_processor_refused_spans	8286409
otelcol-sbrev0-ctr-x8zvn	otelcol_processor_batch_metadata_cardinality	1
otelcol-sbrev0-ctr-x8zvn	otelcol_process_cpu_seconds	158
otelcol-sbrev0-ctr-x8zvn	otelcol_receiver_failed_spans	0
otelcol-sbrev0-ctr-x8zvn	otelcol_processor_batch_timeout_trigger_send	802
