pod	metric	value
otelcol-sbrev0-ctr-vgjg4	otelcol_processor_outgoing_items	156357
otelcol-sbrev0-ctr-vgjg4	otelcol_process_runtime_total_alloc_bytes	235480176
otelcol-sbrev0-ctr-vgjg4	otelcol_receiver_accepted_spans	156357
otelcol-sbrev0-ctr-vgjg4	otelcol_receiver_refused_spans	0
otelcol-sbrev0-ctr-vgjg4	otelcol_processor_batch_metadata_cardinality	1
otelcol-sbrev0-ctr-vgjg4	otelcol_processor_batch_batch_send_size_sum	156357
otelcol-sbrev0-ctr-vgjg4	otelcol_processor_accepted_spans	156357
otelcol-sbrev0-ctr-vgjg4	otelcol_exporter_queue_capacity	1001
otelcol-sbrev0-ctr-vgjg4	otelcol_processor_batch_timeout_trigger_send	791
otelcol-sbrev0-ctr-vgjg4	otelcol_exporter_sent_spans	146960
otelcol-sbrev0-ctr-vgjg4	otelcol_exporter_queue_size	20
otelcol-sbrev0-ctr-vgjg4	otelcol_process_uptime	525
otelcol-sbrev0-ctr-vgjg4	otelcol_process_runtime_heap_alloc_bytes	39372440
otelcol-sbrev0-ctr-vgjg4	otelcol_exporter_queue_batch_send_size_sum	156357
otelcol-sbrev0-ctr-vgjg4	otelcol_receiver_failed_spans	0
otelcol-sbrev0-ctr-vgjg4	otelcol_exporter_send_failed_spans	0
otelcol-sbrev0-ctr-vgjg4	otelcol_processor_incoming_items	156357
otelcol-sbrev0-ctr-vgjg4	otelcol_process_runtime_total_sys_memory_bytes	88729880
otelcol-sbrev0-ctr-vgjg4	otelcol_process_memory_rss	224563200
otelcol-sbrev0-ctr-vgjg4	otelcol_process_cpu_seconds	10
otelcol-sbrev0-ctr-cdwd2	otelcol_processor_batch_metadata_cardinality	1
otelcol-sbrev0-ctr-cdwd2	otelcol_process_runtime_total_alloc_bytes	254283464
otelcol-sbrev0-ctr-cdwd2	otelcol_process_cpu_seconds	9
otelcol-sbrev0-ctr-cdwd2	otelcol_processor_incoming_items	158335
otelcol-sbrev0-ctr-cdwd2	otelcol_processor_batch_timeout_trigger_send	794
otelcol-sbrev0-ctr-cdwd2	otelcol_process_uptime	517
otelcol-sbrev0-ctr-cdwd2	otelcol_process_runtime_heap_alloc_bytes	61437912
otelcol-sbrev0-ctr-cdwd2	otelcol_processor_outgoing_items	158335
otelcol-sbrev0-ctr-cdwd2	otelcol_receiver_failed_spans	0
otelcol-sbrev0-ctr-cdwd2	otelcol_exporter_sent_spans	148938
otelcol-sbrev0-ctr-cdwd2	otelcol_processor_batch_batch_send_size_sum	158335
otelcol-sbrev0-ctr-cdwd2	otelcol_processor_accepted_spans	158335
otelcol-sbrev0-ctr-cdwd2	otelcol_process_memory_rss	226070528
otelcol-sbrev0-ctr-cdwd2	otelcol_exporter_queue_size	21
otelcol-sbrev0-ctr-cdwd2	otelcol_exporter_queue_batch_send_size_sum	158335
otelcol-sbrev0-ctr-cdwd2	otelcol_receiver_accepted_spans	158335
otelcol-sbrev0-ctr-cdwd2	otelcol_exporter_send_failed_spans	0
otelcol-sbrev0-ctr-cdwd2	otelcol_receiver_refused_spans	0
otelcol-sbrev0-ctr-cdwd2	otelcol_exporter_queue_capacity	1001
otelcol-sbrev0-ctr-cdwd2	otelcol_process_runtime_total_sys_memory_bytes	88525080
otelcol-sbrev0-ctr-64sjd	otelcol_processor_incoming_items	157553
otelcol-sbrev0-ctr-64sjd	otelcol_exporter_send_failed_spans	0
otelcol-sbrev0-ctr-64sjd	otelcol_receiver_failed_spans	0
otelcol-sbrev0-ctr-64sjd	otelcol_processor_batch_batch_send_size_sum	157553
otelcol-sbrev0-ctr-64sjd	otelcol_process_runtime_heap_alloc_bytes	41073776
otelcol-sbrev0-ctr-64sjd	otelcol_processor_batch_metadata_cardinality	1
otelcol-sbrev0-ctr-64sjd	otelcol_receiver_refused_spans	0
otelcol-sbrev0-ctr-64sjd	otelcol_processor_batch_timeout_trigger_send	793
otelcol-sbrev0-ctr-64sjd	otelcol_process_cpu_seconds	9
otelcol-sbrev0-ctr-64sjd	otelcol_processor_outgoing_items	157553
otelcol-sbrev0-ctr-64sjd	otelcol_process_uptime	521
otelcol-sbrev0-ctr-64sjd	otelcol_exporter_queue_batch_send_size_sum	157553
otelcol-sbrev0-ctr-64sjd	otelcol_process_memory_rss	231563264
otelcol-sbrev0-ctr-64sjd	otelcol_processor_accepted_spans	157553
otelcol-sbrev0-ctr-64sjd	otelcol_process_runtime_total_alloc_bytes	243812768
otelcol-sbrev0-ctr-64sjd	otelcol_receiver_accepted_spans	157553
otelcol-sbrev0-ctr-64sjd	otelcol_process_runtime_total_sys_memory_bytes	92981528
otelcol-sbrev0-ctr-64sjd	otelcol_exporter_sent_spans	148373
otelcol-sbrev0-ctr-64sjd	otelcol_exporter_queue_size	20
otelcol-sbrev0-ctr-64sjd	otelcol_exporter_queue_capacity	1001
otelcol-sbrev0-ctr-x8zvn	otelcol_processor_batch_metadata_cardinality	1
otelcol-sbrev0-ctr-x8zvn	otelcol_process_cpu_seconds	9
otelcol-sbrev0-ctr-x8zvn	otelcol_receiver_failed_spans	0
otelcol-sbrev0-ctr-x8zvn	otelcol_processor_batch_timeout_trigger_send	793
otelcol-sbrev0-ctr-x8zvn	otelcol_process_uptime	514
otelcol-sbrev0-ctr-x8zvn	otelcol_receiver_accepted_spans	156357
otelcol-sbrev0-ctr-x8zvn	otelcol_processor_incoming_items	156357
otelcol-sbrev0-ctr-x8zvn	otelcol_exporter_queue_batch_send_size_sum	156357
otelcol-sbrev0-ctr-x8zvn	otelcol_exporter_sent_spans	147163
otelcol-sbrev0-ctr-x8zvn	otelcol_exporter_queue_capacity	1001
otelcol-sbrev0-ctr-x8zvn	otelcol_processor_outgoing_items	156357
otelcol-sbrev0-ctr-x8zvn	otelcol_process_runtime_total_alloc_bytes	242569400
otelcol-sbrev0-ctr-x8zvn	otelcol_exporter_send_failed_spans	0
otelcol-sbrev0-ctr-x8zvn	otelcol_processor_batch_batch_send_size_sum	156357
otelcol-sbrev0-ctr-x8zvn	otelcol_process_runtime_heap_alloc_bytes	50586408
otelcol-sbrev0-ctr-x8zvn	otelcol_processor_accepted_spans	156357
otelcol-sbrev0-ctr-x8zvn	otelcol_process_runtime_total_sys_memory_bytes	96643352
otelcol-sbrev0-ctr-x8zvn	otelcol_process_memory_rss	231313408
otelcol-sbrev0-ctr-x8zvn	otelcol_exporter_queue_size	20
otelcol-sbrev0-ctr-x8zvn	otelcol_receiver_refused_spans	0
otelcol-sbrev0-ctr-jtjrt	otelcol_processor_accepted_spans	1254995
otelcol-sbrev0-ctr-jtjrt	otelcol_process_runtime_total_alloc_bytes	1214688016
otelcol-sbrev0-ctr-jtjrt	otelcol_exporter_sent_spans	1179201
otelcol-sbrev0-ctr-jtjrt	otelcol_processor_refused_spans	53423
otelcol-sbrev0-ctr-jtjrt	otelcol_processor_batch_batch_size_trigger_send	1
otelcol-sbrev0-ctr-jtjrt	otelcol_processor_batch_metadata_cardinality	1
otelcol-sbrev0-ctr-jtjrt	otelcol_processor_batch_timeout_trigger_send	777
otelcol-sbrev0-ctr-jtjrt	otelcol_receiver_accepted_spans	1254995
otelcol-sbrev0-ctr-jtjrt	otelcol_process_uptime	496
otelcol-sbrev0-ctr-jtjrt	otelcol_exporter_queue_batch_send_size_sum	1254995
otelcol-sbrev0-ctr-jtjrt	otelcol_process_runtime_heap_alloc_bytes	83511824
otelcol-sbrev0-ctr-jtjrt	otelcol_exporter_queue_size	19
otelcol-sbrev0-ctr-jtjrt	otelcol_exporter_queue_capacity	1001
otelcol-sbrev0-ctr-jtjrt	otelcol_processor_incoming_items	1308418
otelcol-sbrev0-ctr-jtjrt	otelcol_processor_batch_batch_send_size_sum	1254995
otelcol-sbrev0-ctr-jtjrt	otelcol_process_memory_rss	328835072
otelcol-sbrev0-ctr-jtjrt	otelcol_processor_outgoing_items	1254995
otelcol-sbrev0-ctr-jtjrt	otelcol_process_runtime_total_sys_memory_bytes	200296760
otelcol-sbrev0-ctr-jtjrt	otelcol_exporter_send_failed_spans	0
otelcol-sbrev0-ctr-jtjrt	otelcol_receiver_refused_spans	53423
otelcol-sbrev0-ctr-jtjrt	otelcol_receiver_failed_spans	0
otelcol-sbrev0-ctr-jtjrt	otelcol_process_cpu_seconds	25
otelcol-sbrev0-ctr-kzqlk	otelcol_processor_batch_batch_send_size_sum	540380
otelcol-sbrev0-ctr-kzqlk	otelcol_exporter_sent_spans	508838
otelcol-sbrev0-ctr-kzqlk	otelcol_receiver_refused_spans	0
otelcol-sbrev0-ctr-kzqlk	otelcol_processor_incoming_items	540380
otelcol-sbrev0-ctr-kzqlk	otelcol_processor_outgoing_items	540380
otelcol-sbrev0-ctr-kzqlk	otelcol_processor_batch_metadata_cardinality	1
otelcol-sbrev0-ctr-kzqlk	otelcol_process_runtime_total_sys_memory_bytes	105912616
otelcol-sbrev0-ctr-kzqlk	otelcol_exporter_queue_batch_send_size_sum	540380
otelcol-sbrev0-ctr-kzqlk	otelcol_receiver_accepted_spans	540380
otelcol-sbrev0-ctr-kzqlk	otelcol_processor_batch_timeout_trigger_send	792
otelcol-sbrev0-ctr-kzqlk	otelcol_process_uptime	507
otelcol-sbrev0-ctr-kzqlk	otelcol_exporter_queue_size	20
otelcol-sbrev0-ctr-kzqlk	otelcol_receiver_failed_spans	0
otelcol-sbrev0-ctr-kzqlk	otelcol_process_runtime_heap_alloc_bytes	67873864
otelcol-sbrev0-ctr-kzqlk	otelcol_processor_accepted_spans	540380
otelcol-sbrev0-ctr-kzqlk	otelcol_exporter_queue_capacity	1001
otelcol-sbrev0-ctr-kzqlk	otelcol_process_runtime_total_alloc_bytes	455176304
otelcol-sbrev0-ctr-kzqlk	otelcol_exporter_send_failed_spans	0
otelcol-sbrev0-ctr-kzqlk	otelcol_process_memory_rss	241033216
otelcol-sbrev0-ctr-kzqlk	otelcol_process_cpu_seconds	13
otelcol-sbrev0-ctr-lttmr	otelcol_process_runtime_heap_alloc_bytes	46604944
otelcol-sbrev0-ctr-lttmr	otelcol_process_cpu_seconds	11
otelcol-sbrev0-ctr-lttmr	otelcol_exporter_send_failed_spans	0
otelcol-sbrev0-ctr-lttmr	otelcol_exporter_sent_spans	268570
otelcol-sbrev0-ctr-lttmr	otelcol_process_runtime_total_sys_memory_bytes	101124376
otelcol-sbrev0-ctr-lttmr	otelcol_receiver_failed_spans	0
otelcol-sbrev0-ctr-lttmr	otelcol_processor_incoming_items	285558
otelcol-sbrev0-ctr-lttmr	otelcol_process_memory_rss	235143168
otelcol-sbrev0-ctr-lttmr	otelcol_exporter_queue_batch_send_size_sum	285558
otelcol-sbrev0-ctr-lttmr	otelcol_receiver_refused_spans	0
otelcol-sbrev0-ctr-lttmr	otelcol_receiver_accepted_spans	285558
otelcol-sbrev0-ctr-lttmr	otelcol_exporter_queue_size	21
otelcol-sbrev0-ctr-lttmr	otelcol_exporter_queue_capacity	1001
otelcol-sbrev0-ctr-lttmr	otelcol_processor_batch_metadata_cardinality	1
otelcol-sbrev0-ctr-lttmr	otelcol_processor_batch_timeout_trigger_send	794
otelcol-sbrev0-ctr-lttmr	otelcol_processor_outgoing_items	285558
otelcol-sbrev0-ctr-lttmr	otelcol_processor_batch_batch_send_size_sum	285558
otelcol-sbrev0-ctr-lttmr	otelcol_process_uptime	519
otelcol-sbrev0-ctr-lttmr	otelcol_processor_accepted_spans	285558
otelcol-sbrev0-ctr-lttmr	otelcol_process_runtime_total_alloc_bytes	326325424
