service	pod	key	value
composepost	composepost-service-sbrev0-ctr-5898fb7c9c-gdl76	spans_received	33621374
composepost	composepost-service-sbrev0-ctr-5898fb7c9c-gdl76	spans_flushed	33621374
composepost	composepost-service-sbrev0-ctr-5898fb7c9c-gdl76	spans_sent	27122574
composepost	composepost-service-sbrev0-ctr-5898fb7c9c-gdl76	batches_sent	189125
composepost	composepost-service-sbrev0-ctr-5898fb7c9c-gdl76	spans_dropped	6498800
composepost	composepost-service-sbrev0-ctr-5898fb7c9c-gdl76	batches_dropped	36088
composepost	composepost-service-sbrev0-ctr-5898fb7c9c-gdl76	cp_received	29418761
composepost	composepost-service-sbrev0-ctr-5898fb7c9c-gdl76	lp_received	4202613
composepost	composepost-service-sbrev0-ctr-5898fb7c9c-gdl76	cp_sent	23732269
composepost	composepost-service-sbrev0-ctr-5898fb7c9c-gdl76	lp_sent	3390305
composepost	composepost-service-sbrev0-ctr-5898fb7c9c-gdl76	cp_dropped	5686492
composepost	composepost-service-sbrev0-ctr-5898fb7c9c-gdl76	lp_dropped	812308
composepost	composepost-service-sbrev0-ctr-5898fb7c9c-gdl76	send_deadline	10723
composepost	composepost-service-sbrev0-ctr-5898fb7c9c-gdl76	send_unavailable	25365
composepost	composepost-service-sbrev0-ctr-5898fb7c9c-gdl76	send_exhausted	0
composepost	composepost-service-sbrev0-ctr-5898fb7c9c-gdl76	send_canceled	0
composepost	composepost-service-sbrev0-ctr-5898fb7c9c-gdl76	send_other	0
composepost	composepost-service-sbrev0-ctr-5898fb7c9c-gdl76	hp_buffer_depth	0
composepost	composepost-service-sbrev0-ctr-5898fb7c9c-gdl76	lp_buffer_depth	0
hometimeline	hometimeline-service-sbrev0-ctr-cfd5f6d88-jzwn6	spans_received	8405030
hometimeline	hometimeline-service-sbrev0-ctr-cfd5f6d88-jzwn6	spans_flushed	8405030
hometimeline	hometimeline-service-sbrev0-ctr-cfd5f6d88-jzwn6	spans_sent	6791094
hometimeline	hometimeline-service-sbrev0-ctr-cfd5f6d88-jzwn6	batches_sent	47335
hometimeline	hometimeline-service-sbrev0-ctr-cfd5f6d88-jzwn6	spans_dropped	1613936
hometimeline	hometimeline-service-sbrev0-ctr-cfd5f6d88-jzwn6	batches_dropped	8954
hometimeline	hometimeline-service-sbrev0-ctr-cfd5f6d88-jzwn6	cp_received	0
hometimeline	hometimeline-service-sbrev0-ctr-cfd5f6d88-jzwn6	lp_received	8405030
hometimeline	hometimeline-service-sbrev0-ctr-cfd5f6d88-jzwn6	cp_sent	0
hometimeline	hometimeline-service-sbrev0-ctr-cfd5f6d88-jzwn6	lp_sent	6791094
hometimeline	hometimeline-service-sbrev0-ctr-cfd5f6d88-jzwn6	cp_dropped	0
hometimeline	hometimeline-service-sbrev0-ctr-cfd5f6d88-jzwn6	lp_dropped	1613936
hometimeline	hometimeline-service-sbrev0-ctr-cfd5f6d88-jzwn6	send_deadline	779
hometimeline	hometimeline-service-sbrev0-ctr-cfd5f6d88-jzwn6	send_unavailable	8175
hometimeline	hometimeline-service-sbrev0-ctr-cfd5f6d88-jzwn6	send_exhausted	0
hometimeline	hometimeline-service-sbrev0-ctr-cfd5f6d88-jzwn6	send_canceled	0
hometimeline	hometimeline-service-sbrev0-ctr-cfd5f6d88-jzwn6	send_other	0
hometimeline	hometimeline-service-sbrev0-ctr-cfd5f6d88-jzwn6	hp_buffer_depth	0
hometimeline	hometimeline-service-sbrev0-ctr-cfd5f6d88-jzwn6	lp_buffer_depth	0
media	media-service-sbrev0-ctr-54dd79d4f-dphlh	spans_received	4202540
media	media-service-sbrev0-ctr-54dd79d4f-dphlh	spans_flushed	4202540
media	media-service-sbrev0-ctr-54dd79d4f-dphlh	spans_sent	3454399
media	media-service-sbrev0-ctr-54dd79d4f-dphlh	batches_sent	23991
media	media-service-sbrev0-ctr-54dd79d4f-dphlh	spans_dropped	748141
media	media-service-sbrev0-ctr-54dd79d4f-dphlh	batches_dropped	4164
media	media-service-sbrev0-ctr-54dd79d4f-dphlh	cp_received	4202540
media	media-service-sbrev0-ctr-54dd79d4f-dphlh	lp_received	0
media	media-service-sbrev0-ctr-54dd79d4f-dphlh	cp_sent	3454399
media	media-service-sbrev0-ctr-54dd79d4f-dphlh	lp_sent	0
media	media-service-sbrev0-ctr-54dd79d4f-dphlh	cp_dropped	748141
media	media-service-sbrev0-ctr-54dd79d4f-dphlh	lp_dropped	0
media	media-service-sbrev0-ctr-54dd79d4f-dphlh	send_deadline	116
media	media-service-sbrev0-ctr-54dd79d4f-dphlh	send_unavailable	4048
media	media-service-sbrev0-ctr-54dd79d4f-dphlh	send_exhausted	0
media	media-service-sbrev0-ctr-54dd79d4f-dphlh	send_canceled	0
media	media-service-sbrev0-ctr-54dd79d4f-dphlh	send_other	0
media	media-service-sbrev0-ctr-54dd79d4f-dphlh	hp_buffer_depth	0
media	media-service-sbrev0-ctr-54dd79d4f-dphlh	lp_buffer_depth	0
post-storage	post-storage-service-sbrev0-ctr-6c5f4c5cdb-d58sn	spans_received	4202515
post-storage	post-storage-service-sbrev0-ctr-6c5f4c5cdb-d58sn	spans_flushed	4202515
post-storage	post-storage-service-sbrev0-ctr-6c5f4c5cdb-d58sn	spans_sent	3449591
post-storage	post-storage-service-sbrev0-ctr-6c5f4c5cdb-d58sn	batches_sent	23961
post-storage	post-storage-service-sbrev0-ctr-6c5f4c5cdb-d58sn	spans_dropped	752924
post-storage	post-storage-service-sbrev0-ctr-6c5f4c5cdb-d58sn	batches_dropped	4180
post-storage	post-storage-service-sbrev0-ctr-6c5f4c5cdb-d58sn	cp_received	4202515
post-storage	post-storage-service-sbrev0-ctr-6c5f4c5cdb-d58sn	lp_received	0
post-storage	post-storage-service-sbrev0-ctr-6c5f4c5cdb-d58sn	cp_sent	3449591
post-storage	post-storage-service-sbrev0-ctr-6c5f4c5cdb-d58sn	lp_sent	0
post-storage	post-storage-service-sbrev0-ctr-6c5f4c5cdb-d58sn	cp_dropped	752924
post-storage	post-storage-service-sbrev0-ctr-6c5f4c5cdb-d58sn	lp_dropped	0
post-storage	post-storage-service-sbrev0-ctr-6c5f4c5cdb-d58sn	send_deadline	372
post-storage	post-storage-service-sbrev0-ctr-6c5f4c5cdb-d58sn	send_unavailable	3808
post-storage	post-storage-service-sbrev0-ctr-6c5f4c5cdb-d58sn	send_exhausted	0
post-storage	post-storage-service-sbrev0-ctr-6c5f4c5cdb-d58sn	send_canceled	0
post-storage	post-storage-service-sbrev0-ctr-6c5f4c5cdb-d58sn	send_other	0
post-storage	post-storage-service-sbrev0-ctr-6c5f4c5cdb-d58sn	hp_buffer_depth	0
post-storage	post-storage-service-sbrev0-ctr-6c5f4c5cdb-d58sn	lp_buffer_depth	0
socialgraph	socialgraph-service-sbrev0-ctr-9b484cddc-7jh5m	spans_received	4316349
socialgraph	socialgraph-service-sbrev0-ctr-9b484cddc-7jh5m	spans_flushed	4316349
socialgraph	socialgraph-service-sbrev0-ctr-9b484cddc-7jh5m	spans_sent	3587333
socialgraph	socialgraph-service-sbrev0-ctr-9b484cddc-7jh5m	batches_sent	24600
socialgraph	socialgraph-service-sbrev0-ctr-9b484cddc-7jh5m	spans_dropped	729016
socialgraph	socialgraph-service-sbrev0-ctr-9b484cddc-7jh5m	batches_dropped	4049
socialgraph	socialgraph-service-sbrev0-ctr-9b484cddc-7jh5m	cp_received	4278725
socialgraph	socialgraph-service-sbrev0-ctr-9b484cddc-7jh5m	lp_received	37624
socialgraph	socialgraph-service-sbrev0-ctr-9b484cddc-7jh5m	cp_sent	3549709
socialgraph	socialgraph-service-sbrev0-ctr-9b484cddc-7jh5m	lp_sent	37624
socialgraph	socialgraph-service-sbrev0-ctr-9b484cddc-7jh5m	cp_dropped	729016
socialgraph	socialgraph-service-sbrev0-ctr-9b484cddc-7jh5m	lp_dropped	0
socialgraph	socialgraph-service-sbrev0-ctr-9b484cddc-7jh5m	send_deadline	236
socialgraph	socialgraph-service-sbrev0-ctr-9b484cddc-7jh5m	send_unavailable	3813
socialgraph	socialgraph-service-sbrev0-ctr-9b484cddc-7jh5m	send_exhausted	0
socialgraph	socialgraph-service-sbrev0-ctr-9b484cddc-7jh5m	send_canceled	0
socialgraph	socialgraph-service-sbrev0-ctr-9b484cddc-7jh5m	send_other	0
socialgraph	socialgraph-service-sbrev0-ctr-9b484cddc-7jh5m	hp_buffer_depth	0
socialgraph	socialgraph-service-sbrev0-ctr-9b484cddc-7jh5m	lp_buffer_depth	0
text	text-service-sbrev0-ctr-c94b4487d-kx8pz	spans_received	12607716
text	text-service-sbrev0-ctr-c94b4487d-kx8pz	spans_flushed	12607716
text	text-service-sbrev0-ctr-c94b4487d-kx8pz	spans_sent	10350300
text	text-service-sbrev0-ctr-c94b4487d-kx8pz	batches_sent	71889
text	text-service-sbrev0-ctr-c94b4487d-kx8pz	spans_dropped	2257416
text	text-service-sbrev0-ctr-c94b4487d-kx8pz	batches_dropped	12534
text	text-service-sbrev0-ctr-c94b4487d-kx8pz	cp_received	0
text	text-service-sbrev0-ctr-c94b4487d-kx8pz	lp_received	12607716
text	text-service-sbrev0-ctr-c94b4487d-kx8pz	cp_sent	0
text	text-service-sbrev0-ctr-c94b4487d-kx8pz	lp_sent	10350300
text	text-service-sbrev0-ctr-c94b4487d-kx8pz	cp_dropped	0
text	text-service-sbrev0-ctr-c94b4487d-kx8pz	lp_dropped	2257416
text	text-service-sbrev0-ctr-c94b4487d-kx8pz	send_deadline	535
text	text-service-sbrev0-ctr-c94b4487d-kx8pz	send_unavailable	11999
text	text-service-sbrev0-ctr-c94b4487d-kx8pz	send_exhausted	0
text	text-service-sbrev0-ctr-c94b4487d-kx8pz	send_canceled	0
text	text-service-sbrev0-ctr-c94b4487d-kx8pz	send_other	0
text	text-service-sbrev0-ctr-c94b4487d-kx8pz	hp_buffer_depth	0
text	text-service-sbrev0-ctr-c94b4487d-kx8pz	lp_buffer_depth	0
uniqueid	uniqueid-service-sbrev0-ctr-5d5bdfcf67-z56db	spans_received	4202539
uniqueid	uniqueid-service-sbrev0-ctr-5d5bdfcf67-z56db	spans_flushed	4202539
uniqueid	uniqueid-service-sbrev0-ctr-5d5bdfcf67-z56db	spans_sent	3452157
uniqueid	uniqueid-service-sbrev0-ctr-5d5bdfcf67-z56db	batches_sent	23979
uniqueid	uniqueid-service-sbrev0-ctr-5d5bdfcf67-z56db	spans_dropped	750382
uniqueid	uniqueid-service-sbrev0-ctr-5d5bdfcf67-z56db	batches_dropped	4176
uniqueid	uniqueid-service-sbrev0-ctr-5d5bdfcf67-z56db	cp_received	4202539
uniqueid	uniqueid-service-sbrev0-ctr-5d5bdfcf67-z56db	lp_received	0
uniqueid	uniqueid-service-sbrev0-ctr-5d5bdfcf67-z56db	cp_sent	3452157
uniqueid	uniqueid-service-sbrev0-ctr-5d5bdfcf67-z56db	lp_sent	0
uniqueid	uniqueid-service-sbrev0-ctr-5d5bdfcf67-z56db	cp_dropped	750382
uniqueid	uniqueid-service-sbrev0-ctr-5d5bdfcf67-z56db	lp_dropped	0
uniqueid	uniqueid-service-sbrev0-ctr-5d5bdfcf67-z56db	send_deadline	251
uniqueid	uniqueid-service-sbrev0-ctr-5d5bdfcf67-z56db	send_unavailable	3925
uniqueid	uniqueid-service-sbrev0-ctr-5d5bdfcf67-z56db	send_exhausted	0
uniqueid	uniqueid-service-sbrev0-ctr-5d5bdfcf67-z56db	send_canceled	0
uniqueid	uniqueid-service-sbrev0-ctr-5d5bdfcf67-z56db	send_other	0
uniqueid	uniqueid-service-sbrev0-ctr-5d5bdfcf67-z56db	hp_buffer_depth	0
uniqueid	uniqueid-service-sbrev0-ctr-5d5bdfcf67-z56db	lp_buffer_depth	0
urlshorten	urlshorten-service-sbrev0-ctr-6c4596d5cb-tn2ln	spans_received	4202536
urlshorten	urlshorten-service-sbrev0-ctr-6c4596d5cb-tn2ln	spans_flushed	4202536
urlshorten	urlshorten-service-sbrev0-ctr-6c4596d5cb-tn2ln	spans_sent	3460238
urlshorten	urlshorten-service-sbrev0-ctr-6c4596d5cb-tn2ln	batches_sent	24022
urlshorten	urlshorten-service-sbrev0-ctr-6c4596d5cb-tn2ln	spans_dropped	742298
urlshorten	urlshorten-service-sbrev0-ctr-6c4596d5cb-tn2ln	batches_dropped	4129
urlshorten	urlshorten-service-sbrev0-ctr-6c4596d5cb-tn2ln	cp_received	4202536
urlshorten	urlshorten-service-sbrev0-ctr-6c4596d5cb-tn2ln	lp_received	0
urlshorten	urlshorten-service-sbrev0-ctr-6c4596d5cb-tn2ln	cp_sent	3460238
urlshorten	urlshorten-service-sbrev0-ctr-6c4596d5cb-tn2ln	lp_sent	0
urlshorten	urlshorten-service-sbrev0-ctr-6c4596d5cb-tn2ln	cp_dropped	742298
urlshorten	urlshorten-service-sbrev0-ctr-6c4596d5cb-tn2ln	lp_dropped	0
urlshorten	urlshorten-service-sbrev0-ctr-6c4596d5cb-tn2ln	send_deadline	194
urlshorten	urlshorten-service-sbrev0-ctr-6c4596d5cb-tn2ln	send_unavailable	3935
urlshorten	urlshorten-service-sbrev0-ctr-6c4596d5cb-tn2ln	send_exhausted	0
urlshorten	urlshorten-service-sbrev0-ctr-6c4596d5cb-tn2ln	send_canceled	0
urlshorten	urlshorten-service-sbrev0-ctr-6c4596d5cb-tn2ln	send_other	0
urlshorten	urlshorten-service-sbrev0-ctr-6c4596d5cb-tn2ln	hp_buffer_depth	0
urlshorten	urlshorten-service-sbrev0-ctr-6c4596d5cb-tn2ln	lp_buffer_depth	0
user	user-service-sbrev0-ctr-86c58c57f-8wtvt	spans_received	4204478
user	user-service-sbrev0-ctr-86c58c57f-8wtvt	spans_flushed	4204478
user	user-service-sbrev0-ctr-86c58c57f-8wtvt	spans_sent	3450698
user	user-service-sbrev0-ctr-86c58c57f-8wtvt	batches_sent	23966
user	user-service-sbrev0-ctr-86c58c57f-8wtvt	spans_dropped	753780
user	user-service-sbrev0-ctr-86c58c57f-8wtvt	batches_dropped	4184
user	user-service-sbrev0-ctr-86c58c57f-8wtvt	cp_received	4203516
user	user-service-sbrev0-ctr-86c58c57f-8wtvt	lp_received	962
user	user-service-sbrev0-ctr-86c58c57f-8wtvt	cp_sent	3449736
user	user-service-sbrev0-ctr-86c58c57f-8wtvt	lp_sent	962
user	user-service-sbrev0-ctr-86c58c57f-8wtvt	cp_dropped	753780
