service	pod	key	value
wrk2api	wrk2api-service-sbrev0-ctr-2lr79	spans_received	754938
wrk2api	wrk2api-service-sbrev0-ctr-2lr79	spans_flushed	754938
wrk2api	wrk2api-service-sbrev0-ctr-2lr79	spans_sent	737552
wrk2api	wrk2api-service-sbrev0-ctr-2lr79	batches_sent	45936
wrk2api	wrk2api-service-sbrev0-ctr-2lr79	spans_dropped	17128
wrk2api	wrk2api-service-sbrev0-ctr-2lr79	batches_dropped	670
wrk2api	wrk2api-service-sbrev0-ctr-2lr79	cp_received	377254
wrk2api	wrk2api-service-sbrev0-ctr-2lr79	lp_received	377684
wrk2api	wrk2api-service-sbrev0-ctr-2lr79	cp_sent	368796
wrk2api	wrk2api-service-sbrev0-ctr-2lr79	lp_sent	368756
wrk2api	wrk2api-service-sbrev0-ctr-2lr79	cp_dropped	8329
wrk2api	wrk2api-service-sbrev0-ctr-2lr79	lp_dropped	8799
wrk2api	wrk2api-service-sbrev0-ctr-2lr79	send_deadline	630
wrk2api	wrk2api-service-sbrev0-ctr-2lr79	send_unavailable	40
wrk2api	wrk2api-service-sbrev0-ctr-2lr79	send_exhausted	0
wrk2api	wrk2api-service-sbrev0-ctr-2lr79	send_canceled	0
wrk2api	wrk2api-service-sbrev0-ctr-2lr79	send_other	0
wrk2api	wrk2api-service-sbrev0-ctr-2lr79	hp_buffer_depth	0
wrk2api	wrk2api-service-sbrev0-ctr-2lr79	lp_buffer_depth	0
composepost	composepost-service-sbrev0-ctr-5898fb7c9c-gdl76	spans_received	29340352
composepost	composepost-service-sbrev0-ctr-5898fb7c9c-gdl76	spans_flushed	29340352
composepost	composepost-service-sbrev0-ctr-5898fb7c9c-gdl76	spans_sent	27044701
composepost	composepost-service-sbrev0-ctr-5898fb7c9c-gdl76	batches_sent	188687
composepost	composepost-service-sbrev0-ctr-5898fb7c9c-gdl76	spans_dropped	2295651
composepost	composepost-service-sbrev0-ctr-5898fb7c9c-gdl76	batches_dropped	12664
composepost	composepost-service-sbrev0-ctr-5898fb7c9c-gdl76	cp_received	25672852
composepost	composepost-service-sbrev0-ctr-5898fb7c9c-gdl76	lp_received	3667500
composepost	composepost-service-sbrev0-ctr-5898fb7c9c-gdl76	cp_sent	23664210
composepost	composepost-service-sbrev0-ctr-5898fb7c9c-gdl76	lp_sent	3380491
