pod	metric	value
otelcol-sbrev0-ctr-k7vp6	otelcol_process_runtime_total_sys_memory_bytes	127482152
otelcol-sbrev0-ctr-k7vp6	otelcol_process_cpu_seconds	22
otelcol-sbrev0-ctr-k7vp6	otelcol_processor_incoming_items	1327360
otelcol-sbrev0-ctr-k7vp6	otelcol_process_runtime_heap_alloc_bytes	69258352
otelcol-sbrev0-ctr-k7vp6	otelcol_exporter_sent_spans	1327360
otelcol-sbrev0-ctr-k7vp6	otelcol_exporter_queue_batch_send_size_sum	1327360
otelcol-sbrev0-ctr-k7vp6	otelcol_processor_batch_batch_send_size_sum	1327360
otelcol-sbrev0-ctr-k7vp6	otelcol_processor_outgoing_items	1327360
otelcol-sbrev0-ctr-k7vp6	otelcol_process_uptime	242
otelcol-sbrev0-ctr-k7vp6	otelcol_receiver_accepted_spans	1327360
otelcol-sbrev0-ctr-k7vp6	otelcol_exporter_send_failed_spans	0
otelcol-sbrev0-ctr-k7vp6	otelcol_receiver_failed_spans	0
otelcol-sbrev0-ctr-k7vp6	otelcol_exporter_queue_size	0
otelcol-sbrev0-ctr-k7vp6	otelcol_exporter_queue_capacity	1001
otelcol-sbrev0-ctr-k7vp6	otelcol_receiver_refused_spans	0
otelcol-sbrev0-ctr-k7vp6	otelcol_processor_batch_metadata_cardinality	1
otelcol-sbrev0-ctr-k7vp6	otelcol_processor_batch_timeout_trigger_send	798
otelcol-sbrev0-ctr-k7vp6	otelcol_process_memory_rss	254177280
otelcol-sbrev0-ctr-k7vp6	otelcol_processor_accepted_spans	1327360
otelcol-sbrev0-ctr-k7vp6	otelcol_process_runtime_total_alloc_bytes	1184871240
otelcol-sbrev0-ctr-bj7qt	otelcol_receiver_failed_spans	0
otelcol-sbrev0-ctr-bj7qt	otelcol_process_uptime	234
otelcol-sbrev0-ctr-bj7qt	otelcol_process_runtime_total_alloc_bytes	210333304
otelcol-sbrev0-ctr-bj7qt	otelcol_exporter_queue_size	0
otelcol-sbrev0-ctr-bj7qt	otelcol_receiver_refused_spans	0
otelcol-sbrev0-ctr-bj7qt	otelcol_processor_incoming_items	158278
otelcol-sbrev0-ctr-bj7qt	otelcol_receiver_accepted_spans	158278
otelcol-sbrev0-ctr-bj7qt	otelcol_processor_outgoing_items	158278
otelcol-sbrev0-ctr-bj7qt	otelcol_processor_batch_batch_send_size_sum	158278
otelcol-sbrev0-ctr-bj7qt	otelcol_exporter_queue_capacity	1001
otelcol-sbrev0-ctr-bj7qt	otelcol_exporter_queue_batch_send_size_sum	158278
otelcol-sbrev0-ctr-bj7qt	otelcol_processor_accepted_spans	158278
otelcol-sbrev0-ctr-bj7qt	otelcol_process_cpu_seconds	7
otelcol-sbrev0-ctr-bj7qt	otelcol_processor_batch_metadata_cardinality	1
otelcol-sbrev0-ctr-bj7qt	otelcol_process_runtime_total_sys_memory_bytes	88787224
otelcol-sbrev0-ctr-bj7qt	otelcol_exporter_sent_spans	158278
otelcol-sbrev0-ctr-bj7qt	otelcol_processor_batch_timeout_trigger_send	799
otelcol-sbrev0-ctr-bj7qt	otelcol_process_runtime_heap_alloc_bytes	37146416
otelcol-sbrev0-ctr-bj7qt	otelcol_process_memory_rss	220200960
otelcol-sbrev0-ctr-bj7qt	otelcol_exporter_send_failed_spans	0
otelcol-sbrev0-ctr-gp8fd	otelcol_processor_batch_timeout_trigger_send	799
otelcol-sbrev0-ctr-gp8fd	otelcol_processor_accepted_spans	159476
otelcol-sbrev0-ctr-gp8fd	otelcol_process_memory_rss	222814208
otelcol-sbrev0-ctr-gp8fd	otelcol_process_cpu_seconds	7
otelcol-sbrev0-ctr-gp8fd	otelcol_process_runtime_heap_alloc_bytes	47842264
otelcol-sbrev0-ctr-gp8fd	otelcol_receiver_failed_spans	0
otelcol-sbrev0-ctr-gp8fd	otelcol_processor_batch_batch_send_size_sum	159476
otelcol-sbrev0-ctr-gp8fd	otelcol_exporter_send_failed_spans	0
otelcol-sbrev0-ctr-gp8fd	otelcol_receiver_refused_spans	0
otelcol-sbrev0-ctr-gp8fd	otelcol_process_runtime_total_sys_memory_bytes	88586536
otelcol-sbrev0-ctr-gp8fd	otelcol_exporter_sent_spans	159476
otelcol-sbrev0-ctr-gp8fd	otelcol_receiver_accepted_spans	159476
otelcol-sbrev0-ctr-gp8fd	otelcol_processor_incoming_items	159476
otelcol-sbrev0-ctr-gp8fd	otelcol_process_uptime	224
otelcol-sbrev0-ctr-gp8fd	otelcol_process_runtime_total_alloc_bytes	221293648
otelcol-sbrev0-ctr-gp8fd	otelcol_processor_outgoing_items	159476
otelcol-sbrev0-ctr-gp8fd	otelcol_exporter_queue_capacity	1001
otelcol-sbrev0-ctr-gp8fd	otelcol_processor_batch_metadata_cardinality	1
otelcol-sbrev0-ctr-gp8fd	otelcol_exporter_queue_size	0
otelcol-sbrev0-ctr-gp8fd	otelcol_exporter_queue_batch_send_size_sum	159476
otelcol-sbrev0-ctr-pcwfn	otelcol_processor_outgoing_items	158278
otelcol-sbrev0-ctr-pcwfn	otelcol_processor_batch_metadata_cardinality	1
otelcol-sbrev0-ctr-pcwfn	otelcol_receiver_refused_spans	0
otelcol-sbrev0-ctr-pcwfn	otelcol_processor_batch_timeout_trigger_send	798
otelcol-sbrev0-ctr-pcwfn	otelcol_process_cpu_seconds	6
otelcol-sbrev0-ctr-pcwfn	otelcol_process_runtime_total_sys_memory_bytes	88508696
otelcol-sbrev0-ctr-pcwfn	otelcol_exporter_sent_spans	158278
otelcol-sbrev0-ctr-pcwfn	otelcol_processor_accepted_spans	158278
otelcol-sbrev0-ctr-pcwfn	otelcol_process_uptime	232
otelcol-sbrev0-ctr-pcwfn	otelcol_exporter_queue_batch_send_size_sum	158278
otelcol-sbrev0-ctr-pcwfn	otelcol_process_runtime_heap_alloc_bytes	38363896
otelcol-sbrev0-ctr-pcwfn	otelcol_receiver_accepted_spans	158278
otelcol-sbrev0-ctr-pcwfn	otelcol_processor_batch_batch_send_size_sum	158278
otelcol-sbrev0-ctr-pcwfn	otelcol_receiver_failed_spans	0
otelcol-sbrev0-ctr-pcwfn	otelcol_exporter_queue_size	0
otelcol-sbrev0-ctr-pcwfn	otelcol_exporter_queue_capacity	1001
otelcol-sbrev0-ctr-pcwfn	otelcol_process_runtime_total_alloc_bytes	219798640
otelcol-sbrev0-ctr-pcwfn	otelcol_process_memory_rss	222109696
otelcol-sbrev0-ctr-pcwfn	otelcol_processor_incoming_items	158278
otelcol-sbrev0-ctr-pcwfn	otelcol_exporter_send_failed_spans	0
otelcol-sbrev0-ctr-q8g8z	otelcol_processor_batch_timeout_trigger_send	797
otelcol-sbrev0-ctr-q8g8z	otelcol_processor_accepted_spans	158278
otelcol-sbrev0-ctr-q8g8z	otelcol_process_cpu_seconds	7
otelcol-sbrev0-ctr-q8g8z	otelcol_processor_incoming_items	158278
otelcol-sbrev0-ctr-q8g8z	otelcol_exporter_sent_spans	158278
otelcol-sbrev0-ctr-q8g8z	otelcol_process_runtime_total_alloc_bytes	227448312
