phase	pod	status	restarts	node
pre_steady	composepost-service-sbrev0-ctr-5898fb7c9c-gdl76	Running	0	node-1
pre_steady	hometimeline-cache-sbrev0-ctr-d87f89457-4shf7	Running	0	node-1
pre_steady	hometimeline-service-sbrev0-ctr-cfd5f6d88-jzwn6	Running	0	node-1
pre_steady	jaeger-sbrev0-ctr-7c649d7756-8b6v7	Running	0	node-9
pre_steady	media-service-sbrev0-ctr-54dd79d4f-dphlh	Running	0	node-5
pre_steady	otelcol-sbrev0-ctr-4k64l	Running	0	node-6
pre_steady	otelcol-sbrev0-ctr-98gvr	Running	0	node-9
pre_steady	otelcol-sbrev0-ctr-bj7qt	Running	0	node-7
pre_steady	otelcol-sbrev0-ctr-gp8fd	Running	0	node-8
pre_steady	otelcol-sbrev0-ctr-gxng5	Running	0	node-3
pre_steady	otelcol-sbrev0-ctr-hc472	Running	0	node-5
pre_steady	otelcol-sbrev0-ctr-k7vp6	Running	0	node-1
pre_steady	otelcol-sbrev0-ctr-pcwfn	Running	0	node-2
pre_steady	otelcol-sbrev0-ctr-q8g8z	Running	0	node-4
pre_steady	post-cache-sbrev0-ctr-657dbcff6b-czvgz	Running	0	node-6
pre_steady	post-db-sbrev0-ctr-86d7fd48bc-dxfch	Running	0	node-6
pre_steady	post-storage-service-sbrev0-ctr-6c5f4c5cdb-d58sn	Running	0	node-6
pre_steady	social-cache-sbrev0-ctr-7585c9c44f-h58rj	Running	0	node-2
pre_steady	social-db-sbrev0-ctr-75b6f4574b-djcns	Running	0	node-2
pre_steady	socialgraph-service-sbrev0-ctr-9b484cddc-7jh5m	Running	0	node-2
pre_steady	text-service-sbrev0-ctr-c94b4487d-kx8pz	Running	0	node-5
pre_steady	tracepressure-service-sbrev0-ctr-7c2nj	Running	0	node-7
pre_steady	tracepressure-service-sbrev0-ctr-9d8hp	Running	0	node-8
pre_steady	tracepressure-service-sbrev0-ctr-f9hhp	Running	0	node-6
pre_steady	tracepressure-service-sbrev0-ctr-fkvqn	Running	0	node-2
pre_steady	tracepressure-service-sbrev0-ctr-h6v5p	Running	0	node-1
pre_steady	tracepressure-service-sbrev0-ctr-kjb7q	Running	0	node-3
pre_steady	tracepressure-service-sbrev0-ctr-pg8lq	Running	0	node-9
pre_steady	tracepressure-service-sbrev0-ctr-tvfpf	Running	0	node-4
pre_steady	tracepressure-service-sbrev0-ctr-wzzr5	Running	0	node-5
pre_steady	uniqueid-service-sbrev0-ctr-5d5bdfcf67-z56db	Running	0	node-3
pre_steady	urlshorten-db-sbrev0-ctr-5565f594f4-82fvk	Running	0	node-7
pre_steady	urlshorten-service-sbrev0-ctr-6c4596d5cb-tn2ln	Running	0	node-7
pre_steady	user-cache-sbrev0-ctr-77667bc495-c97lk	Running	0	node-8
pre_steady	user-db-sbrev0-ctr-685dc4bfc8-kzz75	Running	0	node-8
pre_steady	user-service-sbrev0-ctr-86c58c57f-8wtvt	Running	0	node-8
pre_steady	userid-service-sbrev0-ctr-7d46c694f9-hqgvf	Running	0	node-5
pre_steady	usermention-service-sbrev0-ctr-6475845d4b-ctsl7	Running	0	node-3
pre_steady	usertimeline-cache-sbrev0-ctr-79895f6498-fnphh	Running	0	node-4
pre_steady	usertimeline-db-sbrev0-ctr-7c64cb49bc-qtqck	Running	0	node-4
pre_steady	usertimeline-service-sbrev0-ctr-54474ffddd-8jf6g	Running	0	node-4
pre_steady	wrk2api-service-sbrev0-ctr-2lr79	Running	0	node-9
pre_steady	wrk2api-service-sbrev0-ctr-2xhdb	Running	0	node-1
pre_steady	wrk2api-service-sbrev0-ctr-cghbs	Running	0	node-3
pre_steady	wrk2api-service-sbrev0-ctr-ffvjm	Running	0	node-2
pre_steady	wrk2api-service-sbrev0-ctr-jx6h8	Running	0	node-6
pre_steady	wrk2api-service-sbrev0-ctr-s824l	Running	0	node-7
pre_steady	wrk2api-service-sbrev0-ctr-wqr6g	Running	0	node-5
pre_steady	wrk2api-service-sbrev0-ctr-xb5s5	Running	0	node-8
pre_steady	wrk2api-service-sbrev0-ctr-xpms9	Running	0	node-4
