service	pod	key	value
wrk2api	wrk2api-service-sbrev0-ctr-2lr79	spans_received	676836
wrk2api	wrk2api-service-sbrev0-ctr-2lr79	spans_flushed	676836
wrk2api	wrk2api-service-sbrev0-ctr-2lr79	spans_sent	673633
wrk2api	wrk2api-service-sbrev0-ctr-2lr79	batches_sent	39992
wrk2api	wrk2api-service-sbrev0-ctr-2lr79	spans_dropped	3203
wrk2api	wrk2api-service-sbrev0-ctr-2lr79	batches_dropped	92
wrk2api	wrk2api-service-sbrev0-ctr-2lr79	cp_received	338381
wrk2api	wrk2api-service-sbrev0-ctr-2lr79	lp_received	338455
wrk2api	wrk2api-service-sbrev0-ctr-2lr79	cp_sent	336816
wrk2api	wrk2api-service-sbrev0-ctr-2lr79	lp_sent	336817
wrk2api	wrk2api-service-sbrev0-ctr-2lr79	cp_dropped	1565
wrk2api	wrk2api-service-sbrev0-ctr-2lr79	lp_dropped	1638
wrk2api	wrk2api-service-sbrev0-ctr-2lr79	send_deadline	52
wrk2api	wrk2api-service-sbrev0-ctr-2lr79	send_unavailable	40
wrk2api	wrk2api-service-sbrev0-ctr-2lr79	send_exhausted	0
wrk2api	wrk2api-service-sbrev0-ctr-2lr79	send_canceled	0
wrk2api	wrk2api-service-sbrev0-ctr-2lr79	send_other	0
wrk2api	wrk2api-service-sbrev0-ctr-2lr79	hp_buffer_depth	0
wrk2api	wrk2api-service-sbrev0-ctr-2lr79	lp_buffer_depth	0
composepost	composepost-service-sbrev0-ctr-5898fb7c9c-gdl76	spans_received	24375007
composepost	composepost-service-sbrev0-ctr-5898fb7c9c-gdl76	spans_flushed	24375007
composepost	composepost-service-sbrev0-ctr-5898fb7c9c-gdl76	spans_sent	24162222
composepost	composepost-service-sbrev0-ctr-5898fb7c9c-gdl76	batches_sent	158914
composepost	composepost-service-sbrev0-ctr-5898fb7c9c-gdl76	spans_dropped	212785
composepost	composepost-service-sbrev0-ctr-5898fb7c9c-gdl76	batches_dropped	1072
composepost	composepost-service-sbrev0-ctr-5898fb7c9c-gdl76	cp_received	21328130
composepost	composepost-service-sbrev0-ctr-5898fb7c9c-gdl76	lp_received	3046877
