pod	metric	value
otelcol-sbrev0-ctr-lqvqv	otelcol_processor_accepted_spans	14359810
otelcol-sbrev0-ctr-lqvqv	otelcol_process_uptime	481
otelcol-sbrev0-ctr-lqvqv	otelcol_process_cpu_seconds	132
otelcol-sbrev0-ctr-lqvqv	otelcol_processor_refused_spans	21188
otelcol-sbrev0-ctr-lqvqv	otelcol_exporter_sent_spans	13922124
otelcol-sbrev0-ctr-lqvqv	otelcol_receiver_refused_spans	21188
otelcol-sbrev0-ctr-lqvqv	otelcol_receiver_failed_spans	0
otelcol-sbrev0-ctr-lqvqv	otelcol_processor_batch_batch_send_size_sum	14359810
otelcol-sbrev0-ctr-lqvqv	otelcol_receiver_accepted_spans	14359810
otelcol-sbrev0-ctr-lqvqv	otelcol_process_runtime_total_sys_memory_bytes	249616712
otelcol-sbrev0-ctr-lqvqv	otelcol_processor_batch_metadata_cardinality	1
otelcol-sbrev0-ctr-lqvqv	otelcol_exporter_queue_size	55
otelcol-sbrev0-ctr-lqvqv	otelcol_exporter_queue_capacity	1001
otelcol-sbrev0-ctr-lqvqv	otelcol_processor_incoming_items	14380998
otelcol-sbrev0-ctr-lqvqv	otelcol_processor_batch_timeout_trigger_send	951
otelcol-sbrev0-ctr-lqvqv	otelcol_exporter_send_failed_spans	0
otelcol-sbrev0-ctr-lqvqv	otelcol_exporter_queue_batch_send_size_sum	14359810
otelcol-sbrev0-ctr-lqvqv	otelcol_process_runtime_total_alloc_bytes	9194173864
otelcol-sbrev0-ctr-lqvqv	otelcol_process_runtime_heap_alloc_bytes	204710640
otelcol-sbrev0-ctr-lqvqv	otelcol_process_memory_rss	380956672
otelcol-sbrev0-ctr-lqvqv	otelcol_processor_outgoing_items	14359810
otelcol-sbrev0-ctr-lqvqv	otelcol_processor_batch_batch_size_trigger_send	1424
otelcol-sbrev0-ctr-8zwvx	otelcol_processor_accepted_spans	7834320
otelcol-sbrev0-ctr-8zwvx	otelcol_process_runtime_total_sys_memory_bytes	170678568
otelcol-sbrev0-ctr-8zwvx	otelcol_exporter_queue_size	56
otelcol-sbrev0-ctr-8zwvx	otelcol_exporter_queue_batch_send_size_sum	7834320
otelcol-sbrev0-ctr-8zwvx	otelcol_processor_batch_metadata_cardinality	1
otelcol-sbrev0-ctr-8zwvx	otelcol_processor_incoming_items	7834320
otelcol-sbrev0-ctr-8zwvx	otelcol_processor_batch_timeout_trigger_send	2292
otelcol-sbrev0-ctr-8zwvx	otelcol_receiver_refused_spans	0
otelcol-sbrev0-ctr-8zwvx	otelcol_process_uptime	485
otelcol-sbrev0-ctr-8zwvx	otelcol_receiver_accepted_spans	7834320
otelcol-sbrev0-ctr-8zwvx	otelcol_process_runtime_heap_alloc_bytes	111805360
otelcol-sbrev0-ctr-8zwvx	otelcol_process_memory_rss	297299968
otelcol-sbrev0-ctr-8zwvx	otelcol_process_cpu_seconds	59
otelcol-sbrev0-ctr-8zwvx	otelcol_receiver_failed_spans	0
otelcol-sbrev0-ctr-8zwvx	otelcol_processor_batch_batch_send_size_sum	7834320
otelcol-sbrev0-ctr-8zwvx	otelcol_exporter_sent_spans	7552039
otelcol-sbrev0-ctr-8zwvx	otelcol_exporter_queue_capacity	1001
otelcol-sbrev0-ctr-8zwvx	otelcol_processor_outgoing_items	7834320
otelcol-sbrev0-ctr-8zwvx	otelcol_exporter_send_failed_spans	0
otelcol-sbrev0-ctr-8zwvx	otelcol_process_runtime_total_alloc_bytes	3747617928
otelcol-sbrev0-ctr-6ts47	otelcol_processor_batch_timeout_trigger_send	2289
otelcol-sbrev0-ctr-6ts47	otelcol_receiver_refused_spans	0
otelcol-sbrev0-ctr-6ts47	otelcol_process_runtime_total_alloc_bytes	3714295472
otelcol-sbrev0-ctr-6ts47	otelcol_process_runtime_heap_alloc_bytes	113251416
otelcol-sbrev0-ctr-6ts47	otelcol_process_cpu_seconds	63
otelcol-sbrev0-ctr-6ts47	otelcol_processor_batch_batch_send_size_sum	7840320
otelcol-sbrev0-ctr-6ts47	otelcol_exporter_sent_spans	7560258
otelcol-sbrev0-ctr-6ts47	otelcol_exporter_queue_batch_send_size_sum	7840320
otelcol-sbrev0-ctr-6ts47	otelcol_process_uptime	494
otelcol-sbrev0-ctr-6ts47	otelcol_receiver_failed_spans	0
otelcol-sbrev0-ctr-6ts47	otelcol_processor_incoming_items	7840320
otelcol-sbrev0-ctr-6ts47	otelcol_exporter_send_failed_spans	0
otelcol-sbrev0-ctr-6ts47	otelcol_process_memory_rss	281075712
otelcol-sbrev0-ctr-6ts47	otelcol_processor_outgoing_items	7840320
otelcol-sbrev0-ctr-6ts47	otelcol_process_runtime_total_sys_memory_bytes	145127720
otelcol-sbrev0-ctr-6ts47	otelcol_exporter_queue_size	55
