pod	metric	value
otelcol-sbrev0-ctr-lqvqv	otelcol_processor_accepted_spans	1327380
otelcol-sbrev0-ctr-lqvqv	otelcol_process_uptime	175
otelcol-sbrev0-ctr-lqvqv	otelcol_process_cpu_seconds	22
otelcol-sbrev0-ctr-lqvqv	otelcol_exporter_sent_spans	1327380
otelcol-sbrev0-ctr-lqvqv	otelcol_receiver_refused_spans	0
otelcol-sbrev0-ctr-lqvqv	otelcol_receiver_failed_spans	0
otelcol-sbrev0-ctr-lqvqv	otelcol_processor_batch_batch_send_size_sum	1327380
otelcol-sbrev0-ctr-lqvqv	otelcol_receiver_accepted_spans	1327380
otelcol-sbrev0-ctr-lqvqv	otelcol_process_runtime_total_sys_memory_bytes	127547688
otelcol-sbrev0-ctr-lqvqv	otelcol_processor_batch_metadata_cardinality	1
otelcol-sbrev0-ctr-lqvqv	otelcol_exporter_queue_size	0
otelcol-sbrev0-ctr-lqvqv	otelcol_exporter_queue_capacity	1001
otelcol-sbrev0-ctr-lqvqv	otelcol_processor_incoming_items	1327380
otelcol-sbrev0-ctr-lqvqv	otelcol_processor_batch_timeout_trigger_send	797
otelcol-sbrev0-ctr-lqvqv	otelcol_exporter_send_failed_spans	0
otelcol-sbrev0-ctr-lqvqv	otelcol_exporter_queue_batch_send_size_sum	1327380
otelcol-sbrev0-ctr-lqvqv	otelcol_process_runtime_total_alloc_bytes	1254089880
otelcol-sbrev0-ctr-lqvqv	otelcol_process_runtime_heap_alloc_bytes	80364200
otelcol-sbrev0-ctr-lqvqv	otelcol_process_memory_rss	254394368
otelcol-sbrev0-ctr-lqvqv	otelcol_processor_outgoing_items	1327380
otelcol-sbrev0-ctr-8zwvx	otelcol_processor_accepted_spans	158280
otelcol-sbrev0-ctr-8zwvx	otelcol_process_runtime_total_sys_memory_bytes	88459544
otelcol-sbrev0-ctr-8zwvx	otelcol_exporter_queue_size	0
otelcol-sbrev0-ctr-8zwvx	otelcol_exporter_queue_batch_send_size_sum	158280
otelcol-sbrev0-ctr-8zwvx	otelcol_processor_batch_metadata_cardinality	1
otelcol-sbrev0-ctr-8zwvx	otelcol_processor_incoming_items	158280
otelcol-sbrev0-ctr-8zwvx	otelcol_processor_batch_timeout_trigger_send	798
otelcol-sbrev0-ctr-8zwvx	otelcol_receiver_refused_spans	0
otelcol-sbrev0-ctr-8zwvx	otelcol_process_uptime	178
otelcol-sbrev0-ctr-8zwvx	otelcol_receiver_accepted_spans	158280
otelcol-sbrev0-ctr-8zwvx	otelcol_process_runtime_heap_alloc_bytes	42597120
otelcol-sbrev0-ctr-8zwvx	otelcol_process_memory_rss	221782016
otelcol-sbrev0-ctr-8zwvx	otelcol_process_cpu_seconds	7
otelcol-sbrev0-ctr-8zwvx	otelcol_receiver_failed_spans	0
otelcol-sbrev0-ctr-8zwvx	otelcol_processor_batch_batch_send_size_sum	158280
