pod	metric	value
otelcol-sbrev0-ctr-kgvct	otelcol_processor_accepted_spans	16833434
otelcol-sbrev0-ctr-kgvct	otelcol_process_runtime_total_alloc_bytes	11275831168
otelcol-sbrev0-ctr-kgvct	otelcol_processor_batch_metadata_cardinality	1
otelcol-sbrev0-ctr-kgvct	otelcol_processor_batch_timeout_trigger_send	1038
otelcol-sbrev0-ctr-kgvct	otelcol_process_memory_rss	273313792
otelcol-sbrev0-ctr-kgvct	otelcol_exporter_queue_size	0
otelcol-sbrev0-ctr-kgvct	otelcol_processor_batch_batch_send_size_sum	16833434
otelcol-sbrev0-ctr-kgvct	otelcol_process_runtime_heap_alloc_bytes	60038104
otelcol-sbrev0-ctr-kgvct	otelcol_processor_refused_spans	974775
otelcol-sbrev0-ctr-kgvct	otelcol_process_cpu_seconds	162
otelcol-sbrev0-ctr-kgvct	otelcol_processor_incoming_items	17808209
otelcol-sbrev0-ctr-kgvct	otelcol_receiver_accepted_spans	16833434
otelcol-sbrev0-ctr-kgvct	otelcol_receiver_failed_spans	0
otelcol-sbrev0-ctr-kgvct	otelcol_processor_outgoing_items	16833434
otelcol-sbrev0-ctr-kgvct	otelcol_exporter_queue_batch_send_size_sum	16833434
otelcol-sbrev0-ctr-kgvct	otelcol_processor_batch_batch_size_trigger_send	1800
otelcol-sbrev0-ctr-kgvct	otelcol_process_runtime_total_sys_memory_bytes	219146552
otelcol-sbrev0-ctr-kgvct	otelcol_exporter_sent_spans	16833434
otelcol-sbrev0-ctr-kgvct	otelcol_exporter_send_failed_spans	0
otelcol-sbrev0-ctr-kgvct	otelcol_exporter_queue_capacity	1001
otelcol-sbrev0-ctr-kgvct	otelcol_receiver_refused_spans	974775
otelcol-sbrev0-ctr-kgvct	otelcol_process_uptime	665
otelcol-sbrev0-ctr-rxk6q	otelcol_processor_batch_metadata_cardinality	1
otelcol-sbrev0-ctr-rxk6q	otelcol_process_runtime_total_alloc_bytes	5509907288
