phase	pod	status	restarts	node
pre_steady	composepost-service-sbrev0-ctr-5898fb7c9c-rqvjb	Running	0	node-1
pre_steady	hometimeline-cache-sbrev0-ctr-d87f89457-szz8q	Running	0	node-1
pre_steady	hometimeline-service-sbrev0-ctr-cfd5f6d88-2777r	Running	0	node-1
pre_steady	jaeger-sbrev0-ctr-79b8c8cc95-m8jh2	Pending	0	<none>
pre_steady	jaeger-sbrev0-ctr-7c649d7756-q6pvk	Running	0	node-9
pre_steady	media-service-sbrev0-ctr-54dd79d4f-ddc7d	Running	0	node-5
pre_steady	otelcol-sbrev0-ctr-8lppx	Running	0	node-7
pre_steady	otelcol-sbrev0-ctr-c979v	Running	0	node-3
pre_steady	otelcol-sbrev0-ctr-gc567	Running	0	node-2
pre_steady	otelcol-sbrev0-ctr-hwksl	Running	0	node-6
pre_steady	otelcol-sbrev0-ctr-jb58s	Running	0	node-8
pre_steady	otelcol-sbrev0-ctr-k77vm	Running	0	node-4
pre_steady	otelcol-sbrev0-ctr-kgvct	Running	0	node-1
pre_steady	otelcol-sbrev0-ctr-ql2n5	Running	0	node-5
pre_steady	otelcol-sbrev0-ctr-rxk6q	Running	0	node-9
pre_steady	post-cache-sbrev0-ctr-657dbcff6b-lq8d2	Running	0	node-6
pre_steady	post-db-sbrev0-ctr-86d7fd48bc-wkwqh	Running	0	node-6
pre_steady	post-storage-service-sbrev0-ctr-6c5f4c5cdb-dfd6q	Running	0	node-6
pre_steady	social-cache-sbrev0-ctr-7585c9c44f-tkfqx	Running	0	node-2
pre_steady	social-db-sbrev0-ctr-75b6f4574b-w4dcf	Running	0	node-2
pre_steady	socialgraph-service-sbrev0-ctr-9b484cddc-zhfb2	Running	0	node-2
pre_steady	text-service-sbrev0-ctr-c94b4487d-4dq7v	Running	0	node-5
pre_steady	tracepressure-service-sbrev0-ctr-4czdj	Running	0	node-7
pre_steady	tracepressure-service-sbrev0-ctr-5lwfj	Running	0	node-5
pre_steady	tracepressure-service-sbrev0-ctr-7dzhf	Running	0	node-3
pre_steady	tracepressure-service-sbrev0-ctr-9jb9v	Running	0	node-1
pre_steady	tracepressure-service-sbrev0-ctr-k4l6t	Running	0	node-9
pre_steady	tracepressure-service-sbrev0-ctr-p8n4s	Running	0	node-6
pre_steady	tracepressure-service-sbrev0-ctr-pwsnn	Running	0	node-8
pre_steady	tracepressure-service-sbrev0-ctr-pxjlt	Running	0	node-4
pre_steady	tracepressure-service-sbrev0-ctr-s8smc	Running	0	node-2
pre_steady	uniqueid-service-sbrev0-ctr-5d5bdfcf67-bwtpw	Running	0	node-3
pre_steady	urlshorten-db-sbrev0-ctr-5565f594f4-h6jj8	Running	0	node-7
pre_steady	urlshorten-service-sbrev0-ctr-6c4596d5cb-5v6qw	Running	0	node-7
pre_steady	user-cache-sbrev0-ctr-77667bc495-cdslc	Running	0	node-8
pre_steady	user-db-sbrev0-ctr-685dc4bfc8-qtjm5	Running	0	node-8
pre_steady	user-service-sbrev0-ctr-86c58c57f-4s8x7	Running	0	node-8
pre_steady	userid-service-sbrev0-ctr-7d46c694f9-jtblp	Running	0	node-5
pre_steady	usermention-service-sbrev0-ctr-6475845d4b-d8dqp	Running	0	node-3
pre_steady	usertimeline-cache-sbrev0-ctr-79895f6498-vkgx5	Running	0	node-4
pre_steady	usertimeline-db-sbrev0-ctr-7c64cb49bc-774hv	Running	0	node-4
pre_steady	usertimeline-service-sbrev0-ctr-54474ffddd-cgb8g	Running	0	node-4
pre_steady	wrk2api-service-sbrev0-ctr-7zgn5	Running	0	node-4
pre_steady	wrk2api-service-sbrev0-ctr-8bg5l	Running	0	node-8
pre_steady	wrk2api-service-sbrev0-ctr-9cbv8	Running	0	node-2
pre_steady	wrk2api-service-sbrev0-ctr-9jrf4	Running	0	node-7
pre_steady	wrk2api-service-sbrev0-ctr-d4bsg	Running	0	node-6
pre_steady	wrk2api-service-sbrev0-ctr-jllnr	Running	0	node-3
pre_steady	wrk2api-service-sbrev0-ctr-pmwp2	Running	0	node-5
pre_steady	wrk2api-service-sbrev0-ctr-shb8v	Running	0	node-9
pre_steady	wrk2api-service-sbrev0-ctr-xlwsh	Running	0	node-1
post_steady	composepost-service-sbrev0-ctr-5898fb7c9c-rqvjb	Running	0	node-1
post_steady	hometimeline-cache-sbrev0-ctr-d87f89457-szz8q	Running	0	node-1
post_steady	hometimeline-service-sbrev0-ctr-cfd5f6d88-2777r	Running	0	node-1
post_steady	jaeger-sbrev0-ctr-79b8c8cc95-m8jh2	Pending	0	<none>
post_steady	jaeger-sbrev0-ctr-7c649d7756-q6pvk	Running	0	node-9
post_steady	media-service-sbrev0-ctr-54dd79d4f-ddc7d	Running	0	node-5
post_steady	otelcol-sbrev0-ctr-8lppx	Running	0	node-7
post_steady	otelcol-sbrev0-ctr-c979v	Running	0	node-3
post_steady	otelcol-sbrev0-ctr-gc567	Running	0	node-2
post_steady	otelcol-sbrev0-ctr-hwksl	Running	0	node-6
post_steady	otelcol-sbrev0-ctr-jb58s	Running	0	node-8
post_steady	otelcol-sbrev0-ctr-k77vm	Running	0	node-4
post_steady	otelcol-sbrev0-ctr-kgvct	Running	0	node-1
post_steady	otelcol-sbrev0-ctr-ql2n5	Running	0	node-5
post_steady	otelcol-sbrev0-ctr-rxk6q	Running	0	node-9
post_steady	post-cache-sbrev0-ctr-657dbcff6b-lq8d2	Running	0	node-6
post_steady	post-db-sbrev0-ctr-86d7fd48bc-wkwqh	Running	0	node-6
post_steady	post-storage-service-sbrev0-ctr-6c5f4c5cdb-dfd6q	Running	0	node-6
post_steady	social-cache-sbrev0-ctr-7585c9c44f-tkfqx	Running	0	node-2
post_steady	social-db-sbrev0-ctr-75b6f4574b-w4dcf	Running	0	node-2
post_steady	socialgraph-service-sbrev0-ctr-9b484cddc-zhfb2	Running	0	node-2
post_steady	text-service-sbrev0-ctr-c94b4487d-4dq7v	Running	0	node-5
post_steady	tracepressure-service-sbrev0-ctr-4czdj	Running	0	node-7
post_steady	tracepressure-service-sbrev0-ctr-5lwfj	Running	0	node-5
post_steady	tracepressure-service-sbrev0-ctr-7dzhf	Running	0	node-3
post_steady	tracepressure-service-sbrev0-ctr-9jb9v	Running	0	node-1
post_steady	tracepressure-service-sbrev0-ctr-k4l6t	Running	0	node-9
post_steady	tracepressure-service-sbrev0-ctr-p8n4s	Running	0	node-6
post_steady	tracepressure-service-sbrev0-ctr-pwsnn	Running	0	node-8
post_steady	tracepressure-service-sbrev0-ctr-pxjlt	Running	0	node-4
post_steady	tracepressure-service-sbrev0-ctr-s8smc	Running	0	node-2
post_steady	uniqueid-service-sbrev0-ctr-5d5bdfcf67-bwtpw	Running	0	node-3
post_steady	urlshorten-db-sbrev0-ctr-5565f594f4-h6jj8	Running	0	node-7
post_steady	urlshorten-service-sbrev0-ctr-6c4596d5cb-5v6qw	Running	0	node-7
post_steady	user-cache-sbrev0-ctr-77667bc495-cdslc	Running	0	node-8
post_steady	user-db-sbrev0-ctr-685dc4bfc8-qtjm5	Running	0	node-8
post_steady	user-service-sbrev0-ctr-86c58c57f-4s8x7	Running	0	node-8
post_steady	userid-service-sbrev0-ctr-7d46c694f9-jtblp	Running	0	node-5
post_steady	usermention-service-sbrev0-ctr-6475845d4b-d8dqp	Running	0	node-3
post_steady	usertimeline-cache-sbrev0-ctr-79895f6498-vkgx5	Running	0	node-4
post_steady	usertimeline-db-sbrev0-ctr-7c64cb49bc-774hv	Running	0	node-4
post_steady	usertimeline-service-sbrev0-ctr-54474ffddd-cgb8g	Running	0	node-4
post_steady	wrk2api-service-sbrev0-ctr-7zgn5	Running	0	node-4
post_steady	wrk2api-service-sbrev0-ctr-8bg5l	Running	0	node-8
post_steady	wrk2api-service-sbrev0-ctr-9cbv8	Running	0	node-2
post_steady	wrk2api-service-sbrev0-ctr-9jrf4	Running	0	node-7
post_steady	wrk2api-service-sbrev0-ctr-d4bsg	Running	0	node-6
post_steady	wrk2api-service-sbrev0-ctr-jllnr	Running	0	node-3
post_steady	wrk2api-service-sbrev0-ctr-pmwp2	Running	0	node-5
post_steady	wrk2api-service-sbrev0-ctr-shb8v	Running	0	node-9
post_steady	wrk2api-service-sbrev0-ctr-xlwsh	Running	0	node-1
