pod	metric	value
otelcol-sbrev0-ctr-l9pn6	otelcol_receiver_refused_spans	0
otelcol-sbrev0-ctr-l9pn6	otelcol_processor_batch_batch_send_size_sum	296917
otelcol-sbrev0-ctr-l9pn6	otelcol_process_cpu_seconds	12
otelcol-sbrev0-ctr-l9pn6	otelcol_processor_incoming_items	296917
otelcol-sbrev0-ctr-l9pn6	otelcol_process_runtime_heap_alloc_bytes	50146136
otelcol-sbrev0-ctr-l9pn6	otelcol_exporter_queue_batch_send_size_sum	296917
otelcol-sbrev0-ctr-l9pn6	otelcol_processor_batch_metadata_cardinality	1
otelcol-sbrev0-ctr-l9pn6	otelcol_receiver_accepted_spans	296917
otelcol-sbrev0-ctr-l9pn6	otelcol_processor_outgoing_items	296917
otelcol-sbrev0-ctr-l9pn6	otelcol_processor_batch_timeout_trigger_send	964
otelcol-sbrev0-ctr-l9pn6	otelcol_exporter_send_failed_spans	0
otelcol-sbrev0-ctr-l9pn6	otelcol_process_runtime_total_sys_memory_bytes	96741656
otelcol-sbrev0-ctr-l9pn6	otelcol_exporter_sent_spans	296917
otelcol-sbrev0-ctr-l9pn6	otelcol_exporter_queue_capacity	1001
otelcol-sbrev0-ctr-l9pn6	otelcol_receiver_failed_spans	0
otelcol-sbrev0-ctr-l9pn6	otelcol_processor_accepted_spans	296917
otelcol-sbrev0-ctr-l9pn6	otelcol_process_uptime	1873
otelcol-sbrev0-ctr-l9pn6	otelcol_process_runtime_total_alloc_bytes	343091608
otelcol-sbrev0-ctr-l9pn6	otelcol_process_memory_rss	227901440
otelcol-sbrev0-ctr-l9pn6	otelcol_exporter_queue_size	0
otelcol-sbrev0-ctr-vspkl	otelcol_receiver_accepted_spans	281930
otelcol-sbrev0-ctr-vspkl	otelcol_process_runtime_total_sys_memory_bytes	89041176
otelcol-sbrev0-ctr-vspkl	otelcol_exporter_queue_capacity	1001
otelcol-sbrev0-ctr-vspkl	otelcol_receiver_refused_spans	0
otelcol-sbrev0-ctr-vspkl	otelcol_process_uptime	1876
otelcol-sbrev0-ctr-vspkl	otelcol_process_memory_rss	225095680
otelcol-sbrev0-ctr-vspkl	otelcol_processor_accepted_spans	281930
otelcol-sbrev0-ctr-vspkl	otelcol_process_cpu_seconds	11
otelcol-sbrev0-ctr-vspkl	otelcol_exporter_sent_spans	281930
otelcol-sbrev0-ctr-vspkl	otelcol_exporter_send_failed_spans	0
otelcol-sbrev0-ctr-vspkl	otelcol_exporter_queue_batch_send_size_sum	281930
otelcol-sbrev0-ctr-vspkl	otelcol_processor_batch_metadata_cardinality	1
otelcol-sbrev0-ctr-vspkl	otelcol_processor_batch_batch_send_size_sum	281930
otelcol-sbrev0-ctr-vspkl	otelcol_process_runtime_heap_alloc_bytes	46779744
otelcol-sbrev0-ctr-vspkl	otelcol_processor_batch_timeout_trigger_send	973
otelcol-sbrev0-ctr-vspkl	otelcol_processor_incoming_items	281930
otelcol-sbrev0-ctr-vspkl	otelcol_processor_outgoing_items	281930
otelcol-sbrev0-ctr-vspkl	otelcol_exporter_queue_size	0
otelcol-sbrev0-ctr-vspkl	otelcol_process_runtime_total_alloc_bytes	304723288
otelcol-sbrev0-ctr-vspkl	otelcol_receiver_failed_spans	0
