pod	metric	value
otelcol-sbrev0-ctr-2t66h	otelcol_process_runtime_total_sys_memory_bytes	283220296
otelcol-sbrev0-ctr-2t66h	otelcol_processor_accepted_spans	4433846
otelcol-sbrev0-ctr-2t66h	otelcol_exporter_sent_spans	4433846
otelcol-sbrev0-ctr-2t66h	otelcol_receiver_refused_spans	107521
otelcol-sbrev0-ctr-2t66h	otelcol_processor_refused_spans	107521
otelcol-sbrev0-ctr-2t66h	otelcol_process_runtime_total_alloc_bytes	3623268296
otelcol-sbrev0-ctr-2t66h	otelcol_exporter_queue_size	0
otelcol-sbrev0-ctr-2t66h	otelcol_processor_incoming_items	4541367
otelcol-sbrev0-ctr-2t66h	otelcol_process_runtime_heap_alloc_bytes	33237944
otelcol-sbrev0-ctr-2t66h	otelcol_receiver_accepted_spans	4433846
otelcol-sbrev0-ctr-2t66h	otelcol_processor_batch_batch_send_size_sum	4433846
otelcol-sbrev0-ctr-2t66h	otelcol_receiver_failed_spans	0
otelcol-sbrev0-ctr-2t66h	otelcol_exporter_queue_batch_send_size_sum	4433846
otelcol-sbrev0-ctr-2t66h	otelcol_processor_batch_metadata_cardinality	1
otelcol-sbrev0-ctr-2t66h	otelcol_exporter_queue_capacity	1001
otelcol-sbrev0-ctr-2t66h	otelcol_processor_batch_timeout_trigger_send	6992
otelcol-sbrev0-ctr-2t66h	otelcol_process_uptime	2257
otelcol-sbrev0-ctr-2t66h	otelcol_processor_outgoing_items	4433846
otelcol-sbrev0-ctr-2t66h	otelcol_processor_batch_batch_size_trigger_send	9
otelcol-sbrev0-ctr-2t66h	otelcol_process_cpu_seconds	94
otelcol-sbrev0-ctr-2t66h	otelcol_process_memory_rss	229969920
otelcol-sbrev0-ctr-2t66h	otelcol_exporter_send_failed_spans	0
otelcol-sbrev0-ctr-tv7w7	otelcol_processor_accepted_spans	31526989
otelcol-sbrev0-ctr-tv7w7	otelcol_exporter_sent_spans	31526989
otelcol-sbrev0-ctr-tv7w7	otelcol_exporter_queue_size	0
otelcol-sbrev0-ctr-tv7w7	otelcol_exporter_send_failed_spans	0
otelcol-sbrev0-ctr-tv7w7	otelcol_exporter_queue_batch_send_size_sum	31526989
otelcol-sbrev0-ctr-tv7w7	otelcol_receiver_accepted_spans	31526989
otelcol-sbrev0-ctr-tv7w7	otelcol_processor_incoming_items	31526989
otelcol-sbrev0-ctr-tv7w7	otelcol_process_memory_rss	257441792
otelcol-sbrev0-ctr-tv7w7	otelcol_exporter_queue_capacity	1001
otelcol-sbrev0-ctr-tv7w7	otelcol_processor_batch_batch_size_trigger_send	46
otelcol-sbrev0-ctr-tv7w7	otelcol_process_uptime	2248
otelcol-sbrev0-ctr-tv7w7	otelcol_process_runtime_heap_alloc_bytes	53453736
otelcol-sbrev0-ctr-tv7w7	otelcol_processor_batch_batch_send_size_sum	31526989
otelcol-sbrev0-ctr-tv7w7	otelcol_process_cpu_seconds	396
otelcol-sbrev0-ctr-tv7w7	otelcol_receiver_refused_spans	0
otelcol-sbrev0-ctr-tv7w7	otelcol_process_runtime_total_sys_memory_bytes	148715816
otelcol-sbrev0-ctr-tv7w7	otelcol_processor_outgoing_items	31526989
otelcol-sbrev0-ctr-tv7w7	otelcol_processor_batch_metadata_cardinality	1
otelcol-sbrev0-ctr-tv7w7	otelcol_process_runtime_total_alloc_bytes	23527853536
otelcol-sbrev0-ctr-tv7w7	otelcol_receiver_failed_spans	0
otelcol-sbrev0-ctr-tv7w7	otelcol_processor_batch_timeout_trigger_send	6989
otelcol-sbrev0-ctr-9kqgw	otelcol_receiver_failed_spans	0
otelcol-sbrev0-ctr-9kqgw	otelcol_receiver_accepted_spans	13383119
otelcol-sbrev0-ctr-9kqgw	otelcol_processor_batch_metadata_cardinality	1
otelcol-sbrev0-ctr-9kqgw	otelcol_process_runtime_total_alloc_bytes	7609654128
otelcol-sbrev0-ctr-9kqgw	otelcol_process_cpu_seconds	174
otelcol-sbrev0-ctr-9kqgw	otelcol_receiver_refused_spans	0
otelcol-sbrev0-ctr-9kqgw	otelcol_processor_batch_timeout_trigger_send	7056
otelcol-sbrev0-ctr-9kqgw	otelcol_process_memory_rss	239247360
otelcol-sbrev0-ctr-9kqgw	otelcol_processor_incoming_items	13383119
otelcol-sbrev0-ctr-9kqgw	otelcol_exporter_queue_capacity	1001
otelcol-sbrev0-ctr-9kqgw	otelcol_process_uptime	2251
otelcol-sbrev0-ctr-9kqgw	otelcol_exporter_queue_batch_send_size_sum	13383119
otelcol-sbrev0-ctr-9kqgw	otelcol_exporter_sent_spans	13383119
otelcol-sbrev0-ctr-9kqgw	otelcol_exporter_queue_size	0
otelcol-sbrev0-ctr-9kqgw	otelcol_process_runtime_total_sys_memory_bytes	107251992
otelcol-sbrev0-ctr-9kqgw	otelcol_processor_outgoing_items	13383119
otelcol-sbrev0-ctr-9kqgw	otelcol_processor_batch_batch_send_size_sum	13383119
otelcol-sbrev0-ctr-9kqgw	otelcol_process_runtime_heap_alloc_bytes	34515296
otelcol-sbrev0-ctr-9kqgw	otelcol_exporter_send_failed_spans	0
otelcol-sbrev0-ctr-9kqgw	otelcol_processor_accepted_spans	13383119
otelcol-sbrev0-ctr-lswgx	otelcol_process_runtime_total_alloc_bytes	3245440016
otelcol-sbrev0-ctr-lswgx	otelcol_process_runtime_heap_alloc_bytes	47858224
otelcol-sbrev0-ctr-lswgx	otelcol_process_memory_rss	233541632
otelcol-sbrev0-ctr-lswgx	otelcol_processor_batch_metadata_cardinality	1
otelcol-sbrev0-ctr-lswgx	otelcol_receiver_accepted_spans	4232280
otelcol-sbrev0-ctr-lswgx	otelcol_processor_batch_timeout_trigger_send	7041
otelcol-sbrev0-ctr-lswgx	otelcol_exporter_send_failed_spans	0
otelcol-sbrev0-ctr-lswgx	otelcol_exporter_queue_size	0
otelcol-sbrev0-ctr-lswgx	otelcol_processor_accepted_spans	4232280
otelcol-sbrev0-ctr-lswgx	otelcol_exporter_queue_capacity	1001
otelcol-sbrev0-ctr-lswgx	otelcol_exporter_queue_batch_send_size_sum	4232280
otelcol-sbrev0-ctr-lswgx	otelcol_receiver_failed_spans	0
otelcol-sbrev0-ctr-lswgx	otelcol_processor_incoming_items	4232280
otelcol-sbrev0-ctr-lswgx	otelcol_processor_outgoing_items	4232280
otelcol-sbrev0-ctr-lswgx	otelcol_processor_batch_batch_send_size_sum	4232280
otelcol-sbrev0-ctr-lswgx	otelcol_process_uptime	2254
otelcol-sbrev0-ctr-lswgx	otelcol_process_cpu_seconds	96
otelcol-sbrev0-ctr-lswgx	otelcol_receiver_refused_spans	0
otelcol-sbrev0-ctr-lswgx	otelcol_process_runtime_total_sys_memory_bytes	102246680
otelcol-sbrev0-ctr-lswgx	otelcol_exporter_sent_spans	4232280
otelcol-sbrev0-ctr-mgl97	otelcol_receiver_refused_spans	0
otelcol-sbrev0-ctr-mgl97	otelcol_process_runtime_total_alloc_bytes	3248646024
otelcol-sbrev0-ctr-mgl97	otelcol_process_uptime	2254
otelcol-sbrev0-ctr-mgl97	otelcol_process_runtime_total_sys_memory_bytes	96803112
otelcol-sbrev0-ctr-mgl97	otelcol_process_memory_rss	229834752
otelcol-sbrev0-ctr-mgl97	otelcol_process_cpu_seconds	103
otelcol-sbrev0-ctr-mgl97	otelcol_exporter_send_failed_spans	0
otelcol-sbrev0-ctr-mgl97	otelcol_exporter_queue_batch_send_size_sum	4228103
otelcol-sbrev0-ctr-mgl97	otelcol_process_runtime_heap_alloc_bytes	54935048
otelcol-sbrev0-ctr-mgl97	otelcol_processor_outgoing_items	4228103
otelcol-sbrev0-ctr-mgl97	otelcol_processor_batch_batch_send_size_sum	4228103
otelcol-sbrev0-ctr-mgl97	otelcol_receiver_failed_spans	0
otelcol-sbrev0-ctr-mgl97	otelcol_exporter_sent_spans	4228103
otelcol-sbrev0-ctr-mgl97	otelcol_receiver_accepted_spans	4228103
otelcol-sbrev0-ctr-mgl97	otelcol_processor_batch_metadata_cardinality	1
otelcol-sbrev0-ctr-mgl97	otelcol_processor_accepted_spans	4228103
otelcol-sbrev0-ctr-mgl97	otelcol_exporter_queue_size	0
otelcol-sbrev0-ctr-mgl97	otelcol_processor_batch_timeout_trigger_send	7023
otelcol-sbrev0-ctr-mgl97	otelcol_exporter_queue_capacity	1001
otelcol-sbrev0-ctr-mgl97	otelcol_processor_incoming_items	4228103
otelcol-sbrev0-ctr-5vvgp	otelcol_receiver_accepted_spans	1200358
otelcol-sbrev0-ctr-5vvgp	otelcol_process_uptime	2254
otelcol-sbrev0-ctr-5vvgp	otelcol_process_runtime_total_alloc_bytes	1345992160
otelcol-sbrev0-ctr-5vvgp	otelcol_processor_incoming_items	1200358
otelcol-sbrev0-ctr-5vvgp	otelcol_process_runtime_heap_alloc_bytes	46401984
otelcol-sbrev0-ctr-5vvgp	otelcol_exporter_queue_capacity	1001
otelcol-sbrev0-ctr-5vvgp	otelcol_receiver_failed_spans	0
otelcol-sbrev0-ctr-5vvgp	otelcol_process_cpu_seconds	46
otelcol-sbrev0-ctr-5vvgp	otelcol_processor_outgoing_items	1200358
otelcol-sbrev0-ctr-5vvgp	otelcol_processor_batch_batch_send_size_sum	1200358
otelcol-sbrev0-ctr-5vvgp	otelcol_exporter_sent_spans	1200358
otelcol-sbrev0-ctr-5vvgp	otelcol_exporter_send_failed_spans	0
otelcol-sbrev0-ctr-5vvgp	otelcol_processor_accepted_spans	1200358
otelcol-sbrev0-ctr-5vvgp	otelcol_exporter_queue_batch_send_size_sum	1200358
otelcol-sbrev0-ctr-5vvgp	otelcol_exporter_queue_size	0
otelcol-sbrev0-ctr-5vvgp	otelcol_processor_batch_metadata_cardinality	1
otelcol-sbrev0-ctr-5vvgp	otelcol_process_runtime_total_sys_memory_bytes	88344856
otelcol-sbrev0-ctr-5vvgp	otelcol_receiver_refused_spans	0
otelcol-sbrev0-ctr-5vvgp	otelcol_processor_batch_timeout_trigger_send	7039
otelcol-sbrev0-ctr-5vvgp	otelcol_process_memory_rss	227434496
otelcol-sbrev0-ctr-tbdq6	otelcol_processor_outgoing_items	4237070
otelcol-sbrev0-ctr-tbdq6	otelcol_exporter_queue_size	0
otelcol-sbrev0-ctr-tbdq6	otelcol_exporter_send_failed_spans	0
otelcol-sbrev0-ctr-tbdq6	otelcol_processor_accepted_spans	4237070
otelcol-sbrev0-ctr-tbdq6	otelcol_exporter_queue_batch_send_size_sum	4237070
otelcol-sbrev0-ctr-tbdq6	otelcol_receiver_failed_spans	0
otelcol-sbrev0-ctr-tbdq6	otelcol_process_uptime	2253
otelcol-sbrev0-ctr-tbdq6	otelcol_process_runtime_total_alloc_bytes	3254057384
otelcol-sbrev0-ctr-tbdq6	otelcol_receiver_accepted_spans	4237070
otelcol-sbrev0-ctr-tbdq6	otelcol_process_memory_rss	225513472
otelcol-sbrev0-ctr-tbdq6	otelcol_process_cpu_seconds	95
otelcol-sbrev0-ctr-tbdq6	otelcol_process_runtime_heap_alloc_bytes	35465880
otelcol-sbrev0-ctr-tbdq6	otelcol_exporter_queue_capacity	1001
otelcol-sbrev0-ctr-tbdq6	otelcol_receiver_refused_spans	0
otelcol-sbrev0-ctr-tbdq6	otelcol_processor_batch_batch_send_size_sum	4237070
otelcol-sbrev0-ctr-tbdq6	otelcol_processor_batch_metadata_cardinality	1
otelcol-sbrev0-ctr-tbdq6	otelcol_process_runtime_total_sys_memory_bytes	102508824
otelcol-sbrev0-ctr-tbdq6	otelcol_processor_incoming_items	4237070
otelcol-sbrev0-ctr-tbdq6	otelcol_processor_batch_timeout_trigger_send	7043
otelcol-sbrev0-ctr-tbdq6	otelcol_exporter_sent_spans	4237070
otelcol-sbrev0-ctr-9fmbb	otelcol_process_runtime_total_alloc_bytes	5121892520
otelcol-sbrev0-ctr-9fmbb	otelcol_exporter_sent_spans	7264727
otelcol-sbrev0-ctr-9fmbb	otelcol_receiver_accepted_spans	7264727
otelcol-sbrev0-ctr-9fmbb	otelcol_exporter_queue_size	0
otelcol-sbrev0-ctr-9fmbb	otelcol_exporter_queue_capacity	1001
otelcol-sbrev0-ctr-9fmbb	otelcol_process_runtime_heap_alloc_bytes	53300936
otelcol-sbrev0-ctr-9fmbb	otelcol_receiver_failed_spans	0
otelcol-sbrev0-ctr-9fmbb	otelcol_processor_accepted_spans	7264727
otelcol-sbrev0-ctr-9fmbb	otelcol_process_uptime	2254
otelcol-sbrev0-ctr-9fmbb	otelcol_processor_batch_batch_send_size_sum	7264727
otelcol-sbrev0-ctr-9fmbb	otelcol_processor_batch_metadata_cardinality	1
otelcol-sbrev0-ctr-9fmbb	otelcol_process_memory_rss	234729472
otelcol-sbrev0-ctr-9fmbb	otelcol_process_cpu_seconds	134
otelcol-sbrev0-ctr-9fmbb	otelcol_exporter_send_failed_spans	0
otelcol-sbrev0-ctr-9fmbb	otelcol_receiver_refused_spans	0
otelcol-sbrev0-ctr-9fmbb	otelcol_processor_incoming_items	7264727
otelcol-sbrev0-ctr-9fmbb	otelcol_processor_batch_timeout_trigger_send	7044
otelcol-sbrev0-ctr-9fmbb	otelcol_process_runtime_total_sys_memory_bytes	102525208
otelcol-sbrev0-ctr-9fmbb	otelcol_exporter_queue_batch_send_size_sum	7264727
otelcol-sbrev0-ctr-9fmbb	otelcol_processor_outgoing_items	7264727
otelcol-sbrev0-ctr-99gt9	otelcol_processor_outgoing_items	4232682
otelcol-sbrev0-ctr-99gt9	otelcol_process_uptime	2254
otelcol-sbrev0-ctr-99gt9	otelcol_receiver_accepted_spans	4232682
otelcol-sbrev0-ctr-99gt9	otelcol_exporter_send_failed_spans	0
otelcol-sbrev0-ctr-99gt9	otelcol_receiver_failed_spans	0
otelcol-sbrev0-ctr-99gt9	otelcol_exporter_queue_size	0
otelcol-sbrev0-ctr-99gt9	otelcol_processor_batch_batch_send_size_sum	4232682
otelcol-sbrev0-ctr-99gt9	otelcol_processor_accepted_spans	4232682
otelcol-sbrev0-ctr-99gt9	otelcol_process_runtime_total_sys_memory_bytes	97876264
otelcol-sbrev0-ctr-99gt9	otelcol_process_runtime_heap_alloc_bytes	33350104
otelcol-sbrev0-ctr-99gt9	otelcol_process_cpu_seconds	92
otelcol-sbrev0-ctr-99gt9	otelcol_receiver_refused_spans	0
otelcol-sbrev0-ctr-99gt9	otelcol_processor_incoming_items	4232682
otelcol-sbrev0-ctr-99gt9	otelcol_process_memory_rss	231415808
otelcol-sbrev0-ctr-99gt9	otelcol_exporter_queue_capacity	1001
otelcol-sbrev0-ctr-99gt9	otelcol_processor_batch_metadata_cardinality	1
otelcol-sbrev0-ctr-99gt9	otelcol_processor_batch_timeout_trigger_send	7045
otelcol-sbrev0-ctr-99gt9	otelcol_exporter_queue_batch_send_size_sum	4232682
otelcol-sbrev0-ctr-99gt9	otelcol_exporter_sent_spans	4232682
otelcol-sbrev0-ctr-99gt9	otelcol_process_runtime_total_alloc_bytes	3295732984
