phase	pod	status	restarts	node
pre_steady	composepost-service-sbrev0-ctr-5898fb7c9c-tkntp	Running	0	node-1
pre_steady	hometimeline-cache-sbrev0-ctr-d87f89457-jrbqf	Running	0	node-1
pre_steady	hometimeline-service-sbrev0-ctr-cfd5f6d88-m2chv	Running	0	node-1
pre_steady	jaeger-sbrev0-ctr-7c649d7756-mx9m6	Running	0	node-9
pre_steady	media-service-sbrev0-ctr-54dd79d4f-k77h7	Running	0	node-5
pre_steady	otelcol-sbrev0-ctr-2t66h	Running	0	node-2
pre_steady	otelcol-sbrev0-ctr-5vvgp	Running	0	node-9
pre_steady	otelcol-sbrev0-ctr-99gt9	Running	0	node-7
pre_steady	otelcol-sbrev0-ctr-9fmbb	Running	0	node-3
pre_steady	otelcol-sbrev0-ctr-9kqgw	Running	0	node-5
pre_steady	otelcol-sbrev0-ctr-lswgx	Running	0	node-6
pre_steady	otelcol-sbrev0-ctr-mgl97	Running	0	node-4
pre_steady	otelcol-sbrev0-ctr-tbdq6	Running	0	node-8
pre_steady	otelcol-sbrev0-ctr-tv7w7	Running	0	node-1
pre_steady	post-cache-sbrev0-ctr-657dbcff6b-k6jlk	Running	0	node-6
pre_steady	post-db-sbrev0-ctr-86d7fd48bc-bzqnq	Running	0	node-6
pre_steady	post-storage-service-sbrev0-ctr-6c5f4c5cdb-6x5st	Running	0	node-6
pre_steady	social-cache-sbrev0-ctr-7585c9c44f-vttpx	Running	0	node-2
pre_steady	social-db-sbrev0-ctr-75b6f4574b-5g5th	Running	0	node-2
pre_steady	socialgraph-service-sbrev0-ctr-9b484cddc-j26l2	Running	0	node-2
pre_steady	text-service-sbrev0-ctr-c94b4487d-px99v	Running	0	node-5
pre_steady	tracepressure-service-sbrev0-ctr-2vr9f	Running	0	node-9
pre_steady	tracepressure-service-sbrev0-ctr-95q44	Running	0	node-5
pre_steady	tracepressure-service-sbrev0-ctr-brh5q	Running	0	node-3
pre_steady	tracepressure-service-sbrev0-ctr-dt9j8	Running	0	node-7
pre_steady	tracepressure-service-sbrev0-ctr-fpqfq	Running	0	node-4
pre_steady	tracepressure-service-sbrev0-ctr-pzwv4	Running	0	node-6
pre_steady	tracepressure-service-sbrev0-ctr-qfhcl	Running	0	node-2
pre_steady	tracepressure-service-sbrev0-ctr-rxrr7	Running	0	node-1
pre_steady	tracepressure-service-sbrev0-ctr-ww2kh	Running	0	node-8
pre_steady	uniqueid-service-sbrev0-ctr-5d5bdfcf67-k8wqt	Running	0	node-3
pre_steady	urlshorten-db-sbrev0-ctr-5565f594f4-tnwnj	Running	0	node-7
pre_steady	urlshorten-service-sbrev0-ctr-6c4596d5cb-h5hr7	Running	0	node-7
pre_steady	user-cache-sbrev0-ctr-77667bc495-gkpwl	Running	0	node-8
