pod	metric	value
otelcol-sbrev0-ctr-2t66h	otelcol_process_runtime_total_sys_memory_bytes	283203912
otelcol-sbrev0-ctr-2t66h	otelcol_processor_accepted_spans	369503
otelcol-sbrev0-ctr-2t66h	otelcol_exporter_sent_spans	369503
otelcol-sbrev0-ctr-2t66h	otelcol_receiver_refused_spans	107521
otelcol-sbrev0-ctr-2t66h	otelcol_processor_refused_spans	107521
otelcol-sbrev0-ctr-2t66h	otelcol_process_runtime_total_alloc_bytes	616376912
otelcol-sbrev0-ctr-2t66h	otelcol_exporter_queue_size	0
otelcol-sbrev0-ctr-2t66h	otelcol_processor_incoming_items	477024
otelcol-sbrev0-ctr-2t66h	otelcol_process_runtime_heap_alloc_bytes	52785704
otelcol-sbrev0-ctr-2t66h	otelcol_receiver_accepted_spans	369503
otelcol-sbrev0-ctr-2t66h	otelcol_processor_batch_batch_send_size_sum	369503
otelcol-sbrev0-ctr-2t66h	otelcol_receiver_failed_spans	0
otelcol-sbrev0-ctr-2t66h	otelcol_exporter_queue_batch_send_size_sum	369503
otelcol-sbrev0-ctr-2t66h	otelcol_processor_batch_metadata_cardinality	1
otelcol-sbrev0-ctr-2t66h	otelcol_exporter_queue_capacity	1001
otelcol-sbrev0-ctr-2t66h	otelcol_processor_batch_timeout_trigger_send	909
otelcol-sbrev0-ctr-2t66h	otelcol_process_uptime	358
otelcol-sbrev0-ctr-2t66h	otelcol_processor_outgoing_items	369503
otelcol-sbrev0-ctr-2t66h	otelcol_processor_batch_batch_size_trigger_send	9
otelcol-sbrev0-ctr-2t66h	otelcol_process_cpu_seconds	11
otelcol-sbrev0-ctr-2t66h	otelcol_process_memory_rss	225202176
otelcol-sbrev0-ctr-2t66h	otelcol_exporter_send_failed_spans	0
otelcol-sbrev0-ctr-tv7w7	otelcol_processor_accepted_spans	1337679
otelcol-sbrev0-ctr-tv7w7	otelcol_exporter_sent_spans	1337679
otelcol-sbrev0-ctr-tv7w7	otelcol_exporter_queue_size	0
otelcol-sbrev0-ctr-tv7w7	otelcol_exporter_send_failed_spans	0
otelcol-sbrev0-ctr-tv7w7	otelcol_exporter_queue_batch_send_size_sum	1337679
otelcol-sbrev0-ctr-tv7w7	otelcol_receiver_accepted_spans	1337679
otelcol-sbrev0-ctr-tv7w7	otelcol_processor_incoming_items	1337679
otelcol-sbrev0-ctr-tv7w7	otelcol_process_memory_rss	254627840
otelcol-sbrev0-ctr-tv7w7	otelcol_exporter_queue_capacity	1001
otelcol-sbrev0-ctr-tv7w7	otelcol_process_uptime	349
