pod	metric	value
otelcol-sbrev0-ctr-4rfr9	otelcol_receiver_refused_spans	0
otelcol-sbrev0-ctr-4rfr9	otelcol_processor_batch_metadata_cardinality	1
otelcol-sbrev0-ctr-4rfr9	otelcol_processor_accepted_spans	1290775
otelcol-sbrev0-ctr-4rfr9	otelcol_exporter_queue_capacity	1001
otelcol-sbrev0-ctr-4rfr9	otelcol_exporter_queue_batch_send_size_sum	1290775
otelcol-sbrev0-ctr-4rfr9	otelcol_exporter_send_failed_spans	0
otelcol-sbrev0-ctr-4rfr9	otelcol_processor_incoming_items	1290775
otelcol-sbrev0-ctr-4rfr9	otelcol_processor_batch_batch_send_size_sum	1290775
otelcol-sbrev0-ctr-4rfr9	otelcol_process_runtime_heap_alloc_bytes	51590896
otelcol-sbrev0-ctr-4rfr9	otelcol_process_cpu_seconds	29
otelcol-sbrev0-ctr-4rfr9	otelcol_processor_batch_timeout_trigger_send	2455
otelcol-sbrev0-ctr-4rfr9	otelcol_exporter_sent_spans	1290775
otelcol-sbrev0-ctr-4rfr9	otelcol_process_runtime_total_alloc_bytes	1033780144
otelcol-sbrev0-ctr-4rfr9	otelcol_receiver_failed_spans	0
otelcol-sbrev0-ctr-4rfr9	otelcol_processor_outgoing_items	1290775
otelcol-sbrev0-ctr-4rfr9	otelcol_process_uptime	709
otelcol-sbrev0-ctr-4rfr9	otelcol_process_runtime_total_sys_memory_bytes	92547352
otelcol-sbrev0-ctr-4rfr9	otelcol_exporter_queue_size	0
otelcol-sbrev0-ctr-4rfr9	otelcol_receiver_accepted_spans	1290775
otelcol-sbrev0-ctr-4rfr9	otelcol_process_memory_rss	228671488
otelcol-sbrev0-ctr-9jktb	otelcol_process_runtime_total_sys_memory_bytes	93063448
otelcol-sbrev0-ctr-9jktb	otelcol_process_runtime_total_alloc_bytes	976654016
otelcol-sbrev0-ctr-9jktb	otelcol_receiver_refused_spans	0
otelcol-sbrev0-ctr-9jktb	otelcol_processor_batch_batch_send_size_sum	1288855
otelcol-sbrev0-ctr-9jktb	otelcol_processor_batch_metadata_cardinality	1
otelcol-sbrev0-ctr-9jktb	otelcol_process_runtime_heap_alloc_bytes	46384104
otelcol-sbrev0-ctr-9jktb	otelcol_process_cpu_seconds	30
otelcol-sbrev0-ctr-9jktb	otelcol_receiver_accepted_spans	1288855
otelcol-sbrev0-ctr-9jktb	otelcol_processor_batch_timeout_trigger_send	2450
otelcol-sbrev0-ctr-9jktb	otelcol_exporter_queue_batch_send_size_sum	1288855
otelcol-sbrev0-ctr-9jktb	otelcol_exporter_queue_capacity	1001
otelcol-sbrev0-ctr-9jktb	otelcol_processor_incoming_items	1288855
otelcol-sbrev0-ctr-9jktb	otelcol_process_uptime	709
otelcol-sbrev0-ctr-9jktb	otelcol_exporter_sent_spans	1288855
otelcol-sbrev0-ctr-9jktb	otelcol_processor_outgoing_items	1288855
otelcol-sbrev0-ctr-9jktb	otelcol_exporter_queue_size	0
otelcol-sbrev0-ctr-9jktb	otelcol_receiver_failed_spans	0
otelcol-sbrev0-ctr-9jktb	otelcol_exporter_send_failed_spans	0
otelcol-sbrev0-ctr-9jktb	otelcol_processor_accepted_spans	1288855
otelcol-sbrev0-ctr-9jktb	otelcol_process_memory_rss	226848768
otelcol-sbrev0-ctr-t7jt5	otelcol_exporter_send_failed_spans	0
otelcol-sbrev0-ctr-t7jt5	otelcol_receiver_accepted_spans	267818
otelcol-sbrev0-ctr-t7jt5	otelcol_process_runtime_heap_alloc_bytes	28984416
otelcol-sbrev0-ctr-t7jt5	otelcol_processor_outgoing_items	267818
otelcol-sbrev0-ctr-t7jt5	otelcol_process_runtime_total_sys_memory_bytes	80750872
otelcol-sbrev0-ctr-t7jt5	otelcol_exporter_queue_capacity	1001
otelcol-sbrev0-ctr-t7jt5	otelcol_process_cpu_seconds	14
otelcol-sbrev0-ctr-t7jt5	otelcol_processor_accepted_spans	267818
otelcol-sbrev0-ctr-t7jt5	otelcol_process_memory_rss	218001408
otelcol-sbrev0-ctr-t7jt5	otelcol_exporter_queue_batch_send_size_sum	267818
otelcol-sbrev0-ctr-t7jt5	otelcol_process_uptime	710
otelcol-sbrev0-ctr-t7jt5	otelcol_process_runtime_total_alloc_bytes	387895176
otelcol-sbrev0-ctr-t7jt5	otelcol_receiver_refused_spans	0
otelcol-sbrev0-ctr-t7jt5	otelcol_receiver_failed_spans	0
otelcol-sbrev0-ctr-t7jt5	otelcol_processor_incoming_items	267818
otelcol-sbrev0-ctr-t7jt5	otelcol_exporter_sent_spans	267818
