pod	metric	value
otelcol-sbrev0-ctr-4rfr9	otelcol_receiver_refused_spans	0
otelcol-sbrev0-ctr-4rfr9	otelcol_processor_batch_metadata_cardinality	1
otelcol-sbrev0-ctr-4rfr9	otelcol_processor_accepted_spans	169185
otelcol-sbrev0-ctr-4rfr9	otelcol_exporter_queue_capacity	1001
otelcol-sbrev0-ctr-4rfr9	otelcol_exporter_queue_batch_send_size_sum	169185
otelcol-sbrev0-ctr-4rfr9	otelcol_exporter_send_failed_spans	0
otelcol-sbrev0-ctr-4rfr9	otelcol_processor_incoming_items	169185
otelcol-sbrev0-ctr-4rfr9	otelcol_processor_batch_batch_send_size_sum	169185
otelcol-sbrev0-ctr-4rfr9	otelcol_process_runtime_heap_alloc_bytes	40723176
otelcol-sbrev0-ctr-4rfr9	otelcol_process_cpu_seconds	8
otelcol-sbrev0-ctr-4rfr9	otelcol_processor_batch_timeout_trigger_send	960
otelcol-sbrev0-ctr-4rfr9	otelcol_exporter_sent_spans	169185
otelcol-sbrev0-ctr-4rfr9	otelcol_process_runtime_total_alloc_bytes	220666528
otelcol-sbrev0-ctr-4rfr9	otelcol_receiver_failed_spans	0
otelcol-sbrev0-ctr-4rfr9	otelcol_processor_outgoing_items	169185
otelcol-sbrev0-ctr-4rfr9	otelcol_process_uptime	402
otelcol-sbrev0-ctr-4rfr9	otelcol_process_runtime_total_sys_memory_bytes	88328472
otelcol-sbrev0-ctr-4rfr9	otelcol_exporter_queue_size	0
otelcol-sbrev0-ctr-4rfr9	otelcol_receiver_accepted_spans	169185
otelcol-sbrev0-ctr-4rfr9	otelcol_process_memory_rss	221507584
otelcol-sbrev0-ctr-9jktb	otelcol_process_runtime_total_sys_memory_bytes	88246552
otelcol-sbrev0-ctr-9jktb	otelcol_process_runtime_total_alloc_bytes	216510584
otelcol-sbrev0-ctr-9jktb	otelcol_receiver_refused_spans	0
otelcol-sbrev0-ctr-9jktb	otelcol_processor_batch_batch_send_size_sum	167262
otelcol-sbrev0-ctr-9jktb	otelcol_processor_batch_metadata_cardinality	1
otelcol-sbrev0-ctr-9jktb	otelcol_process_runtime_heap_alloc_bytes	42944424
otelcol-sbrev0-ctr-9jktb	otelcol_process_cpu_seconds	8
otelcol-sbrev0-ctr-9jktb	otelcol_receiver_accepted_spans	167262
otelcol-sbrev0-ctr-9jktb	otelcol_processor_batch_timeout_trigger_send	955
otelcol-sbrev0-ctr-9jktb	otelcol_exporter_queue_batch_send_size_sum	167262
otelcol-sbrev0-ctr-9jktb	otelcol_exporter_queue_capacity	1001
otelcol-sbrev0-ctr-9jktb	otelcol_processor_incoming_items	167262
otelcol-sbrev0-ctr-9jktb	otelcol_process_uptime	402
otelcol-sbrev0-ctr-9jktb	otelcol_exporter_sent_spans	167262
otelcol-sbrev0-ctr-9jktb	otelcol_processor_outgoing_items	167262
otelcol-sbrev0-ctr-9jktb	otelcol_exporter_queue_size	0
otelcol-sbrev0-ctr-9jktb	otelcol_receiver_failed_spans	0
otelcol-sbrev0-ctr-9jktb	otelcol_exporter_send_failed_spans	0
otelcol-sbrev0-ctr-9jktb	otelcol_processor_accepted_spans	167262
otelcol-sbrev0-ctr-9jktb	otelcol_process_memory_rss	217964544
otelcol-sbrev0-ctr-t7jt5	otelcol_exporter_send_failed_spans	0
otelcol-sbrev0-ctr-t7jt5	otelcol_receiver_accepted_spans	36891
otelcol-sbrev0-ctr-t7jt5	otelcol_process_runtime_heap_alloc_bytes	40218248
otelcol-sbrev0-ctr-t7jt5	otelcol_processor_outgoing_items	36891
otelcol-sbrev0-ctr-t7jt5	otelcol_process_runtime_total_sys_memory_bytes	76106008
otelcol-sbrev0-ctr-t7jt5	otelcol_exporter_queue_capacity	1001
otelcol-sbrev0-ctr-t7jt5	otelcol_process_cpu_seconds	5
otelcol-sbrev0-ctr-t7jt5	otelcol_processor_accepted_spans	36891
otelcol-sbrev0-ctr-t7jt5	otelcol_process_memory_rss	206753792
otelcol-sbrev0-ctr-t7jt5	otelcol_exporter_queue_batch_send_size_sum	36891
otelcol-sbrev0-ctr-t7jt5	otelcol_process_uptime	403
otelcol-sbrev0-ctr-t7jt5	otelcol_process_runtime_total_alloc_bytes	129928824
otelcol-sbrev0-ctr-t7jt5	otelcol_receiver_refused_spans	0
otelcol-sbrev0-ctr-t7jt5	otelcol_receiver_failed_spans	0
otelcol-sbrev0-ctr-t7jt5	otelcol_processor_incoming_items	36891
otelcol-sbrev0-ctr-t7jt5	otelcol_exporter_sent_spans	36891
otelcol-sbrev0-ctr-t7jt5	otelcol_processor_batch_metadata_cardinality	1
