phase	pod	status	restarts	node
pre_steady	composepost-service-sbrev0-ctr-5898fb7c9c-ltq5c	Running	0	node-1
pre_steady	hometimeline-cache-sbrev0-ctr-d87f89457-ngjz5	Running	0	node-1
pre_steady	hometimeline-service-sbrev0-ctr-cfd5f6d88-k5bwv	Running	0	node-1
pre_steady	jaeger-sbrev0-ctr-7c649d7756-mn9lb	Running	0	node-9
pre_steady	media-service-sbrev0-ctr-54dd79d4f-46ch2	Running	0	node-5
pre_steady	otelcol-sbrev0-ctr-4rfr9	Running	0	node-8
pre_steady	otelcol-sbrev0-ctr-9jktb	Running	0	node-6
pre_steady	otelcol-sbrev0-ctr-pmntx	Running	0	node-3
pre_steady	otelcol-sbrev0-ctr-qhcdv	Running	0	node-2
pre_steady	otelcol-sbrev0-ctr-rctnf	Running	0	node-7
pre_steady	otelcol-sbrev0-ctr-t6pmf	Running	0	node-4
pre_steady	otelcol-sbrev0-ctr-t7jt5	Running	0	node-9
pre_steady	otelcol-sbrev0-ctr-vmjll	Running	0	node-5
pre_steady	otelcol-sbrev0-ctr-wmmmw	Running	0	node-1
pre_steady	post-cache-sbrev0-ctr-657dbcff6b-lvk8v	Running	0	node-6
pre_steady	post-db-sbrev0-ctr-86d7fd48bc-mw26j	Running	0	node-6
pre_steady	post-storage-service-sbrev0-ctr-6c5f4c5cdb-nx74p	Running	0	node-6
pre_steady	social-cache-sbrev0-ctr-7585c9c44f-8r4fz	Running	0	node-2
pre_steady	social-db-sbrev0-ctr-75b6f4574b-r5grv	Running	0	node-2
pre_steady	socialgraph-service-sbrev0-ctr-9b484cddc-92qmj	Running	0	node-2
pre_steady	text-service-sbrev0-ctr-c94b4487d-6h4vr	Running	0	node-5
pre_steady	tracepressure-service-sbrev0-ctr-2s22t	Running	0	node-3
pre_steady	tracepressure-service-sbrev0-ctr-9g6dc	Running	0	node-2
pre_steady	tracepressure-service-sbrev0-ctr-bwpsn	Running	0	node-4
