pod	metric	value
otelcol-sbrev0-ctr-t8jhf	otelcol_processor_batch_batch_send_size_sum	1279905
otelcol-sbrev0-ctr-t8jhf	otelcol_process_cpu_seconds	33
otelcol-sbrev0-ctr-t8jhf	otelcol_exporter_queue_capacity	1001
otelcol-sbrev0-ctr-t8jhf	otelcol_exporter_queue_batch_send_size_sum	1279905
otelcol-sbrev0-ctr-t8jhf	otelcol_processor_incoming_items	1279905
otelcol-sbrev0-ctr-t8jhf	otelcol_process_runtime_total_sys_memory_bytes	97265944
otelcol-sbrev0-ctr-t8jhf	otelcol_exporter_sent_spans	1279905
otelcol-sbrev0-ctr-t8jhf	otelcol_process_uptime	2885
otelcol-sbrev0-ctr-t8jhf	otelcol_receiver_failed_spans	0
otelcol-sbrev0-ctr-t8jhf	otelcol_process_memory_rss	231784448
otelcol-sbrev0-ctr-t8jhf	otelcol_exporter_send_failed_spans	0
otelcol-sbrev0-ctr-t8jhf	otelcol_exporter_queue_size	0
otelcol-sbrev0-ctr-t8jhf	otelcol_processor_outgoing_items	1279905
otelcol-sbrev0-ctr-t8jhf	otelcol_process_runtime_heap_alloc_bytes	41491152
otelcol-sbrev0-ctr-t8jhf	otelcol_processor_batch_metadata_cardinality	1
otelcol-sbrev0-ctr-t8jhf	otelcol_processor_batch_timeout_trigger_send	2294
otelcol-sbrev0-ctr-t8jhf	otelcol_processor_accepted_spans	1279905
otelcol-sbrev0-ctr-t8jhf	otelcol_receiver_refused_spans	0
otelcol-sbrev0-ctr-t8jhf	otelcol_receiver_accepted_spans	1279905
otelcol-sbrev0-ctr-t8jhf	otelcol_process_runtime_total_alloc_bytes	1012116232
otelcol-sbrev0-ctr-k8bkc	otelcol_receiver_refused_spans	0
otelcol-sbrev0-ctr-k8bkc	otelcol_process_runtime_heap_alloc_bytes	49906856
otelcol-sbrev0-ctr-k8bkc	otelcol_exporter_send_failed_spans	0
otelcol-sbrev0-ctr-k8bkc	otelcol_processor_outgoing_items	1281906
otelcol-sbrev0-ctr-k8bkc	otelcol_process_runtime_total_sys_memory_bytes	101529896
otelcol-sbrev0-ctr-k8bkc	otelcol_processor_accepted_spans	1281906
otelcol-sbrev0-ctr-k8bkc	otelcol_process_cpu_seconds	32
otelcol-sbrev0-ctr-k8bkc	otelcol_receiver_failed_spans	0
otelcol-sbrev0-ctr-k8bkc	otelcol_processor_batch_metadata_cardinality	1
otelcol-sbrev0-ctr-k8bkc	otelcol_process_uptime	2877
otelcol-sbrev0-ctr-k8bkc	otelcol_processor_batch_timeout_trigger_send	2293
otelcol-sbrev0-ctr-k8bkc	otelcol_receiver_accepted_spans	1281906
otelcol-sbrev0-ctr-k8bkc	otelcol_processor_batch_batch_send_size_sum	1281906
otelcol-sbrev0-ctr-k8bkc	otelcol_process_memory_rss	227540992
otelcol-sbrev0-ctr-k8bkc	otelcol_exporter_sent_spans	1281906
otelcol-sbrev0-ctr-k8bkc	otelcol_exporter_queue_capacity	1001
otelcol-sbrev0-ctr-k8bkc	otelcol_exporter_queue_batch_send_size_sum	1281906
otelcol-sbrev0-ctr-k8bkc	otelcol_exporter_queue_size	0
otelcol-sbrev0-ctr-k8bkc	otelcol_process_runtime_total_alloc_bytes	1076650736
otelcol-sbrev0-ctr-k8bkc	otelcol_processor_incoming_items	1281906
otelcol-sbrev0-ctr-lk7m8	otelcol_processor_accepted_spans	1281094
otelcol-sbrev0-ctr-lk7m8	otelcol_exporter_queue_size	0
otelcol-sbrev0-ctr-lk7m8	otelcol_process_runtime_total_alloc_bytes	1030520136
otelcol-sbrev0-ctr-lk7m8	otelcol_process_memory_rss	225681408
otelcol-sbrev0-ctr-lk7m8	otelcol_receiver_failed_spans	0
otelcol-sbrev0-ctr-lk7m8	otelcol_receiver_accepted_spans	1281094
otelcol-sbrev0-ctr-lk7m8	otelcol_process_runtime_heap_alloc_bytes	42025408
otelcol-sbrev0-ctr-lk7m8	otelcol_exporter_queue_batch_send_size_sum	1281094
otelcol-sbrev0-ctr-lk7m8	otelcol_processor_batch_batch_send_size_sum	1281094
otelcol-sbrev0-ctr-lk7m8	otelcol_exporter_queue_capacity	1001
otelcol-sbrev0-ctr-lk7m8	otelcol_receiver_refused_spans	0
otelcol-sbrev0-ctr-lk7m8	otelcol_process_uptime	2868
otelcol-sbrev0-ctr-lk7m8	otelcol_process_cpu_seconds	33
otelcol-sbrev0-ctr-lk7m8	otelcol_processor_incoming_items	1281094
otelcol-sbrev0-ctr-lk7m8	otelcol_process_runtime_total_sys_memory_bytes	92801304
otelcol-sbrev0-ctr-lk7m8	otelcol_exporter_sent_spans	1281094
otelcol-sbrev0-ctr-lk7m8	otelcol_processor_batch_metadata_cardinality	1
otelcol-sbrev0-ctr-lk7m8	otelcol_exporter_send_failed_spans	0
otelcol-sbrev0-ctr-lk7m8	otelcol_processor_outgoing_items	1281094
otelcol-sbrev0-ctr-lk7m8	otelcol_processor_batch_timeout_trigger_send	2294
otelcol-sbrev0-ctr-hhg6t	otelcol_processor_outgoing_items	4341720
otelcol-sbrev0-ctr-hhg6t	otelcol_process_cpu_seconds	59
otelcol-sbrev0-ctr-hhg6t	otelcol_receiver_accepted_spans	4341720
otelcol-sbrev0-ctr-hhg6t	otelcol_process_runtime_total_sys_memory_bytes	115108120
otelcol-sbrev0-ctr-hhg6t	otelcol_process_runtime_heap_alloc_bytes	38394432
otelcol-sbrev0-ctr-hhg6t	otelcol_exporter_sent_spans	4341720
otelcol-sbrev0-ctr-hhg6t	otelcol_processor_accepted_spans	4341720
otelcol-sbrev0-ctr-hhg6t	otelcol_process_memory_rss	235876352
otelcol-sbrev0-ctr-hhg6t	otelcol_exporter_queue_capacity	1001
otelcol-sbrev0-ctr-hhg6t	otelcol_receiver_failed_spans	0
otelcol-sbrev0-ctr-hhg6t	otelcol_exporter_queue_batch_send_size_sum	4341720
otelcol-sbrev0-ctr-hhg6t	otelcol_exporter_send_failed_spans	0
otelcol-sbrev0-ctr-hhg6t	otelcol_exporter_queue_size	0
otelcol-sbrev0-ctr-hhg6t	otelcol_processor_batch_metadata_cardinality	1
otelcol-sbrev0-ctr-hhg6t	otelcol_process_runtime_total_alloc_bytes	2537500360
otelcol-sbrev0-ctr-hhg6t	otelcol_processor_batch_timeout_trigger_send	2292
otelcol-sbrev0-ctr-hhg6t	otelcol_receiver_refused_spans	0
otelcol-sbrev0-ctr-hhg6t	otelcol_process_uptime	2871
