pod	metric	value
otelcol-sbrev0-ctr-t8jhf	otelcol_processor_batch_batch_send_size_sum	158397
otelcol-sbrev0-ctr-t8jhf	otelcol_process_cpu_seconds	11
otelcol-sbrev0-ctr-t8jhf	otelcol_exporter_queue_capacity	1001
otelcol-sbrev0-ctr-t8jhf	otelcol_exporter_queue_batch_send_size_sum	158397
otelcol-sbrev0-ctr-t8jhf	otelcol_processor_incoming_items	158397
otelcol-sbrev0-ctr-t8jhf	otelcol_process_runtime_total_sys_memory_bytes	88582424
otelcol-sbrev0-ctr-t8jhf	otelcol_exporter_sent_spans	158397
otelcol-sbrev0-ctr-t8jhf	otelcol_process_uptime	2579
otelcol-sbrev0-ctr-t8jhf	otelcol_receiver_failed_spans	0
otelcol-sbrev0-ctr-t8jhf	otelcol_process_memory_rss	226435072
otelcol-sbrev0-ctr-t8jhf	otelcol_exporter_send_failed_spans	0
otelcol-sbrev0-ctr-t8jhf	otelcol_exporter_queue_size	0
otelcol-sbrev0-ctr-t8jhf	otelcol_processor_outgoing_items	158397
otelcol-sbrev0-ctr-t8jhf	otelcol_process_runtime_heap_alloc_bytes	32176688
otelcol-sbrev0-ctr-t8jhf	otelcol_processor_batch_metadata_cardinality	1
otelcol-sbrev0-ctr-t8jhf	otelcol_processor_batch_timeout_trigger_send	798
otelcol-sbrev0-ctr-t8jhf	otelcol_processor_accepted_spans	158397
otelcol-sbrev0-ctr-t8jhf	otelcol_receiver_refused_spans	0
otelcol-sbrev0-ctr-t8jhf	otelcol_receiver_accepted_spans	158397
otelcol-sbrev0-ctr-t8jhf	otelcol_process_runtime_total_alloc_bytes	233106416
otelcol-sbrev0-ctr-k8bkc	otelcol_receiver_refused_spans	0
otelcol-sbrev0-ctr-k8bkc	otelcol_process_runtime_heap_alloc_bytes	48536592
otelcol-sbrev0-ctr-k8bkc	otelcol_exporter_send_failed_spans	0
otelcol-sbrev0-ctr-k8bkc	otelcol_processor_outgoing_items	160397
otelcol-sbrev0-ctr-k8bkc	otelcol_process_runtime_total_sys_memory_bytes	88598808
otelcol-sbrev0-ctr-k8bkc	otelcol_processor_accepted_spans	160397
otelcol-sbrev0-ctr-k8bkc	otelcol_process_cpu_seconds	11
otelcol-sbrev0-ctr-k8bkc	otelcol_receiver_failed_spans	0
otelcol-sbrev0-ctr-k8bkc	otelcol_processor_batch_metadata_cardinality	1
otelcol-sbrev0-ctr-k8bkc	otelcol_process_uptime	2570
otelcol-sbrev0-ctr-k8bkc	otelcol_processor_batch_timeout_trigger_send	798
otelcol-sbrev0-ctr-k8bkc	otelcol_receiver_accepted_spans	160397
otelcol-sbrev0-ctr-k8bkc	otelcol_processor_batch_batch_send_size_sum	160397
otelcol-sbrev0-ctr-k8bkc	otelcol_process_memory_rss	223383552
otelcol-sbrev0-ctr-k8bkc	otelcol_exporter_sent_spans	160397
otelcol-sbrev0-ctr-k8bkc	otelcol_exporter_queue_capacity	1001
otelcol-sbrev0-ctr-k8bkc	otelcol_exporter_queue_batch_send_size_sum	160397
otelcol-sbrev0-ctr-k8bkc	otelcol_exporter_queue_size	0
otelcol-sbrev0-ctr-k8bkc	otelcol_process_runtime_total_alloc_bytes	247854520
otelcol-sbrev0-ctr-k8bkc	otelcol_processor_incoming_items	160397
otelcol-sbrev0-ctr-lk7m8	otelcol_processor_accepted_spans	159597
otelcol-sbrev0-ctr-lk7m8	otelcol_exporter_queue_size	0
otelcol-sbrev0-ctr-lk7m8	otelcol_process_runtime_total_alloc_bytes	259072656
otelcol-sbrev0-ctr-lk7m8	otelcol_process_memory_rss	225767424
otelcol-sbrev0-ctr-lk7m8	otelcol_receiver_failed_spans	0
