service	pod	key	value
wrk2api	wrk2api-service-sbrev0-ctr-44rpn	spans_received	279497
wrk2api	wrk2api-service-sbrev0-ctr-44rpn	spans_flushed	279497
wrk2api	wrk2api-service-sbrev0-ctr-44rpn	spans_sent	119148
wrk2api	wrk2api-service-sbrev0-ctr-44rpn	batches_sent	10805
wrk2api	wrk2api-service-sbrev0-ctr-44rpn	spans_dropped	160349
wrk2api	wrk2api-service-sbrev0-ctr-44rpn	batches_dropped	4867
wrk2api	wrk2api-service-sbrev0-ctr-44rpn	cp_received	139748
wrk2api	wrk2api-service-sbrev0-ctr-44rpn	lp_received	139749
wrk2api	wrk2api-service-sbrev0-ctr-44rpn	cp_sent	59583
wrk2api	wrk2api-service-sbrev0-ctr-44rpn	lp_sent	59565
wrk2api	wrk2api-service-sbrev0-ctr-44rpn	cp_dropped	80165
wrk2api	wrk2api-service-sbrev0-ctr-44rpn	lp_dropped	80184
wrk2api	wrk2api-service-sbrev0-ctr-44rpn	send_deadline	25
wrk2api	wrk2api-service-sbrev0-ctr-44rpn	send_unavailable	4842
wrk2api	wrk2api-service-sbrev0-ctr-44rpn	send_exhausted	0
wrk2api	wrk2api-service-sbrev0-ctr-44rpn	send_canceled	0
wrk2api	wrk2api-service-sbrev0-ctr-44rpn	send_other	0
wrk2api	wrk2api-service-sbrev0-ctr-44rpn	hp_buffer_depth	0
wrk2api	wrk2api-service-sbrev0-ctr-44rpn	lp_buffer_depth	0
composepost	composepost-service-sbrev0-ctr-5898fb7c9c-r7mgv	spans_received	9765543
composepost	composepost-service-sbrev0-ctr-5898fb7c9c-r7mgv	spans_flushed	9765543
composepost	composepost-service-sbrev0-ctr-5898fb7c9c-r7mgv	spans_sent	4120944
composepost	composepost-service-sbrev0-ctr-5898fb7c9c-r7mgv	batches_sent	41788
composepost	composepost-service-sbrev0-ctr-5898fb7c9c-r7mgv	spans_dropped	5644599
composepost	composepost-service-sbrev0-ctr-5898fb7c9c-r7mgv	batches_dropped	19019
composepost	composepost-service-sbrev0-ctr-5898fb7c9c-r7mgv	cp_received	8544849
composepost	composepost-service-sbrev0-ctr-5898fb7c9c-r7mgv	lp_received	1220694
composepost	composepost-service-sbrev0-ctr-5898fb7c9c-r7mgv	cp_sent	3602370
composepost	composepost-service-sbrev0-ctr-5898fb7c9c-r7mgv	lp_sent	518574
composepost	composepost-service-sbrev0-ctr-5898fb7c9c-r7mgv	cp_dropped	4942479
composepost	composepost-service-sbrev0-ctr-5898fb7c9c-r7mgv	lp_dropped	702120
composepost	composepost-service-sbrev0-ctr-5898fb7c9c-r7mgv	send_deadline	254
composepost	composepost-service-sbrev0-ctr-5898fb7c9c-r7mgv	send_unavailable	18765
composepost	composepost-service-sbrev0-ctr-5898fb7c9c-r7mgv	send_exhausted	0
composepost	composepost-service-sbrev0-ctr-5898fb7c9c-r7mgv	send_canceled	0
composepost	composepost-service-sbrev0-ctr-5898fb7c9c-r7mgv	send_other	0
composepost	composepost-service-sbrev0-ctr-5898fb7c9c-r7mgv	hp_buffer_depth	0
composepost	composepost-service-sbrev0-ctr-5898fb7c9c-r7mgv	lp_buffer_depth	0
hometimeline	hometimeline-service-sbrev0-ctr-cfd5f6d88-htgrx	spans_received	2441370
hometimeline	hometimeline-service-sbrev0-ctr-cfd5f6d88-htgrx	spans_flushed	2441370
hometimeline	hometimeline-service-sbrev0-ctr-cfd5f6d88-htgrx	spans_sent	1015230
hometimeline	hometimeline-service-sbrev0-ctr-cfd5f6d88-htgrx	batches_sent	10397
hometimeline	hometimeline-service-sbrev0-ctr-cfd5f6d88-htgrx	spans_dropped	1426140
hometimeline	hometimeline-service-sbrev0-ctr-cfd5f6d88-htgrx	batches_dropped	4805
hometimeline	hometimeline-service-sbrev0-ctr-cfd5f6d88-htgrx	cp_received	0
hometimeline	hometimeline-service-sbrev0-ctr-cfd5f6d88-htgrx	lp_received	2441370
hometimeline	hometimeline-service-sbrev0-ctr-cfd5f6d88-htgrx	cp_sent	0
hometimeline	hometimeline-service-sbrev0-ctr-cfd5f6d88-htgrx	lp_sent	1015230
hometimeline	hometimeline-service-sbrev0-ctr-cfd5f6d88-htgrx	cp_dropped	0
hometimeline	hometimeline-service-sbrev0-ctr-cfd5f6d88-htgrx	lp_dropped	1426140
hometimeline	hometimeline-service-sbrev0-ctr-cfd5f6d88-htgrx	send_deadline	42
hometimeline	hometimeline-service-sbrev0-ctr-cfd5f6d88-htgrx	send_unavailable	4763
hometimeline	hometimeline-service-sbrev0-ctr-cfd5f6d88-htgrx	send_exhausted	0
hometimeline	hometimeline-service-sbrev0-ctr-cfd5f6d88-htgrx	send_canceled	0
hometimeline	hometimeline-service-sbrev0-ctr-cfd5f6d88-htgrx	send_other	0
hometimeline	hometimeline-service-sbrev0-ctr-cfd5f6d88-htgrx	hp_buffer_depth	0
hometimeline	hometimeline-service-sbrev0-ctr-cfd5f6d88-htgrx	lp_buffer_depth	0
media	media-service-sbrev0-ctr-54dd79d4f-bvdxx	spans_received	1220694
media	media-service-sbrev0-ctr-54dd79d4f-bvdxx	spans_flushed	1220694
media	media-service-sbrev0-ctr-54dd79d4f-bvdxx	spans_sent	543232
media	media-service-sbrev0-ctr-54dd79d4f-bvdxx	batches_sent	5317
media	media-service-sbrev0-ctr-54dd79d4f-bvdxx	spans_dropped	677462
media	media-service-sbrev0-ctr-54dd79d4f-bvdxx	batches_dropped	2283
media	media-service-sbrev0-ctr-54dd79d4f-bvdxx	cp_received	1220694
media	media-service-sbrev0-ctr-54dd79d4f-bvdxx	lp_received	0
media	media-service-sbrev0-ctr-54dd79d4f-bvdxx	cp_sent	543232
media	media-service-sbrev0-ctr-54dd79d4f-bvdxx	lp_sent	0
media	media-service-sbrev0-ctr-54dd79d4f-bvdxx	cp_dropped	677462
media	media-service-sbrev0-ctr-54dd79d4f-bvdxx	lp_dropped	0
media	media-service-sbrev0-ctr-54dd79d4f-bvdxx	send_deadline	4
media	media-service-sbrev0-ctr-54dd79d4f-bvdxx	send_unavailable	2279
media	media-service-sbrev0-ctr-54dd79d4f-bvdxx	send_exhausted	0
media	media-service-sbrev0-ctr-54dd79d4f-bvdxx	send_canceled	0
media	media-service-sbrev0-ctr-54dd79d4f-bvdxx	send_other	0
media	media-service-sbrev0-ctr-54dd79d4f-bvdxx	hp_buffer_depth	0
media	media-service-sbrev0-ctr-54dd79d4f-bvdxx	lp_buffer_depth	0
post-storage	post-storage-service-sbrev0-ctr-6c5f4c5cdb-zg8kf	spans_received	1220685
post-storage	post-storage-service-sbrev0-ctr-6c5f4c5cdb-zg8kf	spans_flushed	1220685
post-storage	post-storage-service-sbrev0-ctr-6c5f4c5cdb-zg8kf	spans_sent	535175
post-storage	post-storage-service-sbrev0-ctr-6c5f4c5cdb-zg8kf	batches_sent	5289
post-storage	post-storage-service-sbrev0-ctr-6c5f4c5cdb-zg8kf	spans_dropped	685510
post-storage	post-storage-service-sbrev0-ctr-6c5f4c5cdb-zg8kf	batches_dropped	2311
post-storage	post-storage-service-sbrev0-ctr-6c5f4c5cdb-zg8kf	cp_received	1220685
post-storage	post-storage-service-sbrev0-ctr-6c5f4c5cdb-zg8kf	lp_received	0
post-storage	post-storage-service-sbrev0-ctr-6c5f4c5cdb-zg8kf	cp_sent	535175
post-storage	post-storage-service-sbrev0-ctr-6c5f4c5cdb-zg8kf	lp_sent	0
post-storage	post-storage-service-sbrev0-ctr-6c5f4c5cdb-zg8kf	cp_dropped	685510
post-storage	post-storage-service-sbrev0-ctr-6c5f4c5cdb-zg8kf	lp_dropped	0
post-storage	post-storage-service-sbrev0-ctr-6c5f4c5cdb-zg8kf	send_deadline	20
post-storage	post-storage-service-sbrev0-ctr-6c5f4c5cdb-zg8kf	send_unavailable	2291
post-storage	post-storage-service-sbrev0-ctr-6c5f4c5cdb-zg8kf	send_exhausted	0
post-storage	post-storage-service-sbrev0-ctr-6c5f4c5cdb-zg8kf	send_canceled	0
post-storage	post-storage-service-sbrev0-ctr-6c5f4c5cdb-zg8kf	send_other	0
post-storage	post-storage-service-sbrev0-ctr-6c5f4c5cdb-zg8kf	hp_buffer_depth	0
post-storage	post-storage-service-sbrev0-ctr-6c5f4c5cdb-zg8kf	lp_buffer_depth	0
socialgraph	socialgraph-service-sbrev0-ctr-9b484cddc-c78dr	spans_received	1334519
socialgraph	socialgraph-service-sbrev0-ctr-9b484cddc-c78dr	spans_flushed	1334519
socialgraph	socialgraph-service-sbrev0-ctr-9b484cddc-c78dr	spans_sent	693598
socialgraph	socialgraph-service-sbrev0-ctr-9b484cddc-c78dr	batches_sent	5944
socialgraph	socialgraph-service-sbrev0-ctr-9b484cddc-c78dr	spans_dropped	640921
socialgraph	socialgraph-service-sbrev0-ctr-9b484cddc-c78dr	batches_dropped	2160
socialgraph	socialgraph-service-sbrev0-ctr-9b484cddc-c78dr	cp_received	1296895
socialgraph	socialgraph-service-sbrev0-ctr-9b484cddc-c78dr	lp_received	37624
socialgraph	socialgraph-service-sbrev0-ctr-9b484cddc-c78dr	cp_sent	655974
socialgraph	socialgraph-service-sbrev0-ctr-9b484cddc-c78dr	lp_sent	37624
socialgraph	socialgraph-service-sbrev0-ctr-9b484cddc-c78dr	cp_dropped	640921
socialgraph	socialgraph-service-sbrev0-ctr-9b484cddc-c78dr	lp_dropped	0
socialgraph	socialgraph-service-sbrev0-ctr-9b484cddc-c78dr	send_deadline	0
socialgraph	socialgraph-service-sbrev0-ctr-9b484cddc-c78dr	send_unavailable	2160
socialgraph	socialgraph-service-sbrev0-ctr-9b484cddc-c78dr	send_exhausted	0
socialgraph	socialgraph-service-sbrev0-ctr-9b484cddc-c78dr	send_canceled	0
socialgraph	socialgraph-service-sbrev0-ctr-9b484cddc-c78dr	send_other	0
socialgraph	socialgraph-service-sbrev0-ctr-9b484cddc-c78dr	hp_buffer_depth	0
socialgraph	socialgraph-service-sbrev0-ctr-9b484cddc-c78dr	lp_buffer_depth	0
text	text-service-sbrev0-ctr-c94b4487d-8j4br	spans_received	3662100
text	text-service-sbrev0-ctr-c94b4487d-8j4br	spans_flushed	3662100
text	text-service-sbrev0-ctr-c94b4487d-8j4br	spans_sent	1703964
text	text-service-sbrev0-ctr-c94b4487d-8j4br	batches_sent	16197
text	text-service-sbrev0-ctr-c94b4487d-8j4br	spans_dropped	1958136
text	text-service-sbrev0-ctr-c94b4487d-8j4br	batches_dropped	6603
text	text-service-sbrev0-ctr-c94b4487d-8j4br	cp_received	0
text	text-service-sbrev0-ctr-c94b4487d-8j4br	lp_received	3662100
text	text-service-sbrev0-ctr-c94b4487d-8j4br	cp_sent	0
text	text-service-sbrev0-ctr-c94b4487d-8j4br	lp_sent	1703964
text	text-service-sbrev0-ctr-c94b4487d-8j4br	cp_dropped	0
text	text-service-sbrev0-ctr-c94b4487d-8j4br	lp_dropped	1958136
text	text-service-sbrev0-ctr-c94b4487d-8j4br	send_deadline	44
text	text-service-sbrev0-ctr-c94b4487d-8j4br	send_unavailable	6559
text	text-service-sbrev0-ctr-c94b4487d-8j4br	send_exhausted	0
text	text-service-sbrev0-ctr-c94b4487d-8j4br	send_canceled	0
text	text-service-sbrev0-ctr-c94b4487d-8j4br	send_other	0
text	text-service-sbrev0-ctr-c94b4487d-8j4br	hp_buffer_depth	0
text	text-service-sbrev0-ctr-c94b4487d-8j4br	lp_buffer_depth	0
uniqueid	uniqueid-service-sbrev0-ctr-5d5bdfcf67-7xhfc	spans_received	1220694
uniqueid	uniqueid-service-sbrev0-ctr-5d5bdfcf67-7xhfc	spans_flushed	1220694
uniqueid	uniqueid-service-sbrev0-ctr-5d5bdfcf67-7xhfc	spans_sent	497680
uniqueid	uniqueid-service-sbrev0-ctr-5d5bdfcf67-7xhfc	batches_sent	5163
uniqueid	uniqueid-service-sbrev0-ctr-5d5bdfcf67-7xhfc	spans_dropped	723014
uniqueid	uniqueid-service-sbrev0-ctr-5d5bdfcf67-7xhfc	batches_dropped	2437
uniqueid	uniqueid-service-sbrev0-ctr-5d5bdfcf67-7xhfc	cp_received	1220694
uniqueid	uniqueid-service-sbrev0-ctr-5d5bdfcf67-7xhfc	lp_received	0
uniqueid	uniqueid-service-sbrev0-ctr-5d5bdfcf67-7xhfc	cp_sent	497680
uniqueid	uniqueid-service-sbrev0-ctr-5d5bdfcf67-7xhfc	lp_sent	0
uniqueid	uniqueid-service-sbrev0-ctr-5d5bdfcf67-7xhfc	cp_dropped	723014
uniqueid	uniqueid-service-sbrev0-ctr-5d5bdfcf67-7xhfc	lp_dropped	0
uniqueid	uniqueid-service-sbrev0-ctr-5d5bdfcf67-7xhfc	send_deadline	9
uniqueid	uniqueid-service-sbrev0-ctr-5d5bdfcf67-7xhfc	send_unavailable	2428
uniqueid	uniqueid-service-sbrev0-ctr-5d5bdfcf67-7xhfc	send_exhausted	0
uniqueid	uniqueid-service-sbrev0-ctr-5d5bdfcf67-7xhfc	send_canceled	0
uniqueid	uniqueid-service-sbrev0-ctr-5d5bdfcf67-7xhfc	send_other	0
uniqueid	uniqueid-service-sbrev0-ctr-5d5bdfcf67-7xhfc	hp_buffer_depth	0
uniqueid	uniqueid-service-sbrev0-ctr-5d5bdfcf67-7xhfc	lp_buffer_depth	0
urlshorten	urlshorten-service-sbrev0-ctr-6c4596d5cb-8pbbm	spans_received	1220694
urlshorten	urlshorten-service-sbrev0-ctr-6c4596d5cb-8pbbm	spans_flushed	1220694
urlshorten	urlshorten-service-sbrev0-ctr-6c4596d5cb-8pbbm	spans_sent	486692
urlshorten	urlshorten-service-sbrev0-ctr-6c4596d5cb-8pbbm	batches_sent	5125
urlshorten	urlshorten-service-sbrev0-ctr-6c4596d5cb-8pbbm	spans_dropped	734002
urlshorten	urlshorten-service-sbrev0-ctr-6c4596d5cb-8pbbm	batches_dropped	2476
urlshorten	urlshorten-service-sbrev0-ctr-6c4596d5cb-8pbbm	cp_received	1220694
urlshorten	urlshorten-service-sbrev0-ctr-6c4596d5cb-8pbbm	lp_received	0
urlshorten	urlshorten-service-sbrev0-ctr-6c4596d5cb-8pbbm	cp_sent	486692
urlshorten	urlshorten-service-sbrev0-ctr-6c4596d5cb-8pbbm	lp_sent	0
urlshorten	urlshorten-service-sbrev0-ctr-6c4596d5cb-8pbbm	cp_dropped	734002
urlshorten	urlshorten-service-sbrev0-ctr-6c4596d5cb-8pbbm	lp_dropped	0
urlshorten	urlshorten-service-sbrev0-ctr-6c4596d5cb-8pbbm	send_deadline	3
urlshorten	urlshorten-service-sbrev0-ctr-6c4596d5cb-8pbbm	send_unavailable	2473
urlshorten	urlshorten-service-sbrev0-ctr-6c4596d5cb-8pbbm	send_exhausted	0
urlshorten	urlshorten-service-sbrev0-ctr-6c4596d5cb-8pbbm	send_canceled	0
urlshorten	urlshorten-service-sbrev0-ctr-6c4596d5cb-8pbbm	send_other	0
urlshorten	urlshorten-service-sbrev0-ctr-6c4596d5cb-8pbbm	hp_buffer_depth	0
urlshorten	urlshorten-service-sbrev0-ctr-6c4596d5cb-8pbbm	lp_buffer_depth	0
user	user-service-sbrev0-ctr-86c58c57f-rwxwm	spans_received	1222618
user	user-service-sbrev0-ctr-86c58c57f-rwxwm	spans_flushed	1222618
user	user-service-sbrev0-ctr-86c58c57f-rwxwm	spans_sent	481296
user	user-service-sbrev0-ctr-86c58c57f-rwxwm	batches_sent	5113
user	user-service-sbrev0-ctr-86c58c57f-rwxwm	spans_dropped	741322
