pod	metric	value
otelcol-vrev0-ctr-6scwm	otelcol_processor_outgoing_items	15385566
otelcol-vrev0-ctr-6scwm	otelcol_exporter_queue_size	0
otelcol-vrev0-ctr-6scwm	otelcol_processor_batch_metadata_cardinality	1
otelcol-vrev0-ctr-6scwm	otelcol_processor_batch_batch_send_size_sum	15385566
otelcol-vrev0-ctr-6scwm	otelcol_receiver_failed_spans	0
otelcol-vrev0-ctr-6scwm	otelcol_processor_batch_timeout_trigger_send	995
otelcol-vrev0-ctr-6scwm	otelcol_process_memory_rss	253280256
otelcol-vrev0-ctr-6scwm	otelcol_processor_accepted_spans	15385566
otelcol-vrev0-ctr-6scwm	otelcol_exporter_queue_batch_send_size_sum	15385566
otelcol-vrev0-ctr-6scwm	otelcol_process_runtime_total_sys_memory_bytes	136567080
otelcol-vrev0-ctr-6scwm	otelcol_receiver_refused_spans	0
otelcol-vrev0-ctr-6scwm	otelcol_processor_incoming_items	15385566
otelcol-vrev0-ctr-6scwm	otelcol_process_cpu_seconds	111
otelcol-vrev0-ctr-6scwm	otelcol_exporter_sent_spans	15385566
otelcol-vrev0-ctr-6scwm	otelcol_process_runtime_total_alloc_bytes	8581065136
otelcol-vrev0-ctr-6scwm	otelcol_exporter_send_failed_spans	0
otelcol-vrev0-ctr-6scwm	otelcol_receiver_accepted_spans	15385566
otelcol-vrev0-ctr-6scwm	otelcol_process_runtime_heap_alloc_bytes	61214456
otelcol-vrev0-ctr-6scwm	otelcol_processor_batch_batch_size_trigger_send	1764
otelcol-vrev0-ctr-6scwm	otelcol_process_uptime	664
otelcol-vrev0-ctr-6scwm	otelcol_exporter_queue_capacity	1000
otelcol-vrev0-ctr-xfplp	otelcol_process_cpu_seconds	103
otelcol-vrev0-ctr-xfplp	otelcol_process_runtime_total_alloc_bytes	8228018928
otelcol-vrev0-ctr-xfplp	otelcol_exporter_sent_spans	14664082
otelcol-vrev0-ctr-xfplp	otelcol_exporter_queue_batch_send_size_sum	14664082
otelcol-vrev0-ctr-xfplp	otelcol_processor_incoming_items	14664082
otelcol-vrev0-ctr-xfplp	otelcol_processor_batch_batch_send_size_sum	14664082
otelcol-vrev0-ctr-xfplp	otelcol_process_uptime	663
otelcol-vrev0-ctr-xfplp	otelcol_exporter_send_failed_spans	0
otelcol-vrev0-ctr-xfplp	otelcol_processor_outgoing_items	14664082
otelcol-vrev0-ctr-xfplp	otelcol_processor_batch_metadata_cardinality	1
otelcol-vrev0-ctr-xfplp	otelcol_exporter_queue_size	0
otelcol-vrev0-ctr-xfplp	otelcol_receiver_failed_spans	0
otelcol-vrev0-ctr-xfplp	otelcol_processor_batch_timeout_trigger_send	1060
otelcol-vrev0-ctr-xfplp	otelcol_processor_batch_batch_size_trigger_send	1626
otelcol-vrev0-ctr-xfplp	otelcol_receiver_refused_spans	0
otelcol-vrev0-ctr-xfplp	otelcol_receiver_accepted_spans	14664082
