service	pod	key	value
wrk2api	wrk2api-service-vrev0-ctr-6vbmk	spans_received	168857
wrk2api	wrk2api-service-vrev0-ctr-6vbmk	spans_flushed	168857
wrk2api	wrk2api-service-vrev0-ctr-6vbmk	spans_sent	100202
wrk2api	wrk2api-service-vrev0-ctr-6vbmk	batches_sent	6562
wrk2api	wrk2api-service-vrev0-ctr-6vbmk	spans_dropped	68655
wrk2api	wrk2api-service-vrev0-ctr-6vbmk	batches_dropped	3102
wrk2api	wrk2api-service-vrev0-ctr-6vbmk	send_deadline	121
wrk2api	wrk2api-service-vrev0-ctr-6vbmk	send_unavailable	2981
wrk2api	wrk2api-service-vrev0-ctr-6vbmk	send_exhausted	0
wrk2api	wrk2api-service-vrev0-ctr-6vbmk	send_canceled	0
wrk2api	wrk2api-service-vrev0-ctr-6vbmk	send_other	0
wrk2api	wrk2api-service-vrev0-ctr-6vbmk	buffer_depth	0
composepost	composepost-service-vrev0-ctr-796fd658fb-m8php	spans_received	5839199
composepost	composepost-service-vrev0-ctr-796fd658fb-m8php	spans_flushed	5839199
composepost	composepost-service-vrev0-ctr-796fd658fb-m8php	spans_sent	2376263
composepost	composepost-service-vrev0-ctr-796fd658fb-m8php	batches_sent	19442
composepost	composepost-service-vrev0-ctr-796fd658fb-m8php	spans_dropped	3462936
composepost	composepost-service-vrev0-ctr-796fd658fb-m8php	batches_dropped	17315
composepost	composepost-service-vrev0-ctr-796fd658fb-m8php	send_deadline	7500
composepost	composepost-service-vrev0-ctr-796fd658fb-m8php	send_unavailable	9815
composepost	composepost-service-vrev0-ctr-796fd658fb-m8php	send_exhausted	0
composepost	composepost-service-vrev0-ctr-796fd658fb-m8php	send_canceled	0
composepost	composepost-service-vrev0-ctr-796fd658fb-m8php	send_other	0
composepost	composepost-service-vrev0-ctr-796fd658fb-m8php	buffer_depth	0
hometimeline	hometimeline-service-vrev0-ctr-ff544fc87-bwpf4	spans_received	1459784
hometimeline	hometimeline-service-vrev0-ctr-ff544fc87-bwpf4	spans_flushed	1459784
hometimeline	hometimeline-service-vrev0-ctr-ff544fc87-bwpf4	spans_sent	593231
hometimeline	hometimeline-service-vrev0-ctr-ff544fc87-bwpf4	batches_sent	4861
hometimeline	hometimeline-service-vrev0-ctr-ff544fc87-bwpf4	spans_dropped	866553
hometimeline	hometimeline-service-vrev0-ctr-ff544fc87-bwpf4	batches_dropped	4330
hometimeline	hometimeline-service-vrev0-ctr-ff544fc87-bwpf4	send_deadline	560
hometimeline	hometimeline-service-vrev0-ctr-ff544fc87-bwpf4	send_unavailable	3770
hometimeline	hometimeline-service-vrev0-ctr-ff544fc87-bwpf4	send_exhausted	0
hometimeline	hometimeline-service-vrev0-ctr-ff544fc87-bwpf4	send_canceled	0
hometimeline	hometimeline-service-vrev0-ctr-ff544fc87-bwpf4	send_other	0
hometimeline	hometimeline-service-vrev0-ctr-ff544fc87-bwpf4	buffer_depth	0
