pod	metric	value
otelcol-vrev0-ctr-lgkwp	otelcol_process_cpu_seconds	19
otelcol-vrev0-ctr-lgkwp	otelcol_exporter_sent_spans	384016
otelcol-vrev0-ctr-lgkwp	otelcol_exporter_queue_capacity	1000
otelcol-vrev0-ctr-lgkwp	otelcol_exporter_send_failed_spans	0
otelcol-vrev0-ctr-lgkwp	otelcol_processor_batch_metadata_cardinality	1
otelcol-vrev0-ctr-lgkwp	otelcol_processor_batch_batch_size_trigger_send	9
otelcol-vrev0-ctr-lgkwp	otelcol_receiver_refused_spans	76417
otelcol-vrev0-ctr-lgkwp	otelcol_processor_batch_timeout_trigger_send	948
otelcol-vrev0-ctr-lgkwp	otelcol_processor_incoming_items	460433
otelcol-vrev0-ctr-lgkwp	otelcol_process_runtime_total_alloc_bytes	715307016
otelcol-vrev0-ctr-lgkwp	otelcol_process_memory_rss	220602368
otelcol-vrev0-ctr-lgkwp	otelcol_exporter_queue_size	0
otelcol-vrev0-ctr-lgkwp	otelcol_receiver_failed_spans	0
otelcol-vrev0-ctr-lgkwp	otelcol_processor_outgoing_items	384016
otelcol-vrev0-ctr-lgkwp	otelcol_processor_batch_batch_send_size_sum	384016
otelcol-vrev0-ctr-lgkwp	otelcol_process_uptime	1575
otelcol-vrev0-ctr-lgkwp	otelcol_exporter_queue_batch_send_size_sum	384016
otelcol-vrev0-ctr-lgkwp	otelcol_processor_refused_spans	76417
otelcol-vrev0-ctr-lgkwp	otelcol_process_runtime_heap_alloc_bytes	49227752
otelcol-vrev0-ctr-lgkwp	otelcol_processor_accepted_spans	384016
otelcol-vrev0-ctr-lgkwp	otelcol_process_runtime_total_sys_memory_bytes	226756920
otelcol-vrev0-ctr-lgkwp	otelcol_receiver_accepted_spans	384016
otelcol-vrev0-ctr-mvpcx	otelcol_receiver_failed_spans	0
otelcol-vrev0-ctr-mvpcx	otelcol_processor_batch_metadata_cardinality	1
otelcol-vrev0-ctr-mvpcx	otelcol_processor_batch_timeout_trigger_send	957
otelcol-vrev0-ctr-mvpcx	otelcol_receiver_accepted_spans	170997
otelcol-vrev0-ctr-mvpcx	otelcol_process_uptime	1573
otelcol-vrev0-ctr-mvpcx	otelcol_receiver_refused_spans	0
otelcol-vrev0-ctr-mvpcx	otelcol_exporter_queue_capacity	1000
otelcol-vrev0-ctr-mvpcx	otelcol_process_runtime_total_alloc_bytes	308331136
otelcol-vrev0-ctr-mvpcx	otelcol_processor_incoming_items	170997
otelcol-vrev0-ctr-mvpcx	otelcol_process_cpu_seconds	15
otelcol-vrev0-ctr-mvpcx	otelcol_processor_batch_batch_send_size_sum	170997
otelcol-vrev0-ctr-mvpcx	otelcol_process_runtime_heap_alloc_bytes	47003856
otelcol-vrev0-ctr-mvpcx	otelcol_processor_outgoing_items	170997
otelcol-vrev0-ctr-mvpcx	otelcol_process_runtime_total_sys_memory_bytes	75532568
otelcol-vrev0-ctr-mvpcx	otelcol_process_memory_rss	212840448
otelcol-vrev0-ctr-mvpcx	otelcol_exporter_send_failed_spans	0
otelcol-vrev0-ctr-mvpcx	otelcol_exporter_queue_batch_send_size_sum	170997
otelcol-vrev0-ctr-mvpcx	otelcol_processor_accepted_spans	170997
otelcol-vrev0-ctr-mvpcx	otelcol_exporter_sent_spans	170997
otelcol-vrev0-ctr-mvpcx	otelcol_exporter_queue_size	0
otelcol-vrev0-ctr-5cn5b	otelcol_receiver_accepted_spans	609198
otelcol-vrev0-ctr-5cn5b	otelcol_exporter_sent_spans	609198
otelcol-vrev0-ctr-5cn5b	otelcol_exporter_queue_size	0
otelcol-vrev0-ctr-5cn5b	otelcol_exporter_queue_capacity	1000
otelcol-vrev0-ctr-5cn5b	otelcol_receiver_failed_spans	0
otelcol-vrev0-ctr-5cn5b	otelcol_processor_incoming_items	609198
otelcol-vrev0-ctr-5cn5b	otelcol_process_runtime_heap_alloc_bytes	39052432
otelcol-vrev0-ctr-5cn5b	otelcol_processor_outgoing_items	609198
otelcol-vrev0-ctr-5cn5b	otelcol_processor_batch_batch_send_size_sum	609198
otelcol-vrev0-ctr-5cn5b	otelcol_receiver_refused_spans	0
otelcol-vrev0-ctr-5cn5b	otelcol_exporter_send_failed_spans	0
otelcol-vrev0-ctr-5cn5b	otelcol_processor_batch_metadata_cardinality	1
otelcol-vrev0-ctr-5cn5b	otelcol_process_runtime_total_sys_memory_bytes	97274136
otelcol-vrev0-ctr-5cn5b	otelcol_processor_accepted_spans	609198
otelcol-vrev0-ctr-5cn5b	otelcol_process_cpu_seconds	19
otelcol-vrev0-ctr-5cn5b	otelcol_process_runtime_total_alloc_bytes	569501336
otelcol-vrev0-ctr-5cn5b	otelcol_process_memory_rss	228876288
otelcol-vrev0-ctr-5cn5b	otelcol_process_uptime	1569
otelcol-vrev0-ctr-5cn5b	otelcol_exporter_queue_batch_send_size_sum	609198
otelcol-vrev0-ctr-5cn5b	otelcol_processor_batch_timeout_trigger_send	960
otelcol-vrev0-ctr-fjxrg	otelcol_receiver_accepted_spans	170318
otelcol-vrev0-ctr-fjxrg	otelcol_process_runtime_heap_alloc_bytes	30805944
otelcol-vrev0-ctr-fjxrg	otelcol_exporter_send_failed_spans	0
otelcol-vrev0-ctr-fjxrg	otelcol_processor_incoming_items	170318
otelcol-vrev0-ctr-fjxrg	otelcol_exporter_queue_batch_send_size_sum	170318
otelcol-vrev0-ctr-fjxrg	otelcol_process_runtime_total_sys_memory_bytes	84183320
otelcol-vrev0-ctr-fjxrg	otelcol_receiver_failed_spans	0
otelcol-vrev0-ctr-fjxrg	otelcol_processor_batch_metadata_cardinality	1
otelcol-vrev0-ctr-fjxrg	otelcol_exporter_queue_size	0
otelcol-vrev0-ctr-fjxrg	otelcol_processor_batch_timeout_trigger_send	960
otelcol-vrev0-ctr-fjxrg	otelcol_exporter_queue_capacity	1000
otelcol-vrev0-ctr-fjxrg	otelcol_processor_outgoing_items	170318
otelcol-vrev0-ctr-fjxrg	otelcol_processor_batch_batch_send_size_sum	170318
otelcol-vrev0-ctr-fjxrg	otelcol_process_uptime	1572
