service	pod	key	value
wrk2api	wrk2api-service-vrev0-ctr-47bls	spans_received	40423
wrk2api	wrk2api-service-vrev0-ctr-47bls	spans_flushed	40423
wrk2api	wrk2api-service-vrev0-ctr-47bls	spans_sent	40423
wrk2api	wrk2api-service-vrev0-ctr-47bls	batches_sent	3665
wrk2api	wrk2api-service-vrev0-ctr-47bls	spans_dropped	0
wrk2api	wrk2api-service-vrev0-ctr-47bls	batches_dropped	0
wrk2api	wrk2api-service-vrev0-ctr-47bls	send_deadline	0
wrk2api	wrk2api-service-vrev0-ctr-47bls	send_unavailable	0
wrk2api	wrk2api-service-vrev0-ctr-47bls	send_exhausted	0
wrk2api	wrk2api-service-vrev0-ctr-47bls	send_canceled	0
wrk2api	wrk2api-service-vrev0-ctr-47bls	send_other	0
wrk2api	wrk2api-service-vrev0-ctr-47bls	buffer_depth	0
composepost	composepost-service-vrev0-ctr-796fd658fb-tfbtc	spans_received	1039223
composepost	composepost-service-vrev0-ctr-796fd658fb-tfbtc	spans_flushed	1039223
composepost	composepost-service-vrev0-ctr-796fd658fb-tfbtc	spans_sent	1039223
composepost	composepost-service-vrev0-ctr-796fd658fb-tfbtc	batches_sent	12757
composepost	composepost-service-vrev0-ctr-796fd658fb-tfbtc	spans_dropped	0
composepost	composepost-service-vrev0-ctr-796fd658fb-tfbtc	batches_dropped	0
composepost	composepost-service-vrev0-ctr-796fd658fb-tfbtc	send_deadline	0
composepost	composepost-service-vrev0-ctr-796fd658fb-tfbtc	send_unavailable	0
composepost	composepost-service-vrev0-ctr-796fd658fb-tfbtc	send_exhausted	0
composepost	composepost-service-vrev0-ctr-796fd658fb-tfbtc	send_canceled	0
composepost	composepost-service-vrev0-ctr-796fd658fb-tfbtc	send_other	0
composepost	composepost-service-vrev0-ctr-796fd658fb-tfbtc	buffer_depth	0
hometimeline	hometimeline-service-vrev0-ctr-ff544fc87-cz2sw	spans_received	259790
hometimeline	hometimeline-service-vrev0-ctr-ff544fc87-cz2sw	spans_flushed	259790
hometimeline	hometimeline-service-vrev0-ctr-ff544fc87-cz2sw	spans_sent	259790
hometimeline	hometimeline-service-vrev0-ctr-ff544fc87-cz2sw	batches_sent	3188
hometimeline	hometimeline-service-vrev0-ctr-ff544fc87-cz2sw	spans_dropped	0
hometimeline	hometimeline-service-vrev0-ctr-ff544fc87-cz2sw	batches_dropped	0
hometimeline	hometimeline-service-vrev0-ctr-ff544fc87-cz2sw	send_deadline	0
hometimeline	hometimeline-service-vrev0-ctr-ff544fc87-cz2sw	send_unavailable	0
hometimeline	hometimeline-service-vrev0-ctr-ff544fc87-cz2sw	send_exhausted	0
hometimeline	hometimeline-service-vrev0-ctr-ff544fc87-cz2sw	send_canceled	0
hometimeline	hometimeline-service-vrev0-ctr-ff544fc87-cz2sw	send_other	0
hometimeline	hometimeline-service-vrev0-ctr-ff544fc87-cz2sw	buffer_depth	0
media	media-service-vrev0-ctr-8485b77b76-npkdb	spans_received	129904
media	media-service-vrev0-ctr-8485b77b76-npkdb	spans_flushed	129904
media	media-service-vrev0-ctr-8485b77b76-npkdb	spans_sent	129904
media	media-service-vrev0-ctr-8485b77b76-npkdb	batches_sent	1595
media	media-service-vrev0-ctr-8485b77b76-npkdb	spans_dropped	0
media	media-service-vrev0-ctr-8485b77b76-npkdb	batches_dropped	0
media	media-service-vrev0-ctr-8485b77b76-npkdb	send_deadline	0
media	media-service-vrev0-ctr-8485b77b76-npkdb	send_unavailable	0
media	media-service-vrev0-ctr-8485b77b76-npkdb	send_exhausted	0
media	media-service-vrev0-ctr-8485b77b76-npkdb	send_canceled	0
media	media-service-vrev0-ctr-8485b77b76-npkdb	send_other	0
media	media-service-vrev0-ctr-8485b77b76-npkdb	buffer_depth	0
post-storage	post-storage-service-vrev0-ctr-5dc95f758c-jvr9w	spans_received	129895
post-storage	post-storage-service-vrev0-ctr-5dc95f758c-jvr9w	spans_flushed	129895
post-storage	post-storage-service-vrev0-ctr-5dc95f758c-jvr9w	spans_sent	129895
post-storage	post-storage-service-vrev0-ctr-5dc95f758c-jvr9w	batches_sent	1594
post-storage	post-storage-service-vrev0-ctr-5dc95f758c-jvr9w	spans_dropped	0
post-storage	post-storage-service-vrev0-ctr-5dc95f758c-jvr9w	batches_dropped	0
post-storage	post-storage-service-vrev0-ctr-5dc95f758c-jvr9w	send_deadline	0
post-storage	post-storage-service-vrev0-ctr-5dc95f758c-jvr9w	send_unavailable	0
