# step monitor started 04:32:25 watching /users/tomislav/blueprint-docc-mod/examples/dsb_sn/runs/ramp_cgpbnolim_esrev2_*_r*_*
# round        rps   achiev      mean       p99    CP%   wCP%     LP%   wLP%   TOT%   exp/s
  cpd2 r1     2000  1995.77   14.35ms   41.66ms  0.00%   0.0%   0.00%   0.0%  0.00%   37207
  cpd2 r1     2200  2197.24   14.32ms   52.67ms  0.00%   0.0%   0.00%   0.0%  0.00%   40877
  cpd2 r1     2400  2372.09   27.42ms   64.13ms  0.00%   0.0%   0.00%   0.0%  0.00%   42996
  cpd2 r1     2600  2565.05   21.31ms   49.73ms  0.00%   0.0%   0.00%   0.0%  0.00%   47812
  cpd2 r1     2800  2788.99   26.60ms   66.88ms  0.00%   0.0%   0.00%   0.0%  0.00%   50745
  cpd2 r1     3000  2951.55   43.53ms   89.79ms  0.00%   0.0%   0.00%   0.0%  0.00%   53694
  cpd2 r1     3200  3149.23   54.95ms  150.01ms  0.00%   0.0%   0.00%   0.0%  0.00%   57280
  cpd2 r1     3400  3344.74   90.63ms  187.90ms  0.00%   0.0%   0.00%   0.0%  0.00%   60661
  cpd2 r1     3600  3533.61  143.85ms  269.82ms  0.00%   0.0%   0.00%   0.0%  0.00%   58998
  cpd2 r1     3800  3768.25   78.59ms  339.71ms  0.00%   0.0%   0.00%   0.0%  0.00%   39729
  cpd2 r1     4000  3653.14     2.25s     2.89s  0.00%   0.0%   0.00%   0.0%  0.00%   28601
  cpd2 r1     4200  4009.83  257.70ms     1.08s  0.00%   0.0%   0.00%   0.0%  0.00%   37383
  cpd2 r1     4400  3608.89     3.49s     5.20s  0.00%   0.0%   0.00%   0.0%  0.00%   44300
  cpd2 r1     4600  4020.20     1.55s     3.50s  0.00%   0.0%   0.00%   0.0%  0.00%   36175
  cpd2 r1     4800  3600.53     5.10s     7.21s  0.00%   0.0%   0.00%   0.0%  0.00%   40504
  cpd2 r1     5000  3681.07     4.76s     7.68s  0.00%   0.0%   0.00%   0.0%  0.00%   30956
  cpd2 r2     2000  1993.24   11.47ms   30.16ms  0.00%   0.0%   0.00%   0.0%  0.00%   37246
  cpd2 r2     2200  2189.11   20.21ms   58.69ms  0.00%   0.0%   0.00%   0.0%  0.00%   40791
  cpd2 r2     2400  2370.02   17.85ms   43.17ms  0.00%   0.0%   0.00%   0.0%  0.00%   44209
  cpd2 r2     2600  2578.49   29.03ms   62.94ms  0.00%   0.0%   0.00%   0.0%  0.00%   47956
  cpd2 r2     2800  2778.74   22.64ms   62.24ms  0.00%   0.0%   0.00%   0.0%  0.00%   51881
  cpd2 r2     3000  2952.28   38.93ms   79.49ms  0.00%   0.0%   0.00%   0.0%  0.00%   55143
  cpd2 r2     3200  3154.37   36.76ms   79.74ms  0.00%   0.0%   0.00%   0.0%  0.00%   58797
  cpd2 r2     3400  3342.16   47.69ms  112.89ms  0.00%   0.0%   0.00%   0.0%  0.00%   62326
  cpd2 r2     3600  3553.02   62.65ms  122.56ms  0.00%   0.0%   0.00%   0.0%  0.00%   60667
  cpd2 r2     3800  3744.75   87.05ms  281.09ms  0.00%   0.0%   0.00%   0.0%  0.00%   43239
  cpd2 r2     4000  3949.49  333.00ms  698.88ms  0.00%   0.0%   0.00%   0.0%  0.00%   28593
  cpd2 r2     4200  3956.26  808.01ms     1.74s  0.00%   0.0%   0.00%   0.0%  0.00%   42291
  cpd2 r2     4400  4067.63     2.01s     2.46s  0.00%   0.0%   0.00%   0.0%  0.00%   42807
  cpd2 r2     4600  4086.87     2.25s     3.16s  0.00%   0.0%   0.00%   0.0%  0.00%   43145
  cpd2 r2     4800  3959.02     3.71s     5.00s  0.00%   0.0%   0.00%   0.0%  0.00%   23922
  cpd2 r2     5000  3903.60     4.58s     6.43s  0.00%   0.0%   0.00%   0.0%  0.00%   50499
  cpd6 r1     2000  1987.80   18.02ms   45.47ms  0.00%   0.0%   0.00%   0.0%  0.00%   37098
  cpd6 r1     2200  2193.26   14.64ms   58.37ms  0.00%   0.0%   0.00%   0.0%  0.00%   40835
  cpd6 r1     2400  2368.90   27.00ms   75.97ms  0.00%   0.0%   0.00%   0.0%  0.00%   44115
  cpd6 r1     2600  2576.71   20.20ms   48.22ms  0.00%   0.0%   0.00%   0.0%  0.00%   48044
  cpd6 r1     2800  2789.42   24.42ms   58.72ms  0.00%   0.0%   0.00%   0.0%  0.00%   52050
  cpd6 r1     3000  2948.57   39.98ms   80.51ms  0.00%   0.0%   0.00%   0.0%  0.00%   55066
  cpd6 r1     3200  3146.14   32.02ms   70.65ms  0.00%   0.0%   0.00%   0.0%  0.00%   57126
  cpd6 r1     3400  3335.06   45.38ms  100.99ms  0.00%   0.0%   0.00%   0.0%  0.00%   60610
  cpd6 r1     3600  3543.60   64.75ms  130.75ms  0.00%   0.0%   0.00%   0.0%  0.00%   51830
  cpd6 r1     3800  3755.94   68.46ms  202.24ms  0.00%   0.0%   0.00%   0.0%  0.00%   35326
  cpd6 r1     4000  3941.94  355.90ms  728.06ms  0.00%   0.0%   0.00%   0.0%  0.00%   40538
  cpd6 r1     4200  3967.76  823.26ms     1.70s  0.00%   0.0%   0.00%   0.0%  0.00%   29107
  cpd6 r1     4400  4049.57     2.16s     2.60s  0.00%   0.0%   0.00%   0.0%  0.00%   42441
  cpd6 r1     4600  3977.28     2.70s     3.83s  0.00%   0.0%   0.00%   0.0%  0.00%   39012
  cpd6 r1     4800  3927.37     3.74s     5.18s  0.00%   0.0%   0.00%   0.0%  0.00%   49305
  cpd6 r1     5000  3899.63     4.66s     6.43s  0.00%   0.0%   0.00%   0.0%  0.00%   33590
  cpd6 r2     2000  1992.46   19.18ms   53.60ms  0.00%   0.0%   0.00%   0.0%  0.00%   37154
  cpd6 r2     2200  2195.52   20.57ms   60.93ms  0.00%   0.0%   0.00%   0.0%  0.00%   40885
  cpd6 r2     2400  2368.21   17.93ms   66.18ms  0.00%   0.0%   0.00%   0.0%  0.00%   44194
  cpd6 r2     2600  2569.91   18.92ms   50.08ms  0.00%   0.0%   0.00%   0.0%  0.00%   47889
  cpd6 r2     2800  2789.09   32.20ms  103.87ms  0.00%   0.0%   0.00%   0.0%  0.00%   52021
  cpd6 r2     3000  2952.27   37.25ms   94.14ms  0.00%   0.0%   0.00%   0.0%  0.00%   55140
  cpd6 r2     3200  3153.67   32.56ms   71.61ms  0.00%   0.0%   0.00%   0.0%  0.00%   58797
  cpd6 r2     3400  3349.14   39.34ms  129.92ms  0.00%   0.0%   0.00%   0.0%  0.00%   62337
  cpd6 r2     3600  3530.74  132.23ms  357.12ms  0.00%   0.0%   0.00%   0.0%  0.00%   59245
  cpd6 r2     3800  3751.61   73.79ms  242.82ms  0.00%   0.0%   0.00%   0.0%  0.00%   40811
  cpd6 r2     4000  3907.70  364.87ms  806.40ms  0.00%   0.0%   0.00%   0.0%  0.00%   27469
  cpd6 r2     4200  3445.86     2.44s     5.16s  0.00%   0.0%   0.00%   0.0%  0.00%   36122
  cpd6 r2     4400  3706.26     3.76s     4.67s  0.00%   0.0%   0.00%   0.0%  0.00%   29724
  cpd6 r2     4600  4031.61     2.32s     3.53s  0.00%   0.0%   0.00%   0.0%  0.00%   44994
  cpd6 r2     4800  3832.12     4.44s     5.81s  0.00%   0.0%   0.00%   0.0%  0.00%   36810
  cpd6 r2     5000  3416.38     6.66s     9.27s  0.00%   0.0%   0.00%   0.0%  0.00%   39778
# step monitor idle-exit 06:14:16 (64 steps logged)
