# step monitor started 03:01:41 watching /users/tomislav/blueprint-docc-mod/examples/dsb_sn/runs/ramp_pbnolim_esrev2_*_r*_*
# round        rps   achiev      mean       p99    CP%   wCP%     LP%   wLP%   TOT%   exp/s
  cpd2 r1     2000  1995.95   16.51ms   44.35ms  0.00%   0.0%   0.00%   0.0%  0.00%   37207
  cpd2 r1     2200  2197.18   15.38ms   56.58ms  0.00%   0.0%   0.00%   0.0%  0.00%   40896
  cpd2 r1     2400  2363.27   32.79ms   72.45ms  0.00%   0.0%   0.00%   0.0%  0.00%   44055
  cpd2 r1     2600  2578.14   26.62ms   56.16ms  0.00%   0.0%   0.00%   0.0%  0.00%   48022
  cpd2 r1     2800  2784.03   26.46ms   59.94ms  0.00%   0.0%   0.00%   0.0%  0.00%   51851
  cpd2 r1     3000  2955.44   34.68ms   76.16ms  0.00%   0.0%   0.00%   0.0%  0.00%   55085
  cpd2 r1     3200  3148.83   84.15ms  188.29ms  0.00%   0.0%   0.00%   0.0%  0.00%   57241
  cpd2 r1     3400  3354.08   83.88ms  178.56ms  0.00%   0.0%   0.00%   0.0%  0.00%   60778
  cpd2 r1     3600  3548.81  144.30ms  237.95ms  0.00%   0.0%   0.00%   0.0%  0.00%   53928
  cpd2 r1     3800  3750.00   97.72ms  271.87ms  0.00%   0.0%   0.00%   0.0%  0.00%   33949
  cpd2 r1     4000  3815.33     1.43s     1.85s  0.00%   0.0%   0.00%   0.0%  0.00%   42729
  cpd2 r1     4200  3959.91  795.94ms     1.70s  0.00%   0.0%   0.00%   0.0%  0.00%   27488
  cpd2 r1     4400  3894.71     2.96s     3.53s  0.00%   0.0%   0.00%   0.0%  0.00%   44554
  cpd2 r1     4600  3984.37     2.32s     3.66s  0.00%   0.0%   0.00%   0.0%  0.00%   30574
  cpd2 r1     4800  3840.32     4.45s     5.72s  0.00%   0.0%   0.00%   0.0%  0.00%   50445
  cpd2 r1     5000  3627.15     5.55s     8.10s  0.00%   0.0%   0.00%   0.0%  0.00%   24394
  cpd6 r1     2000  1993.40   18.41ms   45.18ms  0.00%   0.0%   0.00%   0.0%  0.00%   37153
  cpd6 r1     2200  2190.14   21.81ms   65.73ms  0.00%   0.0%   0.00%   0.0%  0.00%   40839
  cpd6 r1     2400  2369.18   25.79ms   60.61ms  0.00%   0.0%   0.00%   0.0%  0.00%   44118
  cpd6 r1     2600  2571.12   22.25ms   52.45ms  0.00%   0.0%   0.00%   0.0%  0.00%   47929
  cpd6 r1     2800  2790.01   22.77ms   56.99ms  0.00%   0.0%   0.00%   0.0%  0.00%   52008
  cpd6 r1     3000  2946.87   33.47ms   73.09ms  0.00%   0.0%   0.00%   0.0%  0.00%   55041
  cpd6 r1     3200  3150.52   46.26ms   92.61ms  0.00%   0.0%   0.00%   0.0%  0.00%   58800
  cpd6 r1     3400  3334.93   45.80ms  132.10ms  0.00%   0.0%   0.00%   0.0%  0.00%   62275
  cpd6 r1     3600  3551.09   58.93ms  119.36ms  0.00%   0.0%   0.00%   0.0%  0.00%   62282
  cpd6 r1     3800  3762.97   65.73ms  237.70ms  0.00%   0.0%   0.00%   0.0%  0.00%   35327
  cpd6 r1     4000  3946.09  354.58ms  744.45ms  0.00%   0.0%   0.00%   0.0%  0.00%   23962
  cpd6 r1     4200  3979.31  790.38ms     1.60s  0.00%   0.0%   0.00%   0.0%  0.00%   43632
  cpd6 r1     4400  4066.02     1.86s     2.28s  0.00%   0.0%   0.00%   0.0%  0.00%   35151
  cpd6 r1     4600  3890.08     2.70s     4.36s  0.00%   0.0%   0.03%   0.3%  0.03%   35350
  cpd6 r1     4800  3924.47     3.77s     5.12s  0.00%   0.0%   0.00%   0.0%  0.00%   34365
  cpd6 r1     5000  3841.94     4.73s     6.82s  0.00%   0.0%   0.00%   0.0%  0.00%   41031
# step monitor idle-exit 04:12:49 (32 steps logged)
