# step monitor started 00:28:44 watching /users/tomislav/blueprint-docc-mod/examples/dsb_sn/runs/ramp_vnolim_esrev0_*_r*_*
# round        rps   achiev      mean       p99    CP%   wCP%     LP%   wLP%   exp/s
# step monitor started 00:36:06 watching /users/tomislav/blueprint-docc-mod/examples/dsb_sn/runs/ramp_vnolim_esrev0_*_r*_*
# round        rps   achiev      mean       p99    CP%   wCP%     LP%   wLP%   TOT%   exp/s
  ramp_vnolim_esrev0_nolimiter_2to4k_r1_2026-06-16_002223  2000  1997.89   17.45ms   50.59ms  0.00%   0.0%   0.00%   0.0%  0.00%   40541
  ramp_vnolim_esrev0_nolimiter_2to6k_step30s_r1_2026-06-16_002808  2000  1995.86   14.67ms   45.50ms  0.00%   0.0%   0.00%   0.0%  0.00%   37210
  ramp_vnolim_esrev0_nolimiter_2to6k_step30s_r1_2026-06-16_002808  2200  2194.87   22.19ms   59.46ms  0.00%   0.0%   0.00%   0.0%  0.00%   40892
  ramp_vnolim_esrev0_nolimiter_2to6k_step30s_r1_2026-06-16_002808  2400  2368.98   25.46ms   60.29ms  0.00%   0.0%   0.00%   0.0%  0.00%   44175
  ramp_vnolim_esrev0_nolimiter_2to6k_step30s_r1_2026-06-16_002808  2600  2570.24   29.13ms   74.69ms  0.00%   0.0%   0.00%   0.0%  0.00%   46632
  ramp_vnolim_esrev0_nolimiter_2to6k_step30s_r1_2026-06-16_002808  2800  2789.37   29.08ms   67.90ms  0.00%   0.0%   0.00%   0.0%  0.00%   52002
  ramp_vnolim_esrev0_nolimiter_2to6k_step30s_r1_2026-06-16_002808  3000  2952.22   35.66ms   80.00ms  0.00%   0.0%   0.00%   0.0%  0.00%   53599
  ramp_vnolim_esrev0_nolimiter_2to6k_step30s_r1_2026-06-16_002808  3200  3149.44   74.30ms  168.06ms  0.00%   0.0%   0.00%   0.0%  0.00%   57321
  ramp_vnolim_esrev0_nolimiter_2to6k_step30s_r1_2026-06-16_002808  3400  3349.10   93.39ms  230.65ms  0.00%   0.0%   0.00%   0.0%  0.00%   62331
  ramp_vnolim_esrev0_nolimiter_2to6k_step30s_r1_2026-06-16_002808  3600  3548.18  131.81ms  211.71ms  0.00%   0.0%   0.00%   0.0%  0.00%   64228
  ramp_vnolim_esrev0_nolimiter_2to6k_step30s_r1_2026-06-16_002808  3800  3674.75  238.17ms  929.28ms  0.00%   0.0%   0.00%   0.0%  0.00%   48710
  ramp_vnolim_esrev0_nolimiter_2to6k_step30s_r1_2026-06-16_002808  4000  3675.41     2.01s     3.04s  0.00%   0.0%   0.00%   0.0%  0.00%   24884
  ramp_vnolim_esrev0_nolimiter_2to6k_step30s_r1_2026-06-16_002808  4200  3921.29     1.19s     2.19s  0.00%   0.0%   0.00%   0.0%  1.53%   38082
  ramp_vnolim_esrev0_nolimiter_2to6k_step30s_r1_2026-06-16_002808  4400  3815.92     3.16s     4.38s  0.00%   0.0%   0.00%   0.0%  0.00%   39741
  ramp_vnolim_esrev0_nolimiter_2to6k_step30s_r1_2026-06-16_002808  4600  3657.86     4.34s     6.27s  0.00%   0.0%   0.00%   0.0%  0.00%   38037
  ramp_vnolim_esrev0_nolimiter_2to6k_step30s_r1_2026-06-16_002808  4800  3812.61     4.53s     6.30s  0.00%   0.0%   0.00%   0.0%  0.00%   37893
  ramp_vnolim_esrev0_nolimiter_2to6k_step30s_r1_2026-06-16_002808  5000  3624.06     5.33s     8.17s  0.00%   0.0%   0.00%   0.0%  0.00%   37905
  ramp_vnolim_esrev0_nolimiter_2to4k_r1_2026-06-16_002223_EXCLUDED_killed  2000  1997.89   17.45ms   50.59ms  0.00%   0.0%   0.00%   0.0%  0.00%   40541
  ramp_vnolim_esrev0_nolimiter_2to6k_step30s_r1_2026-06-16_002808  5200  3701.93     5.73s     8.52s  0.00%   0.0%   0.00%   0.0%  0.00%   29604
  ramp_vnolim_esrev0_nolimiter_2to6k_step30s_r1_2026-06-16_002808  5400  3498.76     6.80s     9.98s  0.00%   0.0%   0.00%   0.0%  0.00%   37483
  ramp_vnolim_esrev0_nolimiter_2to6k_step30s_r1_2026-06-16_002808  5600  3486.12     7.06s    10.79s  0.00%   0.0%   0.00%   0.0%  0.00%   34966
  ramp_vnolim_esrev0_nolimiter_2to6k_step30s_r1_2026-06-16_002808  5800  3416.34     8.17s    11.91s  0.00%   0.0%   0.00%   0.0%  0.00%   39362
  ramp_vnolim_esrev0_nolimiter_2to6k_step30s_r1_2026-06-16_002808  6000  3379.55     8.49s    12.62s  0.00%   0.0%   0.00%   0.0%  0.00%   34518
  ramp_vnolim_esrev0_nolimiter_1000mcpu_2to6k_step30s_r1_2026-06-16_005358  2000  1996.68   12.19ms   43.07ms  0.00%   0.0%   0.00%   0.0%  0.00%   37207
  ramp_vnolim_esrev0_nolimiter_1000mcpu_2to6k_step30s_r1_2026-06-16_005358  2200  2194.15   14.23ms   44.80ms  0.00%   0.0%   0.00%   0.0%  0.00%   40951
  ramp_vnolim_esrev0_nolimiter_1000mcpu_2to6k_step30s_r1_2026-06-16_005358  2400  2369.88   23.98ms   58.27ms  0.00%   0.0%   0.00%   0.0%  0.00%   42961
  ramp_vnolim_esrev0_nolimiter_1000mcpu_2to6k_step30s_r1_2026-06-16_005358  2600  2580.17   24.65ms   52.58ms  0.00%   0.0%   0.00%   0.0%  0.00%   47961
  ramp_vnolim_esrev0_nolimiter_1000mcpu_2to6k_step30s_r1_2026-06-16_005358  2800  2783.56   17.74ms   42.94ms  0.00%   0.0%   0.00%   0.0%  0.00%   50559
  ramp_vnolim_esrev0_nolimiter_1000mcpu_2to6k_step30s_r1_2026-06-16_005358  3000  2954.43   31.71ms   73.86ms  0.00%   0.0%   0.00%   0.0%  0.00%   55152
  ramp_vnolim_esrev0_nolimiter_1000mcpu_2to6k_step30s_r1_2026-06-16_005358  3200  3151.68   41.99ms   82.69ms  0.00%   0.0%   0.00%   0.0%  0.00%   58874
  ramp_vnolim_esrev0_nolimiter_1000mcpu_2to6k_step30s_r1_2026-06-16_005358  3400  3350.17   47.47ms  103.23ms  0.00%   0.0%   0.00%   0.0%  0.00%   60751
  ramp_vnolim_esrev0_nolimiter_1000mcpu_2to6k_step30s_r1_2026-06-16_005358  3600  3548.43   65.76ms  127.29ms  0.00%   0.0%   0.00%   0.0%  0.00%   59434
  ramp_vnolim_esrev0_nolimiter_1000mcpu_2to6k_step30s_r1_2026-06-16_005358  3800  3748.13  108.17ms  297.47ms  0.00%   0.0%   0.00%   0.0%  0.00%   37785
  ramp_vnolim_esrev0_nolimiter_1000mcpu_2to6k_step30s_r1_2026-06-16_005358  4000  3933.49  365.10ms  938.49ms  0.00%   0.0%   0.00%   0.0%  0.00%   34773
