service	pod	key	value
wrk2api	wrk2api-service-sb-esrev0-ctr-68m76	spans_received	186043
wrk2api	wrk2api-service-sb-esrev0-ctr-68m76	spans_flushed	186043
wrk2api	wrk2api-service-sb-esrev0-ctr-68m76	spans_sent	186043
wrk2api	wrk2api-service-sb-esrev0-ctr-68m76	batches_sent	17265
wrk2api	wrk2api-service-sb-esrev0-ctr-68m76	spans_dropped	0
wrk2api	wrk2api-service-sb-esrev0-ctr-68m76	batches_dropped	0
wrk2api	wrk2api-service-sb-esrev0-ctr-68m76	cp_received	93021
wrk2api	wrk2api-service-sb-esrev0-ctr-68m76	lp_received	93022
wrk2api	wrk2api-service-sb-esrev0-ctr-68m76	cp_sent	93021
wrk2api	wrk2api-service-sb-esrev0-ctr-68m76	lp_sent	93022
wrk2api	wrk2api-service-sb-esrev0-ctr-68m76	cp_dropped	0
wrk2api	wrk2api-service-sb-esrev0-ctr-68m76	lp_dropped	0
wrk2api	wrk2api-service-sb-esrev0-ctr-68m76	send_deadline	0
wrk2api	wrk2api-service-sb-esrev0-ctr-68m76	send_unavailable	0
wrk2api	wrk2api-service-sb-esrev0-ctr-68m76	send_exhausted	0
wrk2api	wrk2api-service-sb-esrev0-ctr-68m76	send_canceled	0
wrk2api	wrk2api-service-sb-esrev0-ctr-68m76	send_other	0
wrk2api	wrk2api-service-sb-esrev0-ctr-68m76	hp_buffer_depth	0
wrk2api	wrk2api-service-sb-esrev0-ctr-68m76	lp_buffer_depth	0
composepost	composepost-service-sb-esrev0-ctr-869cb4b5ff-clsvv	spans_received	5615159
composepost	composepost-service-sb-esrev0-ctr-869cb4b5ff-clsvv	spans_flushed	5615159
composepost	composepost-service-sb-esrev0-ctr-869cb4b5ff-clsvv	spans_sent	5615159
composepost	composepost-service-sb-esrev0-ctr-869cb4b5ff-clsvv	batches_sent	67147
composepost	composepost-service-sb-esrev0-ctr-869cb4b5ff-clsvv	spans_dropped	0
composepost	composepost-service-sb-esrev0-ctr-869cb4b5ff-clsvv	batches_dropped	0
composepost	composepost-service-sb-esrev0-ctr-869cb4b5ff-clsvv	cp_received	4913263
composepost	composepost-service-sb-esrev0-ctr-869cb4b5ff-clsvv	lp_received	701896
composepost	composepost-service-sb-esrev0-ctr-869cb4b5ff-clsvv	cp_sent	4913263
composepost	composepost-service-sb-esrev0-ctr-869cb4b5ff-clsvv	lp_sent	701896
composepost	composepost-service-sb-esrev0-ctr-869cb4b5ff-clsvv	cp_dropped	0
composepost	composepost-service-sb-esrev0-ctr-869cb4b5ff-clsvv	lp_dropped	0
composepost	composepost-service-sb-esrev0-ctr-869cb4b5ff-clsvv	send_deadline	0
composepost	composepost-service-sb-esrev0-ctr-869cb4b5ff-clsvv	send_unavailable	0
composepost	composepost-service-sb-esrev0-ctr-869cb4b5ff-clsvv	send_exhausted	0
composepost	composepost-service-sb-esrev0-ctr-869cb4b5ff-clsvv	send_canceled	0
composepost	composepost-service-sb-esrev0-ctr-869cb4b5ff-clsvv	send_other	0
composepost	composepost-service-sb-esrev0-ctr-869cb4b5ff-clsvv	hp_buffer_depth	0
composepost	composepost-service-sb-esrev0-ctr-869cb4b5ff-clsvv	lp_buffer_depth	0
hometimeline	hometimeline-service-sb-esrev0-ctr-bd8f457db-hkwvv	spans_received	1403774
hometimeline	hometimeline-service-sb-esrev0-ctr-bd8f457db-hkwvv	spans_flushed	1403774
hometimeline	hometimeline-service-sb-esrev0-ctr-bd8f457db-hkwvv	spans_sent	1403774
hometimeline	hometimeline-service-sb-esrev0-ctr-bd8f457db-hkwvv	batches_sent	16788
hometimeline	hometimeline-service-sb-esrev0-ctr-bd8f457db-hkwvv	spans_dropped	0
hometimeline	hometimeline-service-sb-esrev0-ctr-bd8f457db-hkwvv	batches_dropped	0
hometimeline	hometimeline-service-sb-esrev0-ctr-bd8f457db-hkwvv	cp_received	0
hometimeline	hometimeline-service-sb-esrev0-ctr-bd8f457db-hkwvv	lp_received	1403774
hometimeline	hometimeline-service-sb-esrev0-ctr-bd8f457db-hkwvv	cp_sent	0
hometimeline	hometimeline-service-sb-esrev0-ctr-bd8f457db-hkwvv	lp_sent	1403774
hometimeline	hometimeline-service-sb-esrev0-ctr-bd8f457db-hkwvv	cp_dropped	0
hometimeline	hometimeline-service-sb-esrev0-ctr-bd8f457db-hkwvv	lp_dropped	0
hometimeline	hometimeline-service-sb-esrev0-ctr-bd8f457db-hkwvv	send_deadline	0
hometimeline	hometimeline-service-sb-esrev0-ctr-bd8f457db-hkwvv	send_unavailable	0
hometimeline	hometimeline-service-sb-esrev0-ctr-bd8f457db-hkwvv	send_exhausted	0
hometimeline	hometimeline-service-sb-esrev0-ctr-bd8f457db-hkwvv	send_canceled	0
hometimeline	hometimeline-service-sb-esrev0-ctr-bd8f457db-hkwvv	send_other	0
hometimeline	hometimeline-service-sb-esrev0-ctr-bd8f457db-hkwvv	hp_buffer_depth	0
hometimeline	hometimeline-service-sb-esrev0-ctr-bd8f457db-hkwvv	lp_buffer_depth	0
media	media-service-sb-esrev0-ctr-79c66ddb77-bz4vs	spans_received	701896
media	media-service-sb-esrev0-ctr-79c66ddb77-bz4vs	spans_flushed	701896
media	media-service-sb-esrev0-ctr-79c66ddb77-bz4vs	spans_sent	701896
media	media-service-sb-esrev0-ctr-79c66ddb77-bz4vs	batches_sent	8393
media	media-service-sb-esrev0-ctr-79c66ddb77-bz4vs	spans_dropped	0
media	media-service-sb-esrev0-ctr-79c66ddb77-bz4vs	batches_dropped	0
media	media-service-sb-esrev0-ctr-79c66ddb77-bz4vs	cp_received	701896
media	media-service-sb-esrev0-ctr-79c66ddb77-bz4vs	lp_received	0
media	media-service-sb-esrev0-ctr-79c66ddb77-bz4vs	cp_sent	701896
media	media-service-sb-esrev0-ctr-79c66ddb77-bz4vs	lp_sent	0
media	media-service-sb-esrev0-ctr-79c66ddb77-bz4vs	cp_dropped	0
media	media-service-sb-esrev0-ctr-79c66ddb77-bz4vs	lp_dropped	0
media	media-service-sb-esrev0-ctr-79c66ddb77-bz4vs	send_deadline	0
media	media-service-sb-esrev0-ctr-79c66ddb77-bz4vs	send_unavailable	0
media	media-service-sb-esrev0-ctr-79c66ddb77-bz4vs	send_exhausted	0
media	media-service-sb-esrev0-ctr-79c66ddb77-bz4vs	send_canceled	0
media	media-service-sb-esrev0-ctr-79c66ddb77-bz4vs	send_other	0
media	media-service-sb-esrev0-ctr-79c66ddb77-bz4vs	hp_buffer_depth	0
media	media-service-sb-esrev0-ctr-79c66ddb77-bz4vs	lp_buffer_depth	0
post-storage	post-storage-service-sb-esrev0-ctr-df7545c7d-hrps6	spans_received	701887
post-storage	post-storage-service-sb-esrev0-ctr-df7545c7d-hrps6	spans_flushed	701887
post-storage	post-storage-service-sb-esrev0-ctr-df7545c7d-hrps6	spans_sent	701887
post-storage	post-storage-service-sb-esrev0-ctr-df7545c7d-hrps6	batches_sent	8392
post-storage	post-storage-service-sb-esrev0-ctr-df7545c7d-hrps6	spans_dropped	0
post-storage	post-storage-service-sb-esrev0-ctr-df7545c7d-hrps6	batches_dropped	0
post-storage	post-storage-service-sb-esrev0-ctr-df7545c7d-hrps6	cp_received	701887
post-storage	post-storage-service-sb-esrev0-ctr-df7545c7d-hrps6	lp_received	0
post-storage	post-storage-service-sb-esrev0-ctr-df7545c7d-hrps6	cp_sent	701887
post-storage	post-storage-service-sb-esrev0-ctr-df7545c7d-hrps6	lp_sent	0
post-storage	post-storage-service-sb-esrev0-ctr-df7545c7d-hrps6	cp_dropped	0
post-storage	post-storage-service-sb-esrev0-ctr-df7545c7d-hrps6	lp_dropped	0
post-storage	post-storage-service-sb-esrev0-ctr-df7545c7d-hrps6	send_deadline	0
post-storage	post-storage-service-sb-esrev0-ctr-df7545c7d-hrps6	send_unavailable	0
post-storage	post-storage-service-sb-esrev0-ctr-df7545c7d-hrps6	send_exhausted	0
post-storage	post-storage-service-sb-esrev0-ctr-df7545c7d-hrps6	send_canceled	0
post-storage	post-storage-service-sb-esrev0-ctr-df7545c7d-hrps6	send_other	0
post-storage	post-storage-service-sb-esrev0-ctr-df7545c7d-hrps6	hp_buffer_depth	0
post-storage	post-storage-service-sb-esrev0-ctr-df7545c7d-hrps6	lp_buffer_depth	0
socialgraph	socialgraph-service-sb-esrev0-ctr-588794648c-6jx6b	spans_received	815721
socialgraph	socialgraph-service-sb-esrev0-ctr-588794648c-6jx6b	spans_flushed	815721
socialgraph	socialgraph-service-sb-esrev0-ctr-588794648c-6jx6b	spans_sent	815721
socialgraph	socialgraph-service-sb-esrev0-ctr-588794648c-6jx6b	batches_sent	8882
socialgraph	socialgraph-service-sb-esrev0-ctr-588794648c-6jx6b	spans_dropped	0
socialgraph	socialgraph-service-sb-esrev0-ctr-588794648c-6jx6b	batches_dropped	0
socialgraph	socialgraph-service-sb-esrev0-ctr-588794648c-6jx6b	cp_received	778097
socialgraph	socialgraph-service-sb-esrev0-ctr-588794648c-6jx6b	lp_received	37624
socialgraph	socialgraph-service-sb-esrev0-ctr-588794648c-6jx6b	cp_sent	778097
