pod	metric	value
otelcol-sb-esrev0-ctr-cz6xj	otelcol_processor_batch_batch_send_size_sum	2452605
otelcol-sb-esrev0-ctr-cz6xj	otelcol_exporter_queue_batch_send_size_sum	2452605
otelcol-sb-esrev0-ctr-cz6xj	otelcol_processor_batch_timeout_trigger_send	8529
otelcol-sb-esrev0-ctr-cz6xj	otelcol_receiver_refused_spans	0
otelcol-sb-esrev0-ctr-cz6xj	otelcol_receiver_failed_spans	0
otelcol-sb-esrev0-ctr-cz6xj	otelcol_processor_outgoing_items	2452605
otelcol-sb-esrev0-ctr-cz6xj	otelcol_process_uptime	2274
otelcol-sb-esrev0-ctr-cz6xj	otelcol_exporter_send_failed_spans	0
otelcol-sb-esrev0-ctr-cz6xj	otelcol_exporter_queue_size	1
otelcol-sb-esrev0-ctr-cz6xj	otelcol_receiver_accepted_spans	2452605
otelcol-sb-esrev0-ctr-cz6xj	otelcol_process_runtime_heap_alloc_bytes	29184272
otelcol-sb-esrev0-ctr-cz6xj	otelcol_process_memory_rss	228134912
otelcol-sb-esrev0-ctr-cz6xj	otelcol_processor_accepted_spans	2452605
otelcol-sb-esrev0-ctr-cz6xj	otelcol_exporter_queue_capacity	1000
otelcol-sb-esrev0-ctr-cz6xj	otelcol_process_runtime_total_alloc_bytes	2253561392
otelcol-sb-esrev0-ctr-cz6xj	otelcol_processor_batch_metadata_cardinality	1
otelcol-sb-esrev0-ctr-cz6xj	otelcol_processor_incoming_items	2452605
otelcol-sb-esrev0-ctr-cz6xj	otelcol_process_runtime_total_sys_memory_bytes	119195928
otelcol-sb-esrev0-ctr-cz6xj	otelcol_process_cpu_seconds	92
otelcol-sb-esrev0-ctr-cz6xj	otelcol_exporter_sent_spans	2452117
otelcol-sb-esrev0-ctr-kztcf	otelcol_exporter_send_failed_spans	0
otelcol-sb-esrev0-ctr-kztcf	otelcol_processor_outgoing_items	479983
otelcol-sb-esrev0-ctr-kztcf	otelcol_exporter_queue_capacity	1000
otelcol-sb-esrev0-ctr-kztcf	otelcol_processor_batch_metadata_cardinality	1
otelcol-sb-esrev0-ctr-kztcf	otelcol_receiver_refused_spans	0
otelcol-sb-esrev0-ctr-kztcf	otelcol_processor_batch_timeout_trigger_send	8525
otelcol-sb-esrev0-ctr-kztcf	otelcol_process_runtime_total_sys_memory_bytes	76806408
otelcol-sb-esrev0-ctr-kztcf	otelcol_process_cpu_seconds	80
otelcol-sb-esrev0-ctr-kztcf	otelcol_processor_accepted_spans	479983
otelcol-sb-esrev0-ctr-kztcf	otelcol_process_memory_rss	211812352
otelcol-sb-esrev0-ctr-kztcf	otelcol_exporter_sent_spans	479799
otelcol-sb-esrev0-ctr-kztcf	otelcol_process_uptime	2272
otelcol-sb-esrev0-ctr-kztcf	otelcol_processor_batch_batch_send_size_sum	479983
otelcol-sb-esrev0-ctr-kztcf	otelcol_exporter_queue_batch_send_size_sum	479983
otelcol-sb-esrev0-ctr-kztcf	otelcol_process_runtime_total_alloc_bytes	1050650088
otelcol-sb-esrev0-ctr-kztcf	otelcol_exporter_queue_size	2
