phase	time	jaeger_cpu	jaeger_mem	es_cpu	es_mem
running	0s	3733m	977Mi	11990m	27707Mi
running	10s	3632m	720Mi	14083m	28756Mi
running	21s	3632m	720Mi	14083m	28756Mi
running	31s		
running	41s		
running	51s	415m	31Mi	3886m	27768Mi
running	62s	415m	31Mi	3886m	27768Mi
running	72s	905m	42Mi	3420m	28063Mi
running	82s	784m	43Mi	2727m	28115Mi
running	92s	784m	43Mi	2727m	28115Mi
running	102s	802m	43Mi	2844m	28252Mi
running	113s	4110m	372Mi	8331m	28998Mi
running	123s	4110m	372Mi	8331m	28998Mi
running	133s	4648m	410Mi	12085m	27983Mi
running	143s	4798m	414Mi	12207m	27113Mi
running	153s	4798m	414Mi	12207m	27113Mi
running	164s	4875m	363Mi	13122m	28340Mi
running	174s	1389m	251Mi	4179m	27697Mi
running	184s	1389m	251Mi	4179m	27697Mi
running	194s	2938m	480Mi	5645m	28195Mi
running	205s	4351m	708Mi	8202m	27691Mi
running	215s	4676m	857Mi	10515m	28379Mi
running	225s	4676m	857Mi	10515m	28379Mi
running	235s	4309m	979Mi	12831m	29097Mi
running	245s	4195m	1252Mi	12257m	30202Mi
running	256s	4195m	1252Mi	12257m	30202Mi
running	266s	3575m	1203Mi	11205m	30481Mi
running	276s	3684m	1090Mi	11145m	30140Mi
running	286s	3684m	1090Mi	11145m	30140Mi
running	297s	3951m	993Mi	12350m	31291Mi
running	307s	3914m	860Mi	12140m	31131Mi
running	317s	3914m	860Mi	12140m	31131Mi
running	327s	5246m	979Mi	15290m	32246Mi
running	337s	3396m	1056Mi	10788m	33495Mi
running	348s	3396m	1056Mi	10788m	33495Mi
running	358s	3668m	1085Mi	12155m	33195Mi
running	368s	4107m	1109Mi	12616m	33387Mi
running	378s	4107m	1109Mi	12616m	33387Mi
running	388s	3521m	987Mi	12099m	33872Mi
running	399s	4356m	891Mi	13218m	33538Mi
running	409s	4356m	891Mi	13218m	33538Mi
running	419s	4139m	1023Mi	10748m	34791Mi
running	429s	3533m	1014Mi	8316m	33001Mi
running	440s	3732m	994Mi	10143m	33593Mi
running	450s	3732m	994Mi	10143m	33593Mi
running	460s	4243m	992Mi	13935m	33173Mi
running	470s	4445m	894Mi	13703m	33637Mi
running	480s	4445m	894Mi	13703m	33637Mi
