pod	metric	value
otelcol-sb-esrev0-ctr-cz6xj	otelcol_processor_batch_batch_send_size_sum	2606200
otelcol-sb-esrev0-ctr-cz6xj	otelcol_exporter_queue_batch_send_size_sum	2606200
otelcol-sb-esrev0-ctr-cz6xj	otelcol_processor_batch_timeout_trigger_send	9128
otelcol-sb-esrev0-ctr-cz6xj	otelcol_receiver_refused_spans	0
otelcol-sb-esrev0-ctr-cz6xj	otelcol_receiver_failed_spans	0
otelcol-sb-esrev0-ctr-cz6xj	otelcol_processor_outgoing_items	2606200
otelcol-sb-esrev0-ctr-cz6xj	otelcol_process_uptime	2447
otelcol-sb-esrev0-ctr-cz6xj	otelcol_exporter_send_failed_spans	0
otelcol-sb-esrev0-ctr-cz6xj	otelcol_exporter_queue_size	0
otelcol-sb-esrev0-ctr-cz6xj	otelcol_receiver_accepted_spans	2606200
otelcol-sb-esrev0-ctr-cz6xj	otelcol_process_runtime_heap_alloc_bytes	42262688
otelcol-sb-esrev0-ctr-cz6xj	otelcol_process_memory_rss	222515200
otelcol-sb-esrev0-ctr-cz6xj	otelcol_processor_accepted_spans	2606200
otelcol-sb-esrev0-ctr-cz6xj	otelcol_exporter_queue_capacity	1000
otelcol-sb-esrev0-ctr-cz6xj	otelcol_process_runtime_total_alloc_bytes	2406144768
otelcol-sb-esrev0-ctr-cz6xj	otelcol_processor_batch_metadata_cardinality	1
otelcol-sb-esrev0-ctr-cz6xj	otelcol_processor_incoming_items	2606200
otelcol-sb-esrev0-ctr-cz6xj	otelcol_process_runtime_total_sys_memory_bytes	119195928
otelcol-sb-esrev0-ctr-cz6xj	otelcol_process_cpu_seconds	98
otelcol-sb-esrev0-ctr-cz6xj	otelcol_exporter_sent_spans	2606200
otelcol-sb-esrev0-ctr-kztcf	otelcol_exporter_send_failed_spans	0
otelcol-sb-esrev0-ctr-kztcf	otelcol_processor_outgoing_items	507583
otelcol-sb-esrev0-ctr-kztcf	otelcol_exporter_queue_capacity	1000
otelcol-sb-esrev0-ctr-kztcf	otelcol_processor_batch_metadata_cardinality	1
otelcol-sb-esrev0-ctr-kztcf	otelcol_receiver_refused_spans	0
otelcol-sb-esrev0-ctr-kztcf	otelcol_processor_batch_timeout_trigger_send	9124
otelcol-sb-esrev0-ctr-kztcf	otelcol_process_runtime_total_sys_memory_bytes	76806408
otelcol-sb-esrev0-ctr-kztcf	otelcol_process_cpu_seconds	85
otelcol-sb-esrev0-ctr-kztcf	otelcol_processor_accepted_spans	507583
otelcol-sb-esrev0-ctr-kztcf	otelcol_process_memory_rss	209846272
otelcol-sb-esrev0-ctr-kztcf	otelcol_exporter_sent_spans	507583
otelcol-sb-esrev0-ctr-kztcf	otelcol_process_uptime	2446
otelcol-sb-esrev0-ctr-kztcf	otelcol_processor_batch_batch_send_size_sum	507583
otelcol-sb-esrev0-ctr-kztcf	otelcol_exporter_queue_batch_send_size_sum	507583
otelcol-sb-esrev0-ctr-kztcf	otelcol_process_runtime_total_alloc_bytes	1116867056
otelcol-sb-esrev0-ctr-kztcf	otelcol_exporter_queue_size	0
otelcol-sb-esrev0-ctr-kztcf	otelcol_receiver_failed_spans	0
otelcol-sb-esrev0-ctr-kztcf	otelcol_process_runtime_heap_alloc_bytes	34115264
otelcol-sb-esrev0-ctr-kztcf	otelcol_receiver_accepted_spans	507583
otelcol-sb-esrev0-ctr-kztcf	otelcol_processor_incoming_items	507583
otelcol-sb-esrev0-ctr-7csdw	otelcol_receiver_failed_spans	0
otelcol-sb-esrev0-ctr-7csdw	otelcol_processor_outgoing_items	4725003
otelcol-sb-esrev0-ctr-7csdw	otelcol_processor_batch_metadata_cardinality	1
otelcol-sb-esrev0-ctr-7csdw	otelcol_process_uptime	2447
otelcol-sb-esrev0-ctr-7csdw	otelcol_process_runtime_total_sys_memory_bytes	165730600
otelcol-sb-esrev0-ctr-7csdw	otelcol_exporter_sent_spans	4725003
otelcol-sb-esrev0-ctr-7csdw	otelcol_processor_batch_batch_send_size_sum	4725003
otelcol-sb-esrev0-ctr-7csdw	otelcol_process_runtime_total_alloc_bytes	3711423224
otelcol-sb-esrev0-ctr-7csdw	otelcol_receiver_accepted_spans	4725003
otelcol-sb-esrev0-ctr-7csdw	otelcol_exporter_queue_batch_send_size_sum	4725003
otelcol-sb-esrev0-ctr-7csdw	otelcol_processor_batch_timeout_trigger_send	9139
otelcol-sb-esrev0-ctr-7csdw	otelcol_processor_accepted_spans	4725003
otelcol-sb-esrev0-ctr-7csdw	otelcol_process_memory_rss	227549184
otelcol-sb-esrev0-ctr-7csdw	otelcol_exporter_queue_capacity	1000
otelcol-sb-esrev0-ctr-7csdw	otelcol_exporter_queue_size	0
otelcol-sb-esrev0-ctr-7csdw	otelcol_process_runtime_heap_alloc_bytes	50503616
otelcol-sb-esrev0-ctr-7csdw	otelcol_exporter_send_failed_spans	0
otelcol-sb-esrev0-ctr-7csdw	otelcol_receiver_refused_spans	0
otelcol-sb-esrev0-ctr-7csdw	otelcol_processor_incoming_items	4725003
otelcol-sb-esrev0-ctr-7csdw	otelcol_process_cpu_seconds	129
otelcol-sb-esrev0-ctr-bcb6p	otelcol_processor_incoming_items	9094423
otelcol-sb-esrev0-ctr-bcb6p	otelcol_processor_batch_metadata_cardinality	1
otelcol-sb-esrev0-ctr-bcb6p	otelcol_process_memory_rss	233787392
otelcol-sb-esrev0-ctr-bcb6p	otelcol_processor_batch_timeout_trigger_send	9106
otelcol-sb-esrev0-ctr-bcb6p	otelcol_exporter_queue_batch_send_size_sum	9018709
otelcol-sb-esrev0-ctr-bcb6p	otelcol_receiver_accepted_spans	9018709
otelcol-sb-esrev0-ctr-bcb6p	otelcol_receiver_refused_spans	75714
otelcol-sb-esrev0-ctr-bcb6p	otelcol_processor_batch_batch_send_size_sum	9018709
otelcol-sb-esrev0-ctr-bcb6p	otelcol_process_runtime_total_alloc_bytes	6270024576
otelcol-sb-esrev0-ctr-bcb6p	otelcol_process_runtime_heap_alloc_bytes	49383608
otelcol-sb-esrev0-ctr-bcb6p	otelcol_process_cpu_seconds	182
otelcol-sb-esrev0-ctr-bcb6p	otelcol_exporter_queue_capacity	1000
otelcol-sb-esrev0-ctr-bcb6p	otelcol_exporter_sent_spans	9018709
otelcol-sb-esrev0-ctr-bcb6p	otelcol_processor_outgoing_items	9018709
otelcol-sb-esrev0-ctr-bcb6p	otelcol_process_runtime_total_sys_memory_bytes	202500408
otelcol-sb-esrev0-ctr-bcb6p	otelcol_exporter_send_failed_spans	0
otelcol-sb-esrev0-ctr-bcb6p	otelcol_process_uptime	2443
otelcol-sb-esrev0-ctr-bcb6p	otelcol_processor_accepted_spans	9018709
otelcol-sb-esrev0-ctr-bcb6p	otelcol_exporter_queue_size	0
otelcol-sb-esrev0-ctr-bcb6p	otelcol_receiver_failed_spans	0
otelcol-sb-esrev0-ctr-bcb6p	otelcol_processor_refused_spans	75714
otelcol-sb-esrev0-ctr-5xfg9	otelcol_process_uptime	2450
otelcol-sb-esrev0-ctr-5xfg9	otelcol_receiver_refused_spans	0
otelcol-sb-esrev0-ctr-5xfg9	otelcol_process_cpu_seconds	90
otelcol-sb-esrev0-ctr-5xfg9	otelcol_processor_outgoing_items	2722419
otelcol-sb-esrev0-ctr-5xfg9	otelcol_exporter_sent_spans	2722419
otelcol-sb-esrev0-ctr-5xfg9	otelcol_receiver_accepted_spans	2722419
otelcol-sb-esrev0-ctr-5xfg9	otelcol_processor_batch_batch_send_size_sum	2722419
otelcol-sb-esrev0-ctr-5xfg9	otelcol_process_runtime_total_alloc_bytes	2465310008
otelcol-sb-esrev0-ctr-5xfg9	otelcol_processor_accepted_spans	2722419
otelcol-sb-esrev0-ctr-5xfg9	otelcol_exporter_queue_capacity	1000
otelcol-sb-esrev0-ctr-5xfg9	otelcol_processor_batch_metadata_cardinality	1
otelcol-sb-esrev0-ctr-5xfg9	otelcol_exporter_send_failed_spans	0
otelcol-sb-esrev0-ctr-5xfg9	otelcol_exporter_queue_size	0
otelcol-sb-esrev0-ctr-5xfg9	otelcol_processor_batch_timeout_trigger_send	9156
otelcol-sb-esrev0-ctr-5xfg9	otelcol_process_runtime_total_sys_memory_bytes	101538088
otelcol-sb-esrev0-ctr-5xfg9	otelcol_exporter_queue_batch_send_size_sum	2722419
otelcol-sb-esrev0-ctr-5xfg9	otelcol_receiver_failed_spans	0
otelcol-sb-esrev0-ctr-5xfg9	otelcol_processor_incoming_items	2722419
otelcol-sb-esrev0-ctr-5xfg9	otelcol_process_runtime_heap_alloc_bytes	37688984
otelcol-sb-esrev0-ctr-5xfg9	otelcol_process_memory_rss	223059968
otelcol-sb-esrev0-ctr-5jwn5	otelcol_processor_batch_metadata_cardinality	1
otelcol-sb-esrev0-ctr-5jwn5	otelcol_processor_batch_timeout_trigger_send	9136
otelcol-sb-esrev0-ctr-5jwn5	otelcol_processor_batch_batch_send_size_sum	2600194
otelcol-sb-esrev0-ctr-5jwn5	otelcol_processor_accepted_spans	2600194
otelcol-sb-esrev0-ctr-5jwn5	otelcol_exporter_sent_spans	2600194
otelcol-sb-esrev0-ctr-5jwn5	otelcol_receiver_failed_spans	0
otelcol-sb-esrev0-ctr-5jwn5	otelcol_process_uptime	2447
otelcol-sb-esrev0-ctr-5jwn5	otelcol_process_runtime_heap_alloc_bytes	44802712
otelcol-sb-esrev0-ctr-5jwn5	otelcol_exporter_queue_size	0
otelcol-sb-esrev0-ctr-5jwn5	otelcol_process_runtime_total_alloc_bytes	2440965232
otelcol-sb-esrev0-ctr-5jwn5	otelcol_exporter_queue_batch_send_size_sum	2600194
otelcol-sb-esrev0-ctr-5jwn5	otelcol_process_memory_rss	225411072
otelcol-sb-esrev0-ctr-5jwn5	otelcol_processor_incoming_items	2600194
otelcol-sb-esrev0-ctr-5jwn5	otelcol_process_cpu_seconds	97
otelcol-sb-esrev0-ctr-5jwn5	otelcol_receiver_accepted_spans	2600194
otelcol-sb-esrev0-ctr-5jwn5	otelcol_exporter_send_failed_spans	0
otelcol-sb-esrev0-ctr-5jwn5	otelcol_receiver_refused_spans	0
otelcol-sb-esrev0-ctr-5jwn5	otelcol_processor_outgoing_items	2600194
otelcol-sb-esrev0-ctr-5jwn5	otelcol_process_runtime_total_sys_memory_bytes	107530520
otelcol-sb-esrev0-ctr-5jwn5	otelcol_exporter_queue_capacity	1000
otelcol-sb-esrev0-ctr-9lbdz	otelcol_processor_batch_metadata_cardinality	1
otelcol-sb-esrev0-ctr-9lbdz	otelcol_exporter_sent_spans	2597321
otelcol-sb-esrev0-ctr-9lbdz	otelcol_processor_batch_timeout_trigger_send	9140
otelcol-sb-esrev0-ctr-9lbdz	otelcol_exporter_queue_batch_send_size_sum	2597321
otelcol-sb-esrev0-ctr-9lbdz	otelcol_processor_outgoing_items	2597321
otelcol-sb-esrev0-ctr-9lbdz	otelcol_receiver_refused_spans	0
otelcol-sb-esrev0-ctr-9lbdz	otelcol_process_runtime_total_alloc_bytes	2409342376
otelcol-sb-esrev0-ctr-9lbdz	otelcol_process_memory_rss	220467200
otelcol-sb-esrev0-ctr-9lbdz	otelcol_exporter_send_failed_spans	0
otelcol-sb-esrev0-ctr-9lbdz	otelcol_exporter_queue_size	0
otelcol-sb-esrev0-ctr-9lbdz	otelcol_processor_batch_batch_send_size_sum	2597321
otelcol-sb-esrev0-ctr-9lbdz	otelcol_processor_accepted_spans	2597321
otelcol-sb-esrev0-ctr-9lbdz	otelcol_process_runtime_total_sys_memory_bytes	102025496
otelcol-sb-esrev0-ctr-9lbdz	otelcol_process_runtime_heap_alloc_bytes	41988704
otelcol-sb-esrev0-ctr-9lbdz	otelcol_process_cpu_seconds	95
otelcol-sb-esrev0-ctr-9lbdz	otelcol_receiver_failed_spans	0
otelcol-sb-esrev0-ctr-9lbdz	otelcol_receiver_accepted_spans	2597321
otelcol-sb-esrev0-ctr-9lbdz	otelcol_processor_incoming_items	2597321
otelcol-sb-esrev0-ctr-9lbdz	otelcol_process_uptime	2442
otelcol-sb-esrev0-ctr-9lbdz	otelcol_exporter_queue_capacity	1000
otelcol-sb-esrev0-ctr-khk2c	otelcol_processor_batch_batch_send_size_sum	20234612
otelcol-sb-esrev0-ctr-khk2c	otelcol_process_uptime	2439
otelcol-sb-esrev0-ctr-khk2c	otelcol_exporter_sent_spans	20234612
otelcol-sb-esrev0-ctr-khk2c	otelcol_exporter_queue_capacity	1000
otelcol-sb-esrev0-ctr-khk2c	otelcol_processor_outgoing_items	20234612
otelcol-sb-esrev0-ctr-khk2c	otelcol_processor_batch_timeout_trigger_send	8771
otelcol-sb-esrev0-ctr-khk2c	otelcol_process_runtime_total_alloc_bytes	17295907752
otelcol-sb-esrev0-ctr-khk2c	otelcol_exporter_queue_size	0
otelcol-sb-esrev0-ctr-khk2c	otelcol_processor_accepted_spans	20234612
otelcol-sb-esrev0-ctr-khk2c	otelcol_receiver_failed_spans	0
otelcol-sb-esrev0-ctr-khk2c	otelcol_processor_refused_spans	1563266
otelcol-sb-esrev0-ctr-khk2c	otelcol_process_runtime_heap_alloc_bytes	62995120
otelcol-sb-esrev0-ctr-khk2c	otelcol_receiver_refused_spans	1563266
otelcol-sb-esrev0-ctr-khk2c	otelcol_processor_incoming_items	21797878
otelcol-sb-esrev0-ctr-khk2c	otelcol_receiver_accepted_spans	20234612
otelcol-sb-esrev0-ctr-khk2c	otelcol_processor_batch_metadata_cardinality	1
otelcol-sb-esrev0-ctr-khk2c	otelcol_exporter_send_failed_spans	0
otelcol-sb-esrev0-ctr-khk2c	otelcol_process_runtime_total_sys_memory_bytes	219146552
otelcol-sb-esrev0-ctr-khk2c	otelcol_process_memory_rss	252207104
otelcol-sb-esrev0-ctr-khk2c	otelcol_process_cpu_seconds	363
otelcol-sb-esrev0-ctr-khk2c	otelcol_exporter_queue_batch_send_size_sum	20234612
otelcol-sb-esrev0-ctr-q582r	otelcol_receiver_failed_spans	0
otelcol-sb-esrev0-ctr-q582r	otelcol_exporter_sent_spans	2597807
otelcol-sb-esrev0-ctr-q582r	otelcol_receiver_refused_spans	0
otelcol-sb-esrev0-ctr-q582r	otelcol_exporter_send_failed_spans	0
otelcol-sb-esrev0-ctr-q582r	otelcol_receiver_accepted_spans	2597807
otelcol-sb-esrev0-ctr-q582r	otelcol_processor_incoming_items	2597807
otelcol-sb-esrev0-ctr-q582r	otelcol_processor_batch_batch_send_size_sum	2597807
otelcol-sb-esrev0-ctr-q582r	otelcol_process_memory_rss	222601216
otelcol-sb-esrev0-ctr-q582r	otelcol_process_runtime_total_sys_memory_bytes	94120216
otelcol-sb-esrev0-ctr-q582r	otelcol_exporter_queue_capacity	1000
