service	pod	key	value
wrk2api	wrk2api-service-sb-esrev0-ctr-875xz	spans_received	36043
wrk2api	wrk2api-service-sb-esrev0-ctr-875xz	spans_flushed	36043
wrk2api	wrk2api-service-sb-esrev0-ctr-875xz	spans_sent	36043
wrk2api	wrk2api-service-sb-esrev0-ctr-875xz	batches_sent	2850
wrk2api	wrk2api-service-sb-esrev0-ctr-875xz	spans_dropped	0
wrk2api	wrk2api-service-sb-esrev0-ctr-875xz	batches_dropped	0
wrk2api	wrk2api-service-sb-esrev0-ctr-875xz	cp_received	18021
wrk2api	wrk2api-service-sb-esrev0-ctr-875xz	lp_received	18022
wrk2api	wrk2api-service-sb-esrev0-ctr-875xz	cp_sent	18021
wrk2api	wrk2api-service-sb-esrev0-ctr-875xz	lp_sent	18022
wrk2api	wrk2api-service-sb-esrev0-ctr-875xz	cp_dropped	0
wrk2api	wrk2api-service-sb-esrev0-ctr-875xz	lp_dropped	0
wrk2api	wrk2api-service-sb-esrev0-ctr-875xz	send_deadline	0
wrk2api	wrk2api-service-sb-esrev0-ctr-875xz	send_unavailable	0
wrk2api	wrk2api-service-sb-esrev0-ctr-875xz	send_exhausted	0
wrk2api	wrk2api-service-sb-esrev0-ctr-875xz	send_canceled	0
wrk2api	wrk2api-service-sb-esrev0-ctr-875xz	send_other	0
wrk2api	wrk2api-service-sb-esrev0-ctr-875xz	hp_buffer_depth	0
wrk2api	wrk2api-service-sb-esrev0-ctr-875xz	lp_buffer_depth	0
composepost	composepost-service-sb-esrev0-ctr-869cb4b5ff-5p264	spans_received	1005559
composepost	composepost-service-sb-esrev0-ctr-869cb4b5ff-5p264	spans_flushed	1005559
composepost	composepost-service-sb-esrev0-ctr-869cb4b5ff-5p264	spans_sent	1005559
composepost	composepost-service-sb-esrev0-ctr-869cb4b5ff-5p264	batches_sent	9549
composepost	composepost-service-sb-esrev0-ctr-869cb4b5ff-5p264	spans_dropped	0
composepost	composepost-service-sb-esrev0-ctr-869cb4b5ff-5p264	batches_dropped	0
composepost	composepost-service-sb-esrev0-ctr-869cb4b5ff-5p264	cp_received	879863
composepost	composepost-service-sb-esrev0-ctr-869cb4b5ff-5p264	lp_received	125696
composepost	composepost-service-sb-esrev0-ctr-869cb4b5ff-5p264	cp_sent	879863
composepost	composepost-service-sb-esrev0-ctr-869cb4b5ff-5p264	lp_sent	125696
composepost	composepost-service-sb-esrev0-ctr-869cb4b5ff-5p264	cp_dropped	0
composepost	composepost-service-sb-esrev0-ctr-869cb4b5ff-5p264	lp_dropped	0
composepost	composepost-service-sb-esrev0-ctr-869cb4b5ff-5p264	send_deadline	0
composepost	composepost-service-sb-esrev0-ctr-869cb4b5ff-5p264	send_unavailable	0
composepost	composepost-service-sb-esrev0-ctr-869cb4b5ff-5p264	send_exhausted	0
composepost	composepost-service-sb-esrev0-ctr-869cb4b5ff-5p264	send_canceled	0
composepost	composepost-service-sb-esrev0-ctr-869cb4b5ff-5p264	send_other	0
composepost	composepost-service-sb-esrev0-ctr-869cb4b5ff-5p264	hp_buffer_depth	0
composepost	composepost-service-sb-esrev0-ctr-869cb4b5ff-5p264	lp_buffer_depth	0
hometimeline	hometimeline-service-sb-esrev0-ctr-bd8f457db-9qrmf	spans_received	251374
hometimeline	hometimeline-service-sb-esrev0-ctr-bd8f457db-9qrmf	spans_flushed	251374
hometimeline	hometimeline-service-sb-esrev0-ctr-bd8f457db-9qrmf	spans_sent	251374
hometimeline	hometimeline-service-sb-esrev0-ctr-bd8f457db-9qrmf	batches_sent	2386
hometimeline	hometimeline-service-sb-esrev0-ctr-bd8f457db-9qrmf	spans_dropped	0
hometimeline	hometimeline-service-sb-esrev0-ctr-bd8f457db-9qrmf	batches_dropped	0
hometimeline	hometimeline-service-sb-esrev0-ctr-bd8f457db-9qrmf	cp_received	0
hometimeline	hometimeline-service-sb-esrev0-ctr-bd8f457db-9qrmf	lp_received	251374
hometimeline	hometimeline-service-sb-esrev0-ctr-bd8f457db-9qrmf	cp_sent	0
hometimeline	hometimeline-service-sb-esrev0-ctr-bd8f457db-9qrmf	lp_sent	251374
hometimeline	hometimeline-service-sb-esrev0-ctr-bd8f457db-9qrmf	cp_dropped	0
hometimeline	hometimeline-service-sb-esrev0-ctr-bd8f457db-9qrmf	lp_dropped	0
hometimeline	hometimeline-service-sb-esrev0-ctr-bd8f457db-9qrmf	send_deadline	0
hometimeline	hometimeline-service-sb-esrev0-ctr-bd8f457db-9qrmf	send_unavailable	0
hometimeline	hometimeline-service-sb-esrev0-ctr-bd8f457db-9qrmf	send_exhausted	0
hometimeline	hometimeline-service-sb-esrev0-ctr-bd8f457db-9qrmf	send_canceled	0
hometimeline	hometimeline-service-sb-esrev0-ctr-bd8f457db-9qrmf	send_other	0
hometimeline	hometimeline-service-sb-esrev0-ctr-bd8f457db-9qrmf	hp_buffer_depth	0
hometimeline	hometimeline-service-sb-esrev0-ctr-bd8f457db-9qrmf	lp_buffer_depth	0
media	media-service-sb-esrev0-ctr-79c66ddb77-jbtz9	spans_received	125696
media	media-service-sb-esrev0-ctr-79c66ddb77-jbtz9	spans_flushed	125696
media	media-service-sb-esrev0-ctr-79c66ddb77-jbtz9	spans_sent	125696
media	media-service-sb-esrev0-ctr-79c66ddb77-jbtz9	batches_sent	1194
media	media-service-sb-esrev0-ctr-79c66ddb77-jbtz9	spans_dropped	0
media	media-service-sb-esrev0-ctr-79c66ddb77-jbtz9	batches_dropped	0
media	media-service-sb-esrev0-ctr-79c66ddb77-jbtz9	cp_received	125696
media	media-service-sb-esrev0-ctr-79c66ddb77-jbtz9	lp_received	0
media	media-service-sb-esrev0-ctr-79c66ddb77-jbtz9	cp_sent	125696
media	media-service-sb-esrev0-ctr-79c66ddb77-jbtz9	lp_sent	0
media	media-service-sb-esrev0-ctr-79c66ddb77-jbtz9	cp_dropped	0
media	media-service-sb-esrev0-ctr-79c66ddb77-jbtz9	lp_dropped	0
media	media-service-sb-esrev0-ctr-79c66ddb77-jbtz9	send_deadline	0
media	media-service-sb-esrev0-ctr-79c66ddb77-jbtz9	send_unavailable	0
media	media-service-sb-esrev0-ctr-79c66ddb77-jbtz9	send_exhausted	0
media	media-service-sb-esrev0-ctr-79c66ddb77-jbtz9	send_canceled	0
media	media-service-sb-esrev0-ctr-79c66ddb77-jbtz9	send_other	0
media	media-service-sb-esrev0-ctr-79c66ddb77-jbtz9	hp_buffer_depth	0
media	media-service-sb-esrev0-ctr-79c66ddb77-jbtz9	lp_buffer_depth	0
post-storage	post-storage-service-sb-esrev0-ctr-df7545c7d-xmtzb	spans_received	125687
post-storage	post-storage-service-sb-esrev0-ctr-df7545c7d-xmtzb	spans_flushed	125687
post-storage	post-storage-service-sb-esrev0-ctr-df7545c7d-xmtzb	spans_sent	125687
post-storage	post-storage-service-sb-esrev0-ctr-df7545c7d-xmtzb	batches_sent	1192
post-storage	post-storage-service-sb-esrev0-ctr-df7545c7d-xmtzb	spans_dropped	0
post-storage	post-storage-service-sb-esrev0-ctr-df7545c7d-xmtzb	batches_dropped	0
post-storage	post-storage-service-sb-esrev0-ctr-df7545c7d-xmtzb	cp_received	125687
post-storage	post-storage-service-sb-esrev0-ctr-df7545c7d-xmtzb	lp_received	0
post-storage	post-storage-service-sb-esrev0-ctr-df7545c7d-xmtzb	cp_sent	125687
post-storage	post-storage-service-sb-esrev0-ctr-df7545c7d-xmtzb	lp_sent	0
post-storage	post-storage-service-sb-esrev0-ctr-df7545c7d-xmtzb	cp_dropped	0
post-storage	post-storage-service-sb-esrev0-ctr-df7545c7d-xmtzb	lp_dropped	0
post-storage	post-storage-service-sb-esrev0-ctr-df7545c7d-xmtzb	send_deadline	0
post-storage	post-storage-service-sb-esrev0-ctr-df7545c7d-xmtzb	send_unavailable	0
post-storage	post-storage-service-sb-esrev0-ctr-df7545c7d-xmtzb	send_exhausted	0
post-storage	post-storage-service-sb-esrev0-ctr-df7545c7d-xmtzb	send_canceled	0
post-storage	post-storage-service-sb-esrev0-ctr-df7545c7d-xmtzb	send_other	0
post-storage	post-storage-service-sb-esrev0-ctr-df7545c7d-xmtzb	hp_buffer_depth	0
post-storage	post-storage-service-sb-esrev0-ctr-df7545c7d-xmtzb	lp_buffer_depth	0
socialgraph	socialgraph-service-sb-esrev0-ctr-588794648c-hv9rv	spans_received	239521
