phase	time	jaeger_cpu	jaeger_mem	es_cpu	es_mem	col_cpu	col_mem
running	0s	1348m	82Mi	1801m	8263Mi	43m	68Mi
26m	60Mi
26m	59Mi
29m	59Mi
35m	61Mi
30m	58Mi
28m	59Mi
73m	76Mi
36m	54Mi
running	10s		218m	8274Mi	11m	68Mi
10m	60Mi
9m	59Mi
8m	59Mi
9m	61Mi
9m	58Mi
9m	59Mi
13m	76Mi
11m	54Mi
running	21s		218m	8274Mi	11m	68Mi
10m	60Mi
9m	59Mi
8m	59Mi
9m	61Mi
9m	58Mi
9m	59Mi
13m	76Mi
11m	54Mi
running	31s	875m	37Mi	895m	8310Mi	55m	68Mi
42m	61Mi
38m	60Mi
37m	59Mi
52m	61Mi
39m	58Mi
41m	59Mi
77m	68Mi
45m	54Mi
running	41s	887m	41Mi	883m	8345Mi	53m	68Mi
37m	60Mi
36m	60Mi
39m	60Mi
45m	62Mi
43m	62Mi
36m	59Mi
79m	71Mi
45m	54Mi
running	52s	910m	37Mi	899m	8380Mi	58m	63Mi
39m	58Mi
39m	60Mi
43m	59Mi
46m	60Mi
41m	63Mi
41m	63Mi
80m	68Mi
55m	54Mi
running	62s	910m	37Mi	899m	8380Mi	58m	63Mi
39m	58Mi
39m	60Mi
43m	59Mi
46m	60Mi
41m	63Mi
41m	63Mi
80m	68Mi
55m	54Mi
running	72s	1301m	266Mi	1313m	8444Mi	60m	64Mi
42m	61Mi
38m	61Mi
39m	60Mi
46m	60Mi
47m	62Mi
40m	65Mi
99m	74Mi
45m	55Mi
running	83s	5237m	351Mi	9542m	9349Mi	111m	70Mi
62m	60Mi
61m	65Mi
63m	63Mi
84m	62Mi
66m	67Mi
65m	65Mi
251m	85Mi
45m	55Mi
running	93s	5237m	351Mi	9542m	9349Mi	111m	70Mi
62m	60Mi
61m	65Mi
63m	63Mi
84m	62Mi
66m	67Mi
65m	65Mi
251m	85Mi
45m	55Mi
running	103s	5279m	355Mi	11093m	10489Mi	114m	71Mi
58m	71Mi
58m	67Mi
65m	66Mi
90m	67Mi
65m	68Mi
64m	67Mi
254m	73Mi
41m	55Mi
running	114s	5279m	364Mi	11210m	11507Mi	112m	72Mi
57m	71Mi
55m	67Mi
61m	66Mi
82m	68Mi
63m	66Mi
63m	66Mi
250m	79Mi
40m	55Mi
running	124s	5279m	364Mi	11210m	11507Mi	112m	72Mi
57m	71Mi
55m	67Mi
61m	66Mi
82m	68Mi
63m	66Mi
63m	66Mi
250m	79Mi
40m	55Mi
running	134s	4455m	367Mi	12203m	12760Mi	103m	72Mi
52m	72Mi
54m	67Mi
57m	66Mi
79m	72Mi
58m	66Mi
57m	66Mi
229m	81Mi
42m	58Mi
running	145s	250m	88Mi	4993m	9952Mi	6m	72Mi
6m	72Mi
6m	67Mi
7m	66Mi
5m	72Mi
6m	66Mi
7m	66Mi
5m	81Mi
7m	58Mi
running	155s	250m	88Mi	4993m	9952Mi	6m	72Mi
6m	72Mi
6m	67Mi
7m	66Mi
5m	72Mi
6m	66Mi
7m	66Mi
5m	81Mi
7m	58Mi
running	165s	3021m	256Mi	5212m	10389Mi	79m	71Mi
42m	71Mi
45m	68Mi
42m	66Mi
54m	68Mi
46m	69Mi
45m	67Mi
139m	75Mi
40m	58Mi
running	175s	3542m	191Mi	3536m	10723Mi	80m	71Mi
46m	66Mi
49m	65Mi
41m	66Mi
64m	67Mi
50m	69Mi
49m	67Mi
162m	72Mi
