pod	metric	value
otelcol-sb-esrev0-ctr-fbzbq	otelcol_processor_batch_timeout_trigger_send	7042
otelcol-sb-esrev0-ctr-fbzbq	otelcol_process_runtime_heap_alloc_bytes	51253128
otelcol-sb-esrev0-ctr-fbzbq	otelcol_process_memory_rss	222711808
otelcol-sb-esrev0-ctr-fbzbq	otelcol_process_runtime_total_sys_memory_bytes	89725224
otelcol-sb-esrev0-ctr-fbzbq	otelcol_process_cpu_seconds	72
otelcol-sb-esrev0-ctr-fbzbq	otelcol_processor_incoming_items	1744794
otelcol-sb-esrev0-ctr-fbzbq	otelcol_receiver_accepted_spans	1744794
otelcol-sb-esrev0-ctr-fbzbq	otelcol_process_runtime_total_alloc_bytes	1672913640
otelcol-sb-esrev0-ctr-fbzbq	otelcol_process_uptime	1837
otelcol-sb-esrev0-ctr-fbzbq	otelcol_exporter_queue_capacity	11
otelcol-sb-esrev0-ctr-fbzbq	otelcol_exporter_queue_batch_send_size_sum	1744794
otelcol-sb-esrev0-ctr-fbzbq	otelcol_exporter_sent_spans	1744794
otelcol-sb-esrev0-ctr-fbzbq	otelcol_receiver_failed_spans	0
otelcol-sb-esrev0-ctr-fbzbq	otelcol_processor_outgoing_items	0
otelcol-sb-esrev0-ctr-fbzbq	otelcol_receiver_refused_spans	0
otelcol-sb-esrev0-ctr-fbzbq	otelcol_exporter_send_failed_spans	0
otelcol-sb-esrev0-ctr-fbzbq	otelcol_exporter_queue_size	0
otelcol-sb-esrev0-ctr-fbzbq	otelcol_processor_batch_metadata_cardinality	1
otelcol-sb-esrev0-ctr-fbzbq	otelcol_processor_batch_batch_send_size_sum	1744794
otelcol-sb-esrev0-ctr-6fnqv	otelcol_receiver_failed_spans	0
otelcol-sb-esrev0-ctr-6fnqv	otelcol_receiver_accepted_spans	1746739
otelcol-sb-esrev0-ctr-6fnqv	otelcol_process_runtime_total_alloc_bytes	1674182360
otelcol-sb-esrev0-ctr-6fnqv	otelcol_exporter_sent_spans	1746739
otelcol-sb-esrev0-ctr-6fnqv	otelcol_process_memory_rss	218533888
otelcol-sb-esrev0-ctr-6fnqv	otelcol_exporter_queue_capacity	11
otelcol-sb-esrev0-ctr-6fnqv	otelcol_processor_batch_batch_send_size_sum	1746739
otelcol-sb-esrev0-ctr-6fnqv	otelcol_process_runtime_heap_alloc_bytes	46661072
otelcol-sb-esrev0-ctr-6fnqv	otelcol_exporter_send_failed_spans	0
otelcol-sb-esrev0-ctr-6fnqv	otelcol_exporter_queue_batch_send_size_sum	1746739
otelcol-sb-esrev0-ctr-6fnqv	otelcol_process_runtime_total_sys_memory_bytes	89155864
otelcol-sb-esrev0-ctr-6fnqv	otelcol_exporter_queue_size	0
otelcol-sb-esrev0-ctr-6fnqv	otelcol_processor_incoming_items	1746739
otelcol-sb-esrev0-ctr-6fnqv	otelcol_receiver_refused_spans	0
otelcol-sb-esrev0-ctr-6fnqv	otelcol_processor_batch_metadata_cardinality	1
otelcol-sb-esrev0-ctr-6fnqv	otelcol_processor_outgoing_items	0
otelcol-sb-esrev0-ctr-6fnqv	otelcol_processor_batch_timeout_trigger_send	7046
otelcol-sb-esrev0-ctr-6fnqv	otelcol_process_cpu_seconds	69
otelcol-sb-esrev0-ctr-6fnqv	otelcol_process_uptime	1836
otelcol-sb-esrev0-ctr-hrjvs	otelcol_processor_incoming_items	14341124
otelcol-sb-esrev0-ctr-hrjvs	otelcol_receiver_accepted_spans	14341124
otelcol-sb-esrev0-ctr-hrjvs	otelcol_process_runtime_total_sys_memory_bytes	115489064
otelcol-sb-esrev0-ctr-hrjvs	otelcol_receiver_refused_spans	0
otelcol-sb-esrev0-ctr-hrjvs	otelcol_processor_outgoing_items	0
otelcol-sb-esrev0-ctr-hrjvs	otelcol_exporter_queue_size	0
otelcol-sb-esrev0-ctr-hrjvs	otelcol_exporter_queue_capacity	11
otelcol-sb-esrev0-ctr-hrjvs	otelcol_process_uptime	1836
otelcol-sb-esrev0-ctr-hrjvs	otelcol_process_memory_rss	242601984
otelcol-sb-esrev0-ctr-hrjvs	otelcol_processor_batch_batch_send_size_sum	14341124
otelcol-sb-esrev0-ctr-hrjvs	otelcol_receiver_failed_spans	0
otelcol-sb-esrev0-ctr-hrjvs	otelcol_exporter_queue_batch_send_size_sum	14341124
otelcol-sb-esrev0-ctr-hrjvs	otelcol_exporter_send_failed_spans	0
otelcol-sb-esrev0-ctr-hrjvs	otelcol_process_runtime_total_alloc_bytes	10368843768
otelcol-sb-esrev0-ctr-hrjvs	otelcol_processor_batch_metadata_cardinality	1
otelcol-sb-esrev0-ctr-hrjvs	otelcol_process_cpu_seconds	224
otelcol-sb-esrev0-ctr-hrjvs	otelcol_processor_batch_timeout_trigger_send	7037
otelcol-sb-esrev0-ctr-hrjvs	otelcol_exporter_sent_spans	14341124
otelcol-sb-esrev0-ctr-hrjvs	otelcol_process_runtime_heap_alloc_bytes	70630080
otelcol-sb-esrev0-ctr-54csn	otelcol_process_runtime_total_sys_memory_bytes	85215512
otelcol-sb-esrev0-ctr-54csn	otelcol_exporter_queue_size	0
otelcol-sb-esrev0-ctr-54csn	otelcol_receiver_failed_spans	0
otelcol-sb-esrev0-ctr-54csn	otelcol_processor_outgoing_items	0
otelcol-sb-esrev0-ctr-54csn	otelcol_exporter_queue_batch_send_size_sum	1745635
otelcol-sb-esrev0-ctr-54csn	otelcol_processor_batch_batch_send_size_sum	1745635
otelcol-sb-esrev0-ctr-54csn	otelcol_process_runtime_heap_alloc_bytes	41693544
