phase	pod	status	restarts	node
pre_steady	composepost-service-sb-esrev0-ctr-869cb4b5ff-qnftm	Running	0	node-1
pre_steady	elasticsearch-sb-esrev0-ctr-75b7c5495b-74xk2	Running	0	node-9
pre_steady	hometimeline-cache-sb-esrev0-ctr-7bc6c6d9d7-m4485	Running	0	node-1
pre_steady	hometimeline-service-sb-esrev0-ctr-bd8f457db-8jdc8	Running	0	node-1
pre_steady	jaeger-sb-esrev0-ctr-898d845c5-99whz	Running	0	node-9
pre_steady	media-service-sb-esrev0-ctr-79c66ddb77-8wggc	Running	0	node-5
pre_steady	otelcol-sb-esrev0-ctr-492pr	Running	0	node-5
pre_steady	otelcol-sb-esrev0-ctr-4m9hj	Running	0	node-2
pre_steady	otelcol-sb-esrev0-ctr-54csn	Running	0	node-7
pre_steady	otelcol-sb-esrev0-ctr-6fnqv	Running	0	node-8
pre_steady	otelcol-sb-esrev0-ctr-d8tbj	Running	0	node-3
pre_steady	otelcol-sb-esrev0-ctr-dj2q7	Running	0	node-4
pre_steady	otelcol-sb-esrev0-ctr-fbzbq	Running	0	node-6
pre_steady	otelcol-sb-esrev0-ctr-hrjvs	Running	0	node-1
pre_steady	otelcol-sb-esrev0-ctr-kdhwx	Running	0	node-9
pre_steady	post-cache-sb-esrev0-ctr-745f669478-hvb9g	Running	0	node-6
pre_steady	post-db-sb-esrev0-ctr-6b4477789c-nnfrm	Running	0	node-6
pre_steady	post-storage-service-sb-esrev0-ctr-df7545c7d-4v4q9	Running	0	node-6
pre_steady	social-cache-sb-esrev0-ctr-d7dffbd79-78jrt	Running	0	node-2
pre_steady	social-db-sb-esrev0-ctr-6d8dcd5d9d-hl9bn	Running	0	node-2
pre_steady	socialgraph-service-sb-esrev0-ctr-588794648c-k48c5	Running	0	node-2
pre_steady	text-service-sb-esrev0-ctr-74f566b99b-556pn	Running	0	node-5
pre_steady	tracepressure-service-sb-esrev0-ctr-5k4vf	Running	0	node-8
pre_steady	tracepressure-service-sb-esrev0-ctr-6m5gg	Running	0	node-7
pre_steady	tracepressure-service-sb-esrev0-ctr-csl26	Running	0	node-1
pre_steady	tracepressure-service-sb-esrev0-ctr-kb529	Running	0	node-3
pre_steady	tracepressure-service-sb-esrev0-ctr-ml5rg	Running	0	node-6
pre_steady	tracepressure-service-sb-esrev0-ctr-mskqv	Running	0	node-4
pre_steady	tracepressure-service-sb-esrev0-ctr-nzzps	Running	0	node-2
pre_steady	tracepressure-service-sb-esrev0-ctr-wc22t	Running	0	node-9
pre_steady	tracepressure-service-sb-esrev0-ctr-wvgxc	Running	0	node-5
pre_steady	uniqueid-service-sb-esrev0-ctr-668dd5d579-4qnzk	Running	0	node-3
pre_steady	urlshorten-db-sb-esrev0-ctr-84dd5cb7db-dlj9q	Running	0	node-7
pre_steady	urlshorten-service-sb-esrev0-ctr-55b98489b6-78wxw	Running	0	node-7
pre_steady	user-cache-sb-esrev0-ctr-7b5dc458bf-56766	Running	0	node-8
pre_steady	user-db-sb-esrev0-ctr-7c8c5cbcf8-w7f48	Running	0	node-8
pre_steady	user-service-sb-esrev0-ctr-69997bb5f5-szr9m	Running	0	node-8
pre_steady	userid-service-sb-esrev0-ctr-8497658b75-8h2xn	Running	0	node-5
pre_steady	usermention-service-sb-esrev0-ctr-788b768d44-wg9nj	Running	0	node-3
pre_steady	usertimeline-cache-sb-esrev0-ctr-56d49bd85d-lfhf7	Running	0	node-4
