service	pod	key	value
wrk2api	wrk2api-service-sb-esrev0-ctr-2z65w	spans_received	804063
wrk2api	wrk2api-service-sb-esrev0-ctr-2z65w	spans_flushed	804063
wrk2api	wrk2api-service-sb-esrev0-ctr-2z65w	spans_sent	794726
wrk2api	wrk2api-service-sb-esrev0-ctr-2z65w	batches_sent	50374
wrk2api	wrk2api-service-sb-esrev0-ctr-2z65w	spans_dropped	9337
wrk2api	wrk2api-service-sb-esrev0-ctr-2z65w	batches_dropped	383
wrk2api	wrk2api-service-sb-esrev0-ctr-2z65w	cp_received	402031
wrk2api	wrk2api-service-sb-esrev0-ctr-2z65w	lp_received	402032
wrk2api	wrk2api-service-sb-esrev0-ctr-2z65w	cp_sent	397280
wrk2api	wrk2api-service-sb-esrev0-ctr-2z65w	lp_sent	397446
wrk2api	wrk2api-service-sb-esrev0-ctr-2z65w	cp_dropped	4751
wrk2api	wrk2api-service-sb-esrev0-ctr-2z65w	lp_dropped	4586
wrk2api	wrk2api-service-sb-esrev0-ctr-2z65w	send_deadline	383
wrk2api	wrk2api-service-sb-esrev0-ctr-2z65w	send_unavailable	0
wrk2api	wrk2api-service-sb-esrev0-ctr-2z65w	send_exhausted	0
wrk2api	wrk2api-service-sb-esrev0-ctr-2z65w	send_canceled	0
wrk2api	wrk2api-service-sb-esrev0-ctr-2z65w	send_other	0
wrk2api	wrk2api-service-sb-esrev0-ctr-2z65w	hp_buffer_depth	0
wrk2api	wrk2api-service-sb-esrev0-ctr-2z65w	lp_buffer_depth	0
composepost	composepost-service-sb-esrev0-ctr-869cb4b5ff-qnftm	spans_received	29355535
composepost	composepost-service-sb-esrev0-ctr-869cb4b5ff-qnftm	spans_flushed	29355535
composepost	composepost-service-sb-esrev0-ctr-869cb4b5ff-qnftm	spans_sent	19084140
composepost	composepost-service-sb-esrev0-ctr-869cb4b5ff-qnftm	batches_sent	155594
composepost	composepost-service-sb-esrev0-ctr-869cb4b5ff-qnftm	spans_dropped	10271395
composepost	composepost-service-sb-esrev0-ctr-869cb4b5ff-qnftm	batches_dropped	45630
composepost	composepost-service-sb-esrev0-ctr-869cb4b5ff-qnftm	cp_received	25686092
composepost	composepost-service-sb-esrev0-ctr-869cb4b5ff-qnftm	lp_received	3669443
composepost	composepost-service-sb-esrev0-ctr-869cb4b5ff-qnftm	cp_sent	16698168
composepost	composepost-service-sb-esrev0-ctr-869cb4b5ff-qnftm	lp_sent	2385972
composepost	composepost-service-sb-esrev0-ctr-869cb4b5ff-qnftm	cp_dropped	8987924
composepost	composepost-service-sb-esrev0-ctr-869cb4b5ff-qnftm	lp_dropped	1283471
composepost	composepost-service-sb-esrev0-ctr-869cb4b5ff-qnftm	send_deadline	24451
composepost	composepost-service-sb-esrev0-ctr-869cb4b5ff-qnftm	send_unavailable	21179
composepost	composepost-service-sb-esrev0-ctr-869cb4b5ff-qnftm	send_exhausted	0
composepost	composepost-service-sb-esrev0-ctr-869cb4b5ff-qnftm	send_canceled	0
composepost	composepost-service-sb-esrev0-ctr-869cb4b5ff-qnftm	send_other	0
composepost	composepost-service-sb-esrev0-ctr-869cb4b5ff-qnftm	hp_buffer_depth	0
composepost	composepost-service-sb-esrev0-ctr-869cb4b5ff-qnftm	lp_buffer_depth	0
hometimeline	hometimeline-service-sb-esrev0-ctr-bd8f457db-8jdc8	spans_received	7338868
hometimeline	hometimeline-service-sb-esrev0-ctr-bd8f457db-8jdc8	spans_flushed	7338868
hometimeline	hometimeline-service-sb-esrev0-ctr-bd8f457db-8jdc8	spans_sent	4785195
hometimeline	hometimeline-service-sb-esrev0-ctr-bd8f457db-8jdc8	batches_sent	38953
hometimeline	hometimeline-service-sb-esrev0-ctr-bd8f457db-8jdc8	spans_dropped	2553673
hometimeline	hometimeline-service-sb-esrev0-ctr-bd8f457db-8jdc8	batches_dropped	11333
hometimeline	hometimeline-service-sb-esrev0-ctr-bd8f457db-8jdc8	cp_received	0
hometimeline	hometimeline-service-sb-esrev0-ctr-bd8f457db-8jdc8	lp_received	7338868
hometimeline	hometimeline-service-sb-esrev0-ctr-bd8f457db-8jdc8	cp_sent	0
hometimeline	hometimeline-service-sb-esrev0-ctr-bd8f457db-8jdc8	lp_sent	4785195
hometimeline	hometimeline-service-sb-esrev0-ctr-bd8f457db-8jdc8	cp_dropped	0
hometimeline	hometimeline-service-sb-esrev0-ctr-bd8f457db-8jdc8	lp_dropped	2553673
hometimeline	hometimeline-service-sb-esrev0-ctr-bd8f457db-8jdc8	send_deadline	2049
hometimeline	hometimeline-service-sb-esrev0-ctr-bd8f457db-8jdc8	send_unavailable	9284
hometimeline	hometimeline-service-sb-esrev0-ctr-bd8f457db-8jdc8	send_exhausted	0
hometimeline	hometimeline-service-sb-esrev0-ctr-bd8f457db-8jdc8	send_canceled	0
hometimeline	hometimeline-service-sb-esrev0-ctr-bd8f457db-8jdc8	send_other	0
hometimeline	hometimeline-service-sb-esrev0-ctr-bd8f457db-8jdc8	hp_buffer_depth	0
hometimeline	hometimeline-service-sb-esrev0-ctr-bd8f457db-8jdc8	lp_buffer_depth	0
media	media-service-sb-esrev0-ctr-79c66ddb77-8wggc	spans_received	3669443
media	media-service-sb-esrev0-ctr-79c66ddb77-8wggc	spans_flushed	3669443
media	media-service-sb-esrev0-ctr-79c66ddb77-8wggc	spans_sent	3583946
media	media-service-sb-esrev0-ctr-79c66ddb77-8wggc	batches_sent	24785
media	media-service-sb-esrev0-ctr-79c66ddb77-8wggc	spans_dropped	85497
media	media-service-sb-esrev0-ctr-79c66ddb77-8wggc	batches_dropped	373
media	media-service-sb-esrev0-ctr-79c66ddb77-8wggc	cp_received	3669443
media	media-service-sb-esrev0-ctr-79c66ddb77-8wggc	lp_received	0
media	media-service-sb-esrev0-ctr-79c66ddb77-8wggc	cp_sent	3583946
media	media-service-sb-esrev0-ctr-79c66ddb77-8wggc	lp_sent	0
