service	pod	key	value
wrk2api	wrk2api-service-sb-esrev0-ctr-2z65w	spans_received	662043
wrk2api	wrk2api-service-sb-esrev0-ctr-2z65w	spans_flushed	662043
wrk2api	wrk2api-service-sb-esrev0-ctr-2z65w	spans_sent	655650
wrk2api	wrk2api-service-sb-esrev0-ctr-2z65w	batches_sent	44614
wrk2api	wrk2api-service-sb-esrev0-ctr-2z65w	spans_dropped	6393
wrk2api	wrk2api-service-sb-esrev0-ctr-2z65w	batches_dropped	262
wrk2api	wrk2api-service-sb-esrev0-ctr-2z65w	cp_received	331021
wrk2api	wrk2api-service-sb-esrev0-ctr-2z65w	lp_received	331022
wrk2api	wrk2api-service-sb-esrev0-ctr-2z65w	cp_sent	327798
wrk2api	wrk2api-service-sb-esrev0-ctr-2z65w	lp_sent	327852
wrk2api	wrk2api-service-sb-esrev0-ctr-2z65w	cp_dropped	3223
wrk2api	wrk2api-service-sb-esrev0-ctr-2z65w	lp_dropped	3170
wrk2api	wrk2api-service-sb-esrev0-ctr-2z65w	send_deadline	262
wrk2api	wrk2api-service-sb-esrev0-ctr-2z65w	send_unavailable	0
wrk2api	wrk2api-service-sb-esrev0-ctr-2z65w	send_exhausted	0
wrk2api	wrk2api-service-sb-esrev0-ctr-2z65w	send_canceled	0
wrk2api	wrk2api-service-sb-esrev0-ctr-2z65w	send_other	0
wrk2api	wrk2api-service-sb-esrev0-ctr-2z65w	hp_buffer_depth	0
wrk2api	wrk2api-service-sb-esrev0-ctr-2z65w	lp_buffer_depth	0
composepost	composepost-service-sb-esrev0-ctr-869cb4b5ff-qnftm	spans_received	24029559
composepost	composepost-service-sb-esrev0-ctr-869cb4b5ff-qnftm	spans_flushed	24029559
composepost	composepost-service-sb-esrev0-ctr-869cb4b5ff-qnftm	spans_sent	17238895
composepost	composepost-service-sb-esrev0-ctr-869cb4b5ff-qnftm	batches_sent	147672
composepost	composepost-service-sb-esrev0-ctr-869cb4b5ff-qnftm	spans_dropped	6790664
composepost	composepost-service-sb-esrev0-ctr-869cb4b5ff-qnftm	batches_dropped	29890
composepost	composepost-service-sb-esrev0-ctr-869cb4b5ff-qnftm	cp_received	21025863
composepost	composepost-service-sb-esrev0-ctr-869cb4b5ff-qnftm	lp_received	3003696
